model,domain,n,wilcoxon_W,wilcoxon_p,median_diff_score_only_minus_with_expl,mean_diff
gpt4,drugs,100,1412.0,0.00011473442618833048,5.0,3.18
gpt4,weapon,141,3813.0,0.013277167646457989,5.0,1.8865248226950355
claude_sonnet_4_6,drugs,63,30.0,2.074328904819956e-11,13.0,12.968253968253968
claude_sonnet_4_6,weapon,102,921.0,1.1485101883524586e-08,7.0,6.254901960784314
gemma4_31b_or,drugs,100,1187.5,3.6181934377780258e-06,5.0,3.46
gemma4_31b_or,weapon,141,4983.5,0.9635551283853006,0.0,-0.36879432624113473
