rep,domain,qwk_oracle,t1,t2,n
Hybrid-Full,drugs,0.8323085522638345,46.5,51.5,100
Hybrid-Full,weapon,0.7759073659628296,39.0,72.5,141
Gemini,drugs,0.7620538509705699,94.08945292234421,95.53510248661041,100
Gemini,weapon,0.4858184764991895,94.09458190202714,95.43878138065338,141
OpenAI,drugs,0.5978062157221207,84.45093035697937,85.82966923713684,100
OpenAI,weapon,0.29287863590772323,82.78409540653229,86.63718402385712,141
mE5,drugs,0.7124026363091671,97.86119759082794,98.19263964891434,100
mE5,weapon,0.40326150262085037,97.64731526374817,98.35214465856552,141
BGE-M3,drugs,0.6915484268969772,84.06562060117722,86.24025285243988,100
BGE-M3,weapon,0.4545454545454546,81.93632662296295,86.38353049755096,141
TF-IDF,drugs,0.6134969325153374,12.659836926563374,16.629370601790583,100
TF-IDF,weapon,0.3822796283707228,7.687443964718437,14.931201021755342,141
