,Manual,Hybrid-Manual,Hybrid-Full,GPT-Schema,GPT-Free,GPT-Law,Raw-Facts
Manual,1.0,0.0103,0.0034,0.0342,0.0034,0.0034,0.0059
Hybrid-Manual,0.0103,1.0,0.2159,0.606,0.0034,0.0077,0.0278
Hybrid-Full,0.0034,0.2159,1.0,0.1615,0.0103,0.0171,0.0278
GPT-Schema,0.0342,0.606,0.1615,1.0,0.0034,0.0034,0.0171
GPT-Free,0.0034,0.0034,0.0103,0.0034,1.0,0.8984,0.5423
GPT-Law,0.0034,0.0077,0.0171,0.0034,0.8984,1.0,0.606
Raw-Facts,0.0059,0.0278,0.0278,0.0171,0.5423,0.606,1.0
