,Manual,Hybrid-Manual,Hybrid-Full,GPT-Schema,GPT-Free,GPT-Law,Raw-Facts
Manual,1.0,0.0026,0.0026,0.0037,0.0026,0.0026,0.0026
Hybrid-Manual,0.0026,1.0,0.0884,0.4337,0.0073,0.0047,0.0037
Hybrid-Full,0.0026,0.0884,1.0,0.0047,0.2404,0.0026,0.0884
GPT-Schema,0.0037,0.4337,0.0047,1.0,0.0037,0.0026,0.0026
GPT-Free,0.0026,0.0073,0.2404,0.0037,1.0,0.1255,0.4648
GPT-Law,0.0026,0.0047,0.0026,0.0026,0.1255,1.0,0.2655
Raw-Facts,0.0026,0.0037,0.0884,0.0026,0.4648,0.2655,1.0
