metric,domain,task,a,b,n,mean_a,mean_b,delta_mean,dz,p_raw,p_fdr,p_bonf,sig_fdr_5pct,sig_bonf_5pct,winner
F1,weapon,0,Manual,GPT-Schema,11,0.7866,0.7595,0.0272,0.86,0.018555,0.064941,0.389648,False,False,Manual
F1,weapon,0,Manual,GPT-Free,11,0.7866,0.736,0.0507,1.434,0.00293,0.020508,0.061523,True,False,Manual
F1,weapon,0,Manual,GPT-Law,11,0.7866,0.7356,0.051,1.307,0.00293,0.020508,0.061523,True,False,Manual
F1,weapon,0,Manual,Raw-Facts,11,0.7866,0.7444,0.0422,0.734,0.032227,0.084595,0.676758,False,False,Manual
F1,weapon,0,Hybrid-Manual,Hybrid-Full,11,0.7633,0.7631,0.0002,0.005,1.0,1.0,1.0,False,False,Hybrid-Manual
F1,weapon,0,Hybrid-Manual,GPT-Schema,11,0.7633,0.7595,0.0038,0.101,0.764648,0.845138,1.0,False,False,Hybrid-Manual
F1,weapon,0,Hybrid-Manual,GPT-Free,11,0.7633,0.736,0.0273,0.683,0.067383,0.11792,1.0,False,False,Hybrid-Manual
F1,weapon,0,Hybrid-Manual,GPT-Law,11,0.7633,0.7356,0.0277,0.715,0.053711,0.112793,1.0,False,False,Hybrid-Manual
F1,weapon,0,Hybrid-Manual,Raw-Facts,11,0.7633,0.7444,0.0189,0.344,0.174805,0.262207,1.0,False,False,Hybrid-Manual
F1,weapon,0,Hybrid-Full,GPT-Schema,11,0.7631,0.7595,0.0036,0.133,0.700195,0.816895,1.0,False,False,Hybrid-Full
F1,weapon,0,Hybrid-Full,GPT-Free,11,0.7631,0.736,0.0271,0.905,0.018555,0.064941,0.389648,False,False,Hybrid-Full
F1,weapon,0,Hybrid-Full,GPT-Law,11,0.7631,0.7356,0.0275,0.688,0.053711,0.112793,1.0,False,False,Hybrid-Full
F1,weapon,0,Hybrid-Full,Raw-Facts,11,0.7631,0.7444,0.0187,0.381,0.174805,0.262207,1.0,False,False,Hybrid-Full
F1,weapon,0,GPT-Schema,GPT-Free,11,0.7595,0.736,0.0235,1.604,0.001953,0.020508,0.041016,True,True,GPT-Schema
F1,weapon,0,GPT-Schema,GPT-Law,11,0.7595,0.7356,0.0239,1.036,0.013672,0.064941,0.287109,False,False,GPT-Schema
F1,weapon,0,GPT-Schema,Raw-Facts,11,0.7595,0.7444,0.015,0.346,0.240234,0.336328,1.0,False,False,GPT-Schema
F1,weapon,0,GPT-Free,GPT-Law,11,0.736,0.7356,0.0004,0.017,1.0,1.0,1.0,False,False,GPT-Free
F1,weapon,0,GPT-Free,Raw-Facts,11,0.736,0.7444,-0.0085,-0.236,0.464844,0.610107,1.0,False,False,Raw-Facts
F1,weapon,0,GPT-Law,Raw-Facts,11,0.7356,0.7444,-0.0088,-0.219,0.519531,0.641774,1.0,False,False,Raw-Facts
F1,weapon,1,Manual,Hybrid-Manual,11,0.8457,0.8281,0.0176,0.876,0.018555,0.043294,0.389648,True,False,Manual
F1,weapon,1,Manual,Hybrid-Full,11,0.8457,0.8347,0.011,0.541,0.101562,0.177734,1.0,False,False,Manual
F1,weapon,1,Manual,GPT-Schema,11,0.8457,0.8196,0.0261,1.15,0.009766,0.029297,0.205078,True,False,Manual
F1,weapon,1,Manual,GPT-Free,11,0.8457,0.8064,0.0393,2.586,0.000977,0.010254,0.020508,True,True,Manual
F1,weapon,1,Manual,GPT-Law,11,0.8457,0.8134,0.0323,1.829,0.001953,0.013672,0.041016,True,True,Manual
F1,weapon,1,Manual,Raw-Facts,11,0.8457,0.8047,0.041,1.338,0.004883,0.020508,0.102539,True,False,Manual
F1,weapon,1,Hybrid-Manual,Hybrid-Full,11,0.8281,0.8347,-0.0066,-0.261,0.637695,0.66958,1.0,False,False,Hybrid-Full
F1,weapon,1,Hybrid-Manual,GPT-Schema,11,0.8281,0.8196,0.0085,0.299,0.431641,0.533203,1.0,False,False,Hybrid-Manual
F1,weapon,1,Hybrid-Manual,GPT-Free,11,0.8281,0.8064,0.0217,1.276,0.004883,0.020508,0.102539,True,False,Hybrid-Manual
F1,weapon,1,Hybrid-Manual,GPT-Law,11,0.8281,0.8134,0.0147,0.553,0.123047,0.18457,1.0,False,False,Hybrid-Manual
F1,weapon,1,Hybrid-Manual,Raw-Facts,11,0.8281,0.8047,0.0234,0.68,0.041992,0.088184,0.881836,False,False,Hybrid-Manual
F1,weapon,1,Hybrid-Full,GPT-Schema,11,0.8347,0.8196,0.0151,0.49,0.123047,0.18457,1.0,False,False,Hybrid-Full
F1,weapon,1,Hybrid-Full,GPT-Free,11,0.8347,0.8064,0.0283,1.127,0.006836,0.023926,0.143555,True,False,Hybrid-Full
F1,weapon,1,Hybrid-Full,GPT-Law,11,0.8347,0.8134,0.0214,0.954,0.013672,0.035889,0.287109,True,False,Hybrid-Full
