metric,domain,task,a,b,n,mean_a,mean_b,delta_mean,dz,p_raw,p_fdr,p_bonf,sig_fdr_5pct,sig_bonf_5pct,winner
AP_PR,drugs,0,GPT-Schema,Raw-Facts,11,0.9358,0.903,0.0329,1.191,0.004883,0.011393,0.102539,True,False,GPT-Schema
AP_PR,drugs,0,GPT-Free,GPT-Law,11,0.9042,0.8898,0.0144,0.758,0.067383,0.101074,1.0,False,False,GPT-Free
AP_PR,drugs,0,GPT-Free,Raw-Facts,11,0.9042,0.903,0.0012,0.061,0.898438,0.898438,1.0,False,False,GPT-Free
AP_PR,drugs,0,GPT-Law,Raw-Facts,11,0.8898,0.903,-0.0132,-0.601,0.083008,0.102539,1.0,False,False,Raw-Facts
AP_PR,drugs,1,Manual,Hybrid-Manual,11,0.9168,0.8949,0.022,1.395,0.000977,0.002563,0.020508,True,True,Manual
AP_PR,drugs,1,Manual,Hybrid-Full,11,0.9168,0.8799,0.0369,2.704,0.000977,0.002563,0.020508,True,True,Manual
AP_PR,drugs,1,Manual,GPT-Schema,11,0.9168,0.9004,0.0165,1.908,0.001953,0.003729,0.041016,True,True,Manual
AP_PR,drugs,1,Manual,GPT-Free,11,0.9168,0.8714,0.0454,2.741,0.000977,0.002563,0.020508,True,True,Manual
AP_PR,drugs,1,Manual,GPT-Law,11,0.9168,0.8611,0.0557,4.872,0.000977,0.002563,0.020508,True,True,Manual
AP_PR,drugs,1,Manual,Raw-Facts,11,0.9168,0.8686,0.0483,3.477,0.000977,0.002563,0.020508,True,True,Manual
AP_PR,drugs,1,Hybrid-Manual,Hybrid-Full,11,0.8949,0.8799,0.0149,0.686,0.067383,0.08844,1.0,False,False,Hybrid-Manual
AP_PR,drugs,1,Hybrid-Manual,GPT-Schema,11,0.8949,0.9004,-0.0055,-0.31,0.413086,0.43374,1.0,False,False,GPT-Schema
AP_PR,drugs,1,Hybrid-Manual,GPT-Free,11,0.8949,0.8714,0.0234,1.24,0.004883,0.007324,0.102539,True,False,Hybrid-Manual
AP_PR,drugs,1,Hybrid-Manual,GPT-Law,11,0.8949,0.8611,0.0337,1.574,0.00293,0.004733,0.061523,True,False,Hybrid-Manual
AP_PR,drugs,1,Hybrid-Manual,Raw-Facts,11,0.8949,0.8686,0.0263,1.645,0.001953,0.003729,0.041016,True,True,Hybrid-Manual
AP_PR,drugs,1,Hybrid-Full,GPT-Schema,11,0.8799,0.9004,-0.0204,-1.533,0.00293,0.004733,0.061523,True,False,GPT-Schema
AP_PR,drugs,1,Hybrid-Full,GPT-Free,11,0.8799,0.8714,0.0085,0.421,0.206055,0.240397,1.0,False,False,Hybrid-Full
AP_PR,drugs,1,Hybrid-Full,GPT-Law,11,0.8799,0.8611,0.0188,1.637,0.000977,0.002563,0.020508,True,True,Hybrid-Full
AP_PR,drugs,1,Hybrid-Full,Raw-Facts,11,0.8799,0.8686,0.0114,0.574,0.067383,0.08844,1.0,False,False,Hybrid-Full
AP_PR,drugs,1,GPT-Schema,GPT-Free,11,0.9004,0.8714,0.0289,1.589,0.001953,0.003729,0.041016,True,True,GPT-Schema
AP_PR,drugs,1,GPT-Schema,GPT-Law,11,0.9004,0.8611,0.0392,2.921,0.000977,0.002563,0.020508,True,True,GPT-Schema
AP_PR,drugs,1,GPT-Schema,Raw-Facts,11,0.9004,0.8686,0.0318,2.438,0.000977,0.002563,0.020508,True,True,GPT-Schema
AP_PR,drugs,1,GPT-Free,GPT-Law,11,0.8714,0.8611,0.0103,0.533,0.101562,0.12546,1.0,False,False,GPT-Free
AP_PR,drugs,1,GPT-Free,Raw-Facts,11,0.8714,0.8686,0.0029,0.225,0.464844,0.464844,1.0,False,False,GPT-Free
AP_PR,drugs,1,GPT-Law,Raw-Facts,11,0.8611,0.8686,-0.0074,-0.388,0.240234,0.265522,1.0,False,False,Raw-Facts
AP_PR,weapon,0,Manual,Hybrid-Manual,11,0.827,0.8029,0.0241,1.231,0.004883,0.010254,0.102539,True,False,Manual
AP_PR,weapon,0,Manual,Hybrid-Full,11,0.827,0.7832,0.0438,1.13,0.000977,0.003418,0.020508,True,True,Manual
AP_PR,weapon,0,Manual,GPT-Schema,11,0.827,0.8069,0.0201,0.767,0.024414,0.03418,0.512695,True,False,Manual
AP_PR,weapon,0,Manual,GPT-Free,11,0.827,0.7329,0.0941,3.462,0.000977,0.003418,0.020508,True,True,Manual
AP_PR,weapon,0,Manual,GPT-Law,11,0.827,0.7331,0.0939,2.108,0.000977,0.003418,0.020508,True,True,Manual
AP_PR,weapon,0,Manual,Raw-Facts,11,0.827,0.7413,0.0857,1.598,0.001953,0.005859,0.041016,True,True,Manual
AP_PR,weapon,0,Hybrid-Manual,Hybrid-Full,11,0.8029,0.7832,0.0197,0.48,0.174805,0.215935,1.0,False,False,Hybrid-Manual
AP_PR,weapon,0,Hybrid-Manual,GPT-Schema,11,0.8029,0.8069,-0.004,-0.146,0.577148,0.606006,1.0,False,False,GPT-Schema
AP_PR,weapon,0,Hybrid-Manual,GPT-Free,11,0.8029,0.7329,0.07,1.813,0.000977,0.003418,0.020508,True,True,Hybrid-Manual
AP_PR,weapon,0,Hybrid-Manual,GPT-Law,11,0.8029,0.7331,0.0698,1.35,0.00293,0.00769,0.061523,True,False,Hybrid-Manual
AP_PR,weapon,0,Hybrid-Manual,Raw-Facts,11,0.8029,0.7413,0.0616,0.939,0.018555,0.027832,0.389648,True,False,Hybrid-Manual
AP_PR,weapon,0,Hybrid-Full,GPT-Schema,11,0.7832,0.8069,-0.0237,-0.586,0.123047,0.161499,1.0,False,False,GPT-Schema
AP_PR,weapon,0,Hybrid-Full,GPT-Free,11,0.7832,0.7329,0.0503,1.279,0.004883,0.010254,0.102539,True,False,Hybrid-Full
AP_PR,weapon,0,Hybrid-Full,GPT-Law,11,0.7832,0.7331,0.0501,1.184,0.009766,0.01709,0.205078,True,False,Hybrid-Full
AP_PR,weapon,0,Hybrid-Full,Raw-Facts,11,0.7832,0.7413,0.0419,0.823,0.018555,0.027832,0.389648,True,False,Hybrid-Full
AP_PR,weapon,0,GPT-Schema,GPT-Free,11,0.8069,0.7329,0.074,2.371,0.000977,0.003418,0.020508,True,True,GPT-Schema
AP_PR,weapon,0,GPT-Schema,GPT-Law,11,0.8069,0.7331,0.0738,2.06,0.000977,0.003418,0.020508,True,True,GPT-Schema
AP_PR,weapon,0,GPT-Schema,Raw-Facts,11,0.8069,0.7413,0.0656,1.075,0.009766,0.01709,0.205078,True,False,GPT-Schema
AP_PR,weapon,0,GPT-Free,GPT-Law,11,0.7329,0.7331,-0.0002,-0.006,0.898438,0.898438,1.0,False,False,GPT-Law
AP_PR,weapon,0,GPT-Free,Raw-Facts,11,0.7329,0.7413,-0.0084,-0.181,0.464844,0.542318,1.0,False,False,Raw-Facts
AP_PR,weapon,0,GPT-Law,Raw-Facts,11,0.7331,0.7413,-0.0082,-0.176,0.577148,0.606006,1.0,False,False,Raw-Facts
AP_PR,weapon,1,Manual,Hybrid-Manual,11,0.8978,0.8755,0.0223,1.52,0.000977,0.010254,0.020508,True,True,Manual
AP_PR,weapon,1,Manual,Hybrid-Full,11,0.8978,0.8853,0.0126,0.718,0.041992,0.073486,0.881836,False,False,Manual
AP_PR,weapon,1,Manual,GPT-Schema,11,0.8978,0.8786,0.0193,0.855,0.004883,0.014648,0.102539,True,False,Manual
AP_PR,weapon,1,Manual,GPT-Free,11,0.8978,0.8641,0.0337,1.078,0.009766,0.020508,0.205078,True,False,Manual
AP_PR,weapon,1,Manual,GPT-Law,11,0.8978,0.8469,0.051,1.928,0.001953,0.013672,0.041016,True,True,Manual
AP_PR,weapon,1,Manual,Raw-Facts,11,0.8978,0.8456,0.0522,1.387,0.004883,0.014648,0.102539,True,False,Manual
AP_PR,weapon,1,Hybrid-Manual,Hybrid-Full,11,0.8755,0.8853,-0.0097,-0.55,0.147461,0.182158,1.0,False,False,Hybrid-Full
AP_PR,weapon,1,Hybrid-Manual,GPT-Schema,11,0.8755,0.8786,-0.003,-0.122,0.577148,0.637901,1.0,False,False,GPT-Schema
AP_PR,weapon,1,Hybrid-Manual,GPT-Free,11,0.8755,0.8641,0.0114,0.405,0.123047,0.161499,1.0,False,False,Hybrid-Manual
AP_PR,weapon,1,Hybrid-Manual,GPT-Law,11,0.8755,0.8469,0.0287,1.31,0.006836,0.017944,0.143555,True,False,Hybrid-Manual
AP_PR,weapon,1,Hybrid-Manual,Raw-Facts,11,0.8755,0.8456,0.03,0.741,0.053711,0.086764,1.0,False,False,Hybrid-Manual
AP_PR,weapon,1,Hybrid-Full,GPT-Schema,11,0.8853,0.8786,0.0067,0.216,0.637695,0.66958,1.0,False,False,Hybrid-Full
AP_PR,weapon,1,Hybrid-Full,GPT-Free,11,0.8853,0.8641,0.0211,0.848,0.018555,0.035423,0.389648,True,False,Hybrid-Full
AP_PR,weapon,1,Hybrid-Full,GPT-Law,11,0.8853,0.8469,0.0384,1.617,0.000977,0.010254,0.020508,True,True,Hybrid-Full
AP_PR,weapon,1,Hybrid-Full,Raw-Facts,11,0.8853,0.8456,0.0397,1.16,0.004883,0.014648,0.102539,True,False,Hybrid-Full
AP_PR,weapon,1,GPT-Schema,GPT-Free,11,0.8786,0.8641,0.0144,0.374,0.365234,0.426107,1.0,False,False,GPT-Schema
AP_PR,weapon,1,GPT-Schema,GPT-Law,11,0.8786,0.8469,0.0317,1.069,0.009766,0.020508,0.205078,True,False,GPT-Schema
AP_PR,weapon,1,GPT-Schema,Raw-Facts,11,0.8786,0.8456,0.033,0.626,0.101562,0.142187,1.0,False,False,GPT-Schema
AP_PR,weapon,1,GPT-Free,GPT-Law,11,0.8641,0.8469,0.0172,1.195,0.004883,0.014648,0.102539,True,False,GPT-Free
AP_PR,weapon,1,GPT-Free,Raw-Facts,11,0.8641,0.8456,0.0185,0.625,0.101562,0.142187,1.0,False,False,GPT-Free
AP_PR,weapon,1,GPT-Law,Raw-Facts,11,0.8469,0.8456,0.0013,0.034,0.96582,0.96582,1.0,False,False,GPT-Law
