domain,task,model,rep_a,rep_b,n_pairs,n12_a_right_b_wrong,n21_a_wrong_b_right,mcnemar_p,p_fdr_bh
drugs,binary_0,gemini_3_flash,fe_manual_format,gpt_law,100,2,5,0.453125,0.8869833426447995
drugs,binary_0,gemini_3_flash,fe_manual_format,hybrid_full_gpt,100,56,3,1.189326415129699e-13,1.428777466709145e-11
drugs,binary_0,gemini_3_flash,fe_manual_format,hybrid_gpt,100,4,5,1.0,1.0
drugs,binary_0,gemini_3_flash,fe_manual_format,hybrid_manual_gpt,100,3,3,1.0,1.0
drugs,binary_0,gemini_3_flash,fe_manual_format,manual_fe,100,4,10,0.1795654296875,0.6179329675572519
drugs,binary_0,gemini_3_flash,gpt_free,gpt_law,100,2,5,0.453125,0.8869833426447995
drugs,binary_0,gemini_3_flash,gpt_free,hybrid_full_gpt,100,57,4,4.85494457136415e-13,5.1462412456459994e-11
drugs,binary_0,gemini_3_flash,gpt_free,hybrid_gpt,100,3,4,1.0,1.0
drugs,binary_0,gemini_3_flash,gpt_free,hybrid_manual_gpt,100,3,3,1.0,1.0
drugs,binary_0,gemini_3_flash,gpt_free,manual_fe,100,5,11,0.210113525390625,0.656760834008737
drugs,binary_0,gemini_3_flash,gpt_law,hybrid_full_gpt,100,60,4,7.363044635805283e-14,1.0206312641323937e-11
drugs,binary_0,gemini_3_flash,gpt_law,hybrid_gpt,100,2,0,0.5,0.9206017354124748
drugs,binary_0,gemini_3_flash,gpt_law,hybrid_manual_gpt,100,6,3,0.5078125,0.9206017354124748
drugs,binary_0,gemini_3_flash,gpt_law,manual_fe,100,6,9,0.6072387695312499,0.9998900758119547
drugs,binary_0,gemini_3_flash,hybrid_full_gpt,hybrid_gpt,100,6,60,2.72580319860688e-12,2.728831868827554e-10
drugs,binary_0,gemini_3_flash,hybrid_full_gpt,hybrid_manual_gpt,100,3,56,1.189326415129699e-13,1.428777466709145e-11
drugs,binary_0,gemini_3_flash,hybrid_full_gpt,manual_fe,100,5,64,4.119230997967627e-14,6.185711881948053e-12
drugs,binary_0,gemini_3_flash,hybrid_gpt,hybrid_manual_gpt,100,6,5,1.0,1.0
drugs,binary_0,gemini_3_flash,hybrid_gpt,manual_fe,100,6,11,0.332305908203125,0.7797073523203532
drugs,binary_0,gemini_3_flash,hybrid_manual_gpt,manual_fe,100,4,10,0.1795654296875,0.6179329675572519
drugs,binary_0,gemma3_27b,facts,fe_gpt_schema,100,9,13,0.5234670639038086,0.9348737850888633
drugs,binary_0,gemma3_27b,facts,fe_manual_format,100,2,3,1.0,1.0
drugs,binary_0,gemma3_27b,facts,gpt_free,100,3,5,0.7265625,1.0
drugs,binary_0,gemma3_27b,facts,gpt_law,100,9,13,0.5234670639038086,0.9348737850888633
drugs,binary_0,gemma3_27b,facts,hybrid_full_gpt,100,10,13,0.6776394844055176,1.0
drugs,binary_0,gemma3_27b,facts,hybrid_gpt,100,8,10,0.8145294189453125,1.0
drugs,binary_0,gemma3_27b,facts,hybrid_manual_gpt,100,4,6,0.75390625,1.0
drugs,binary_0,gemma3_27b,facts,manual_fe,100,7,8,1.0,1.0
drugs,binary_0,gemma3_27b,fe_gpt_schema,fe_manual_format,100,13,10,0.6776394844055176,1.0
drugs,binary_0,gemma3_27b,fe_gpt_schema,gpt_free,100,9,7,0.803619384765625,1.0
drugs,binary_0,gemma3_27b,fe_gpt_schema,gpt_law,100,6,6,1.0,1.0
drugs,binary_0,gemma3_27b,fe_gpt_schema,hybrid_full_gpt,100,2,1,1.0,1.0
drugs,binary_0,gemma3_27b,fe_gpt_schema,hybrid_gpt,100,6,4,0.75390625,1.0
drugs,binary_0,gemma3_27b,fe_gpt_schema,hybrid_manual_gpt,100,14,12,0.8450189828872681,1.0
drugs,binary_0,gemma3_27b,fe_gpt_schema,manual_fe,100,15,12,0.7011080384254456,1.0
drugs,binary_0,gemma3_27b,fe_manual_format,gpt_free,100,4,5,1.0,1.0
drugs,binary_0,gemma3_27b,fe_manual_format,gpt_law,100,9,12,0.6636238098144531,1.0
drugs,binary_0,gemma3_27b,fe_manual_format,hybrid_full_gpt,100,11,13,0.8388197422027588,1.0
drugs,binary_0,gemma3_27b,fe_manual_format,hybrid_gpt,100,10,11,1.0,1.0
drugs,binary_0,gemma3_27b,fe_manual_format,hybrid_manual_gpt,100,4,5,1.0,1.0
drugs,binary_0,gemma3_27b,fe_manual_format,manual_fe,100,7,7,1.0,1.0
drugs,binary_0,gemma3_27b,gpt_free,gpt_law,100,9,11,0.8238029479980469,1.0
drugs,binary_0,gemma3_27b,gpt_free,hybrid_full_gpt,100,8,9,1.0,1.0
