domain,rep,metric,observed,null_mean,null_std,delta,p_emp_median
drugs,GPT-Free,AP_b0,0.90419962613805,0.3769628748944655,0.050770076587207176,0.5272367512435845,0.0
drugs,GPT-Free,AP_b1,0.8714279518515545,0.5227379146759267,0.04959180708613553,0.3486900371756278,0.0
drugs,GPT-Free,F1_CV_b0,0.8550602453374164,0.504954283108998,0.022800346884297742,0.35010596222841833,0.0
drugs,GPT-Free,F1_CV_b1,0.7736491278595161,0.6591060227702101,0.013572454948212182,0.11454310508930608,0.0
drugs,GPT-Free,F1_Oracle_b0,0.878467853258824,0.5325496450488743,0.015215059093281967,0.34591820820994984,0.0
drugs,GPT-Free,F1_Oracle_b1,0.809643513187356,0.6734363152228731,0.008455475968399524,0.13620719796448302,0.0
drugs,GPT-Free,QWK_CV,0.7436252416842134,-0.009435225515698933,0.10149737721535149,0.7530604671999123,0.0
drugs,GPT-Free,QWK_Oracle,0.7867796660813461,0.10004324055563717,0.06521094225877548,0.6867364255257088,0.0
drugs,GPT-Law,AP_b0,0.8897908989706816,0.3761531819779655,0.049938947215571246,0.5136377169927161,0.0
drugs,GPT-Law,AP_b1,0.8611458953812993,0.5228652746562682,0.050178567257305316,0.3382806207250312,0.0
drugs,GPT-Law,F1_CV_b0,0.8527310898428927,0.5053010839349974,0.021978603810836994,0.34743000590789536,0.0
drugs,GPT-Law,F1_CV_b1,0.7636407663694373,0.6593699842507443,0.013637096193033604,0.104270782118693,0.0
drugs,GPT-Law,F1_Oracle_b0,0.8665684214922311,0.5326465752513854,0.015174003821536742,0.33392184624084575,0.0
drugs,GPT-Law,F1_Oracle_b1,0.7984128852682126,0.6735392745487576,0.008499272747101303,0.1248736107194551,0.0
drugs,GPT-Law,QWK_CV,0.7412897371765034,-0.012813255133588865,0.10108351372551666,0.7541029923100923,0.0
drugs,GPT-Law,QWK_Oracle,0.7734649667128086,0.09868374653926631,0.06328912232800764,0.6747812201735424,0.0
drugs,GPT-Schema,AP_b0,0.9358393920802911,0.3787203827719926,0.05243221491352279,0.5571190093082985,0.0
drugs,GPT-Schema,AP_b1,0.9003730155419738,0.5217152687383178,0.048730331103299315,0.378657746803656,0.0
drugs,GPT-Schema,F1_CV_b0,0.8423251510629282,0.5061003742832856,0.02236703182284074,0.3362247767796425,0.0
drugs,GPT-Schema,F1_CV_b1,0.81757866828894,0.6592769296198046,0.013504702437100813,0.1583017386691355,0.0
drugs,GPT-Schema,F1_Oracle_b0,0.868062576126584,0.5328212816050484,0.015296320455411506,0.3352412945215357,0.0
drugs,GPT-Schema,F1_Oracle_b1,0.8354702527583526,0.673690553164755,0.008692646231474801,0.16177969959359753,0.0
drugs,GPT-Schema,QWK_CV,0.7829306073870967,-0.012807451657800504,0.09710806719492159,0.7957380590448974,0.0
drugs,GPT-Schema,QWK_Oracle,0.8227865435653534,0.0996968887636966,0.06514252143264171,0.7230896548016568,0.0
drugs,Hybrid-Full,AP_b0,0.9204982834848611,0.37707428550431277,0.05055807325227332,0.5434239979805483,0.0
drugs,Hybrid-Full,AP_b1,0.8799320072568908,0.5221627881000389,0.048890054964364965,0.35776921915685184,0.0
drugs,Hybrid-Full,F1_CV_b0,0.8735771662503512,0.50644647522316,0.022990963120560894,0.3671306910271912,0.0
drugs,Hybrid-Full,F1_CV_b1,0.789746632859361,0.6596443488489049,0.01311229712816999,0.13010228401045615,0.0
drugs,Hybrid-Full,F1_Oracle_b0,0.891741661267434,0.5327615074812897,0.01530498247674788,0.35898015378614423,0.0
drugs,Hybrid-Full,F1_Oracle_b1,0.8211585959919309,0.673607719254663,0.008488593186253487,0.14755087673726788,0.0
drugs,Hybrid-Full,QWK_CV,0.7668976997501799,-0.011161934838670399,0.09677223618518434,0.7780596345888502,0.0
drugs,Hybrid-Full,QWK_Oracle,0.8081492473544184,0.0951867765315786,0.06430015986024613,0.7129624708228398,0.0
drugs,Hybrid-Manual,AP_b0,0.9296820518101128,0.3768531136246859,0.05127454607366792,0.5528289381854269,0.0
drugs,Hybrid-Manual,AP_b1,0.8948652096236134,0.5224130241119739,0.04955666241288163,0.37245218551163944,0.0
drugs,Hybrid-Manual,F1_CV_b0,0.856621839877279,0.5044735805761976,0.0230892360682694,0.35214825930108146,0.0
drugs,Hybrid-Manual,F1_CV_b1,0.787620621009055,0.6591651440727413,0.013726907078611406,0.12845547693631376,0.0
drugs,Hybrid-Manual,F1_Oracle_b0,0.8798093826609158,0.5328455966722928,0.015463138630360486,0.3469637859886231,0.0
drugs,Hybrid-Manual,F1_Oracle_b1,0.8215932067654103,0.673732735587168,0.008732461398213319,0.14786047117824241,0.0
drugs,Hybrid-Manual,QWK_CV,0.7504823608794279,-0.010718044293308407,0.09799777187990864,0.7612004051727363,0.0
drugs,Hybrid-Manual,QWK_Oracle,0.8042567439490624,0.09640468981155728,0.06568692235733951,0.7078520541375051,0.0
drugs,Manual,AP_b0,0.956463560911078,0.3778176245299461,0.05227490268256378,0.5786459363811319,0.0
drugs,Manual,AP_b1,0.9168371734334076,0.5224324694716486,0.04990846126802135,0.39440470396175903,0.0
drugs,Manual,F1_CV_b0,0.8938648668260968,0.5057438539747434,0.022093603374539413,0.38812101285135336,0.0
drugs,Manual,F1_CV_b1,0.8352770459245331,0.6600520167494834,0.01280838080288852,0.17522502917504967,0.0
drugs,Manual,F1_Oracle_b0,0.91173228941046,0.5329800209319338,0.015592221220587179,0.3787522684785264,0.0
drugs,Manual,F1_Oracle_b1,0.8492668433682511,0.6737231158827611,0.008761869220894893,0.17554372748549005,0.0
drugs,Manual,QWK_CV,0.8427273556351946,-0.015552561098239232,0.09938314192402255,0.858279916733434,0.0
drugs,Manual,QWK_Oracle,0.8585068406136919,0.10109922144695468,0.06826187558777382,0.757407619166737,0.0
drugs,Raw-Facts,AP_b0,0.9029679483117495,0.3761356755935817,0.05015938350770408,0.5268322727181678,0.0
drugs,Raw-Facts,AP_b1,0.8685729424790188,0.5226047758669389,0.04986624192507687,0.3459681666120798,0.0
drugs,Raw-Facts,F1_CV_b0,0.8405048681851711,0.5046932894581202,0.021563424493673062,0.335811578727051,0.0
drugs,Raw-Facts,F1_CV_b1,0.7904722752706661,0.6590501825077378,0.01245303098958096,0.13142209276292832,0.0
drugs,Raw-Facts,F1_Oracle_b0,0.8736599871433461,0.5327490620150939,0.015285397958728852,0.3409109251282522,0.0
drugs,Raw-Facts,F1_Oracle_b1,0.8145057315755153,0.6734638690848667,0.008572060086076272,0.14104186249064857,0.0
drugs,Raw-Facts,QWK_CV,0.760901895796237,-0.010961249641278757,0.09987911640056417,0.7718631454375159,0.0
drugs,Raw-Facts,QWK_Oracle,0.7952733458318175,0.09741809075689246,0.06589939220307603,0.6978552550749251,0.0
weapon,GPT-Free,AP_b0,0.7329191561687292,0.34986387948960884,0.04246502869058645,0.38305527667912037,0.0
weapon,GPT-Free,AP_b1,0.8641232037878352,0.4787996530281962,0.042601854644913666,0.3853235507596389,0.0
weapon,GPT-Free,F1_CV_b0,0.7022705509229494,0.4821609763747121,0.016942451380428988,0.22010957454823735,0.0
weapon,GPT-Free,F1_CV_b1,0.7848277236487099,0.6253479200846098,0.010928393575385711,0.15947980356410008,0.0
weapon,GPT-Free,F1_Oracle_b0,0.7359691315782968,0.5035213927143881,0.01233027893026235,0.2324477388639086,0.0
weapon,GPT-Free,F1_Oracle_b1,0.8064351228240337,0.6370057060880461,0.007267570233578591,0.16942941673598758,0.0
weapon,GPT-Free,QWK_CV,0.6700643953656781,-0.010938157283732645,0.08621536275481699,0.6810025526494107,0.0
weapon,GPT-Free,QWK_Oracle,0.6945012036373714,0.08307151968330481,0.05384911989155372,0.6114296839540665,0.0
weapon,GPT-Law,AP_b0,0.7331210964723929,0.34991047646166573,0.04194132319406207,0.3832106200107271,0.0
weapon,GPT-Law,AP_b1,0.8468743250511248,0.4783882556216206,0.04230730370539051,0.3684860694295042,0.0
weapon,GPT-Law,F1_CV_b0,0.7124700867979038,0.4823150939036326,0.018122060515904648,0.2301549928942712,0.0
weapon,GPT-Law,F1_CV_b1,0.7927967910737876,0.6255063050372932,0.010839346243249698,0.16729048603649435,0.0
weapon,GPT-Law,F1_Oracle_b0,0.735579559706758,0.5034686127749809,0.012485751934391255,0.2321109469317772,0.0
weapon,GPT-Law,F1_Oracle_b1,0.8133599833301449,0.6369259684310453,0.007063478818768034,0.17643401489909954,0.0
weapon,GPT-Law,QWK_CV,0.6601155658862096,-0.00985000990333674,0.08259941096353404,0.6699655757895463,0.0
weapon,GPT-Law,QWK_Oracle,0.691787271479445,0.0828007276916349,0.054794110494867106,0.60898654378781,0.0
weapon,GPT-Schema,AP_b0,0.8069064847042653,0.34857798226732783,0.042618749153214626,0.4583285024369374,0.0
weapon,GPT-Schema,AP_b1,0.8785520261350682,0.4773965158313603,0.04259775517670782,0.40115551030370783,0.0
weapon,GPT-Schema,F1_CV_b0,0.737016532358621,0.4806827781072972,0.01850558898104853,0.25633375425132365,0.0
weapon,GPT-Schema,F1_CV_b1,0.8006126491312869,0.6236195767221302,0.011659875063971044,0.17699307240915677,0.0
weapon,GPT-Schema,F1_Oracle_b0,0.7594661183776502,0.5031060552367937,0.012736249847257197,0.25636006314085646,0.0
weapon,GPT-Schema,F1_Oracle_b1,0.8195927562131359,0.6371523838216379,0.007570961454170585,0.182440372391498,0.0
weapon,GPT-Schema,QWK_CV,0.6882088977196267,-0.006064247678313245,0.08328431060843401,0.6942731453979399,0.0
weapon,GPT-Schema,QWK_Oracle,0.7262121174187858,0.08275443559841911,0.0554973349923448,0.6434576818203667,0.0
weapon,Hybrid-Full,AP_b0,0.7832198121124185,0.3496240397148936,0.04261056237209624,0.43359577239752484,0.0
weapon,Hybrid-Full,AP_b1,0.885263002726641,0.47806020097574736,0.04265669595636051,0.4072028017508936,0.0
weapon,Hybrid-Full,F1_CV_b0,0.7422274925127895,0.48187595057531796,0.01801618257545481,0.26035154193747156,0.0
weapon,Hybrid-Full,F1_CV_b1,0.8205221537342907,0.6250948944939394,0.011440669414044768,0.19542725924035131,0.0
weapon,Hybrid-Full,F1_Oracle_b0,0.7630982200127374,0.5035241444578592,0.012783330733955418,0.2595740755548782,0.0
weapon,Hybrid-Full,F1_Oracle_b1,0.834736053149675,0.6371909942238674,0.00754004452692413,0.19754505892580768,0.0
weapon,Hybrid-Full,QWK_CV,0.7068896882476544,-0.004291314559010882,0.08414493991015129,0.7111810028066653,0.0
weapon,Hybrid-Full,QWK_Oracle,0.7400637318747294,0.08273368778737945,0.05565246249682256,0.65733004408735,0.0
weapon,Hybrid-Manual,AP_b0,0.8029273144267073,0.34876062924784074,0.04171114484151761,0.45416668517886655,0.0
weapon,Hybrid-Manual,AP_b1,0.8755466302303351,0.47779881500113425,0.041995108676745135,0.39774781522920083,0.0
weapon,Hybrid-Manual,F1_CV_b0,0.7289336973764552,0.48229098704924706,0.018767654509070076,0.2466427103272082,0.0
weapon,Hybrid-Manual,F1_CV_b1,0.8052226738310821,0.6249032566864838,0.010896506088418164,0.18031941714459834,0.0
weapon,Hybrid-Manual,F1_Oracle_b0,0.763275866452824,0.5038205481326276,0.013068868639812603,0.2594553183201964,0.0
weapon,Hybrid-Manual,F1_Oracle_b1,0.828090199941077,0.6371601352865132,0.0072787227405645616,0.1909300646545639,0.0
weapon,Hybrid-Manual,QWK_CV,0.704320314355304,-0.004503769798600124,0.08105903235898543,0.7088240841539041,0.0
weapon,Hybrid-Manual,QWK_Oracle,0.7335669682739965,0.08376334934801917,0.052499345395493655,0.6498036189259773,0.0
weapon,Manual,AP_b0,0.8270154614023242,0.34886112010055387,0.04198388105496125,0.47815434130177026,0.0
weapon,Manual,AP_b1,0.8978327080929124,0.4779192133399624,0.042401862661436834,0.41991349475295,0.0
weapon,Manual,F1_CV_b0,0.7656189005507862,0.4822743723905205,0.01917506497864747,0.28334452816026573,0.0
weapon,Manual,F1_CV_b1,0.8280464393420044,0.6249031086659129,0.010807145488638089,0.20314333067609144,0.0
weapon,Manual,F1_Oracle_b0,0.7866286612113546,0.5036725986010337,0.013050353271369221,0.28295606261032075,0.0
weapon,Manual,F1_Oracle_b1,0.8457046390480688,0.6372279165647008,0.0075108270078970175,0.20847672248336802,0.0
weapon,Manual,QWK_CV,0.7432802962089414,-0.0037549096993518033,0.08103551576264106,0.7470352059082933,0.0
weapon,Manual,QWK_Oracle,0.762909660223761,0.08383464995301991,0.053800742939239754,0.6790750102707411,0.0
weapon,Raw-Facts,AP_b0,0.741298618298604,0.35051268031789407,0.04201861095177714,0.39078593798071,0.0
weapon,Raw-Facts,AP_b1,0.8455833840857602,0.47925440219446,0.042697847537182365,0.3663289818913002,0.0
weapon,Raw-Facts,F1_CV_b0,0.7212029693145903,0.48354593939711105,0.01842127056033459,0.2376570299174792,0.0
weapon,Raw-Facts,F1_CV_b1,0.7854065199574887,0.6247966666883596,0.0119813656655811,0.16060985326912897,0.0
weapon,Raw-Facts,F1_Oracle_b0,0.7444253898590797,0.5035388255834691,0.012569766631025941,0.24088656427561048,0.0
weapon,Raw-Facts,F1_Oracle_b1,0.8046633221079514,0.6368848962505184,0.006879992808697649,0.16777842585743316,0.0
weapon,Raw-Facts,QWK_CV,0.6614019137531978,-0.007727529921789599,0.07875122121826057,0.6691294436749874,0.0
weapon,Raw-Facts,QWK_Oracle,0.6898929611698219,0.0844115807316368,0.05325629401128446,0.605481380438185,0.0
