domain,rep,model,metric,n,observed,baseline_mean,baseline_std,baseline_ci_lo,baseline_ci_hi,improvement,p_value,significantly_better,n_shuffles
drugs,Manual,gemma3_27b,F1_Oracle_b0,100,0.90625,0.31509375,0.06516550038845997,0.1875,0.4375,0.59115625,0.0,True,1000
drugs,Manual,gemma3_27b,F1_Oracle_b1,100,0.8118811881188119,0.5052871287128714,0.04914670723282073,0.4158415841584158,0.6138613861386139,0.30659405940594053,0.0,True,1000
drugs,Manual,gemma3_27b,F1_CV_b0,100,0.90625,0.31509375,0.06516550038845997,0.1875,0.4375,0.59115625,0.0,True,1000
drugs,Manual,gemma3_27b,F1_CV_b1,100,0.7884615384615384,0.5197307692307692,0.04845876699062924,0.4230769230769231,0.6153846153846154,0.2687307692307692,0.0,True,1000
drugs,Manual,gemma3_27b,AP_b0,100,0.9430814083875309,0.36516794611848136,0.03940896659081159,0.3033474388352344,0.4494036229146868,0.5779134622690495,0.0,True,1000
drugs,Manual,gemma3_27b,AP_b1,100,0.8915130282882384,0.5131659845455041,0.0396110531622584,0.44438794295972833,0.6000031916407378,0.3783470437427343,0.0,True,1000
drugs,Manual,gemma3_27b,QWK_Oracle,100,0.8295454545454546,-0.0018560606060605612,0.1000733149785652,-0.19318181818181812,0.19823232323232332,0.8314015151515152,0.0,True,1000
drugs,Manual,gemma3_27b,QWK_CV,100,0.8224476854787571,-0.0013696892834496562,0.09978659301611,-0.19213696892834498,0.1886493341788202,0.8238173747622067,0.0,True,1000
drugs,Manual,gpt4,F1_Oracle_b0,100,0.927536231884058,0.34275362318840574,0.06284627545231433,0.2318840579710145,0.463768115942029,0.5847826086956522,0.0,True,1000
drugs,Manual,gpt4,F1_Oracle_b1,100,0.8539325842696629,0.43880898876404495,0.05381544397619759,0.33707865168539325,0.5393258426966292,0.41512359550561795,0.0,True,1000
drugs,Manual,gpt4,F1_CV_b0,100,0.927536231884058,0.34275362318840574,0.06284627545231433,0.2318840579710145,0.463768115942029,0.5847826086956522,0.0,True,1000
drugs,Manual,gpt4,F1_CV_b1,100,0.8351648351648352,0.4505934065934066,0.05322976134408412,0.3516483516483517,0.5494505494505495,0.3845714285714286,0.0,True,1000
drugs,Manual,gpt4,AP_b0,100,0.959245179533748,0.3713682203169498,0.045473525145061464,0.296544791695827,0.46937010855433003,0.5878769592167982,0.0,True,1000
drugs,Manual,gpt4,AP_b1,100,0.9270699804441369,0.5171966379373635,0.04384403410373151,0.43867720485790024,0.6093052679427584,0.40987334250677343,0.0,True,1000
drugs,Manual,gpt4,QWK_Oracle,100,0.8720186154741129,-0.002070971495055237,0.1023686002816259,-0.19837114601512496,0.19720767888307156,0.874089586969168,0.0,True,1000
drugs,Manual,gpt4,QWK_CV,100,0.8720186154741129,-0.002070971495055237,0.1023686002816259,-0.19837114601512496,0.19720767888307156,0.874089586969168,0.0,True,1000
drugs,Manual,gemma4_31b_or,F1_Oracle_b0,100,0.918918918918919,0.3657297297297298,0.06249220446531891,0.24324324324324326,0.4864864864864865,0.5531891891891891,0.0,True,1000
drugs,Manual,gemma4_31b_or,F1_Oracle_b1,100,0.865979381443299,0.4841443298969072,0.05013978781209465,0.3711340206185567,0.5773195876288659,0.3818350515463918,0.0,True,1000
