rep,domain,metric,llm_mean,baseline_random,frac_models_beat_random,baseline_text_emb,gap_vs_emb,p_vs_emb,p_emb_fdr,p_emb_bonf,beats_random,beats_emb_raw,beats_emb_fdr,beats_emb_bonf,beats_both
Manual,drugs,F1_Oracle_b0,0.9117322894104603,0.34348017180182155,1.0,0.8205128205128205,0.09121946889763977,0.00048828125,0.0006214488636363636,0.0068359375,True,True,True,True,True
Manual,drugs,F1_Oracle_b1,0.8492668433682511,0.4707202036623238,1.0,0.8181818181818182,0.031085025186432858,0.0009765625,0.001519097222222222,0.013671875,True,True,True,True,True
Manual,drugs,F1_CV_b0,0.8938648668260968,0.3413478092032251,1.0,0.7837837837837838,0.11008108304231301,0.00048828125,0.0005258413461538461,0.0068359375,True,True,True,True,True
Manual,drugs,F1_CV_b1,0.8352770459245331,0.4772881089565658,1.0,0.7924528301886793,0.04282421573585382,0.00244140625,0.003797743055555555,0.0341796875,True,True,True,True,True
Manual,drugs,AP_b0,0.956463560911078,0.3690556615229868,1.0,0.861599426096489,0.094864134814589,0.00048828125,0.0005696614583333334,0.0068359375,True,True,True,True,True
Manual,drugs,AP_b1,0.9168371734334076,0.5158166210117874,1.0,0.8963153213687491,0.020521852064658508,0.00244140625,0.0042724609375,0.0341796875,True,True,True,True,True
Manual,drugs,QWK_Oracle,0.8585068406136919,-0.001416632000814018,1.0,0.7620538509705699,0.09645298964312199,0.00048828125,0.0006214488636363636,0.0068359375,True,True,True,True,True
Manual,drugs,QWK_CV,0.8427273556351946,-0.001288163007318109,1.0,0.6671018276762403,0.17562552795895436,0.00048828125,0.0005258413461538461,0.0068359375,True,True,True,True,True
Manual,weapon,F1_Oracle_b0,0.7866286612113546,0.3539975174068957,1.0,0.6379310344827587,0.14869762672859588,0.00048828125,0.0006214488636363636,0.0068359375,True,True,True,True,True
Manual,weapon,F1_Oracle_b1,0.8457046390480688,0.47162906747229255,1.0,0.7236842105263158,0.12202042852175299,0.00048828125,0.0009765625,0.0068359375,True,True,True,True,True
Manual,weapon,F1_CV_b0,0.7656189005507862,0.3517329244619511,1.0,0.5932203389830508,0.17239856156773536,0.00048828125,0.0005258413461538461,0.0068359375,True,True,True,True,True
Manual,weapon,F1_CV_b1,0.8280464393420044,0.4713115879964992,1.0,0.7074829931972789,0.12056344614472547,0.00048828125,0.0011393229166666667,0.0068359375,True,True,True,True,True
Manual,weapon,AP_b0,0.8270154614023242,0.3455721125922554,1.0,0.6055982056818153,0.22141725572050885,0.00048828125,0.0005696614583333334,0.0068359375,True,True,True,True,True
Manual,weapon,AP_b1,0.8978327080929124,0.4746794709244137,1.0,0.7032593468890929,0.19457336120381952,0.00048828125,0.0009765625,0.0068359375,True,True,True,True,True
Manual,weapon,QWK_Oracle,0.7629096602237609,0.000525086426762291,1.0,0.4858184764991895,0.2770911837245714,0.00048828125,0.0006214488636363636,0.0068359375,True,True,True,True,True
Manual,weapon,QWK_CV,0.7432802962089415,0.0005940801385268371,1.0,0.4152185089974293,0.32806178721151225,0.00048828125,0.0005258413461538461,0.0068359375,True,True,True,True,True
Hybrid-Manual,drugs,F1_Oracle_b0,0.8798093826609158,0.3624161747214094,1.0,0.8205128205128205,0.05929656214809531,0.00048828125,0.0006214488636363636,0.0068359375,True,True,True,True,True
Hybrid-Manual,drugs,F1_Oracle_b1,0.8215932067654103,0.4800252558452479,1.0,0.8181818181818182,0.0034113885835920232,0.25244140625,0.35341796875,1.0,True,False,False,False,False
Hybrid-Manual,drugs,F1_CV_b0,0.856621839877279,0.3610768382325836,1.0,0.7837837837837838,0.07283805609349525,0.00048828125,0.0005258413461538461,0.0068359375,True,True,True,True,True
Hybrid-Manual,drugs,F1_CV_b1,0.787620621009055,0.4812475878868735,1.0,0.7924528301886793,-0.004832209179624236,0.833984375,0.9729817708333334,1.0,True,False,False,False,False
Hybrid-Manual,drugs,AP_b0,0.9296820518101128,0.36854916806625776,1.0,0.861599426096489,0.06808262571362378,0.00048828125,0.0005696614583333334,0.0068359375,True,True,True,True,True
Hybrid-Manual,drugs,AP_b1,0.8948652096236135,0.5155992718323023,1.0,0.8963153213687491,-0.0014501117451356516,0.41552734375,0.5817382812499999,1.0,True,False,False,False,False
Hybrid-Manual,drugs,QWK_Oracle,0.8042567439490624,-0.0018957411287396546,1.0,0.7620538509705699,0.04220289297849256,0.00048828125,0.0006214488636363636,0.0068359375,True,True,True,True,True
Hybrid-Manual,drugs,QWK_CV,0.7504823608794279,-0.0011572465214886548,1.0,0.6671018276762403,0.08338053320318761,0.00048828125,0.0005258413461538461,0.0068359375,True,True,True,True,True
Hybrid-Manual,weapon,F1_Oracle_b0,0.763275866452824,0.35536321298482443,1.0,0.6379310344827587,0.1253448319700653,0.00048828125,0.0006214488636363636,0.0068359375,True,True,True,True,True
Hybrid-Manual,weapon,F1_Oracle_b1,0.828090199941077,0.510298903029111,1.0,0.7236842105263158,0.1044059894147612,0.00048828125,0.0009765625,0.0068359375,True,True,True,True,True
Hybrid-Manual,weapon,F1_CV_b0,0.7289336973764552,0.35513640046996475,1.0,0.5932203389830508,0.13571335839340437,0.00048828125,0.0005258413461538461,0.0068359375,True,True,True,True,True
Hybrid-Manual,weapon,F1_CV_b1,0.8052226738310821,0.49727504981074905,1.0,0.7074829931972789,0.09773968063380323,0.00048828125,0.0011393229166666667,0.0068359375,True,True,True,True,True
Hybrid-Manual,weapon,AP_b0,0.8029273144267073,0.3443877561637346,1.0,0.6055982056818153,0.19732910874489196,0.00048828125,0.0005696614583333334,0.0068359375,True,True,True,True,True
Hybrid-Manual,weapon,AP_b1,0.875546630230335,0.4740921774642066,1.0,0.7032593468890929,0.1722872833412421,0.00048828125,0.0009765625,0.0068359375,True,True,True,True,True
Hybrid-Manual,weapon,QWK_Oracle,0.7335669682739966,0.0006953191398578844,1.0,0.4858184764991895,0.24774849177480707,0.00048828125,0.0006214488636363636,0.0068359375,True,True,True,True,True
Hybrid-Manual,weapon,QWK_CV,0.704320314355304,0.0004075795282711091,1.0,0.4152185089974293,0.28910180535787466,0.00048828125,0.0005258413461538461,0.0068359375,True,True,True,True,True
Hybrid-Full,drugs,F1_Oracle_b0,0.891741661267434,0.35797638553720534,1.0,0.8205128205128205,0.07122884075461355,0.00048828125,0.0006214488636363636,0.0068359375,True,True,True,True,True
Hybrid-Full,drugs,F1_Oracle_b1,0.8211585959919311,0.4913360508100773,1.0,0.8181818181818182,0.0029767778101128517,0.44921875,0.5717329545454546,1.0,True,False,False,False,False
Hybrid-Full,drugs,F1_CV_b0,0.8735771662503513,0.3621329688303851,1.0,0.7837837837837838,0.08979338246656754,0.00048828125,0.0005258413461538461,0.0068359375,True,True,True,True,True
Hybrid-Full,drugs,F1_CV_b1,0.789746632859361,0.4909603282562172,1.0,0.7924528301886793,-0.002706197329318316,0.7041015625,0.8961292613636364,1.0,True,False,False,False,False
Hybrid-Full,drugs,AP_b0,0.9204982834848611,0.36788579116354075,1.0,0.861599426096489,0.05889885738837208,0.00048828125,0.0005696614583333334,0.0068359375,True,True,True,True,True
Hybrid-Full,drugs,AP_b1,0.8799320072568908,0.5144670989139225,1.0,0.8963153213687491,-0.016383314111858338,1.0,1.0,1.0,True,False,False,False,False
Hybrid-Full,drugs,QWK_Oracle,0.8081492473544184,-0.001733072368158,1.0,0.7620538509705699,0.04609539638384852,0.00048828125,0.0006214488636363636,0.0068359375,True,True,True,True,True
