,Manual,Hybrid-Manual,Hybrid-Full,GPT-Schema,GPT-Free,GPT-Law,Raw-Facts
Manual,1.0,0.0007,0.0007,0.001,0.0007,0.0007,0.001
Hybrid-Manual,1.0,1.0,1.0,1.0,0.9609,1.0,1.0
Hybrid-Full,1.0,0.5195,1.0,1.0,0.5195,0.5195,0.6738
GPT-Schema,0.9995,0.0537,0.1922,1.0,0.0146,0.0762,0.0537
GPT-Free,1.0,1.0,1.0,1.0,1.0,1.0,1.0
GPT-Law,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Raw-Facts,0.9995,0.2783,0.8767,0.9995,0.2783,0.2783,1.0
