rep,weapon_strict_AP,weapon_strict_F1,weapon_lenient_AP,weapon_lenient_F1,drugs_strict_AP,drugs_strict_F1,drugs_lenient_AP,drugs_lenient_F1
manual_fe,0.7463,0.735,0.8639,0.8282,0.9532,0.9071,0.9164,0.8466
H-Manual,0.7322,0.7145,0.8516,0.8146,0.9297,0.8798,0.8949,0.8216
H-Full,0.6901,0.7031,0.833,0.8078,0.9294,0.8818,0.8857,0.8204
GPT-Schema,0.7016,0.7045,0.7839,0.7709,0.93,0.8736,0.9008,0.8354
Raw-Facts,0.7026,0.7119,0.8289,0.7827,0.903,0.8737,0.8686,0.8145
GPT-Free,0.6973,0.7102,0.8432,0.7855,0.9042,0.8785,0.8714,0.8096
Law,0.6461,0.6791,0.8195,0.7938,0.8898,0.8666,0.8612,0.7984
