domain,task,rep,model,n,pos,AP,AUC,best_F1,precision,recall,accuracy,best_thr
drugs,lenient,Raw-Facts,gemma3_27b,100,50,0.8639,0.8764,0.8148,0.7586,0.88,0.8,40.0
drugs,lenient,Raw-Facts,gemma4_31b_or,100,50,0.8611,0.8716,0.8298,0.8864,0.78,0.84,42.0
drugs,lenient,Raw-Facts,gpt4,100,50,0.8685,0.8708,0.8,0.9,0.72,0.82,60.0
drugs,lenient,Raw-Facts,gpt51_thinking,100,50,0.8801,0.8754,0.8261,0.9048,0.76,0.84,57.0
drugs,lenient,Raw-Facts,gpt52,100,50,0.8937,0.8806,0.8352,0.9268,0.76,0.85,56.0
drugs,lenient,Raw-Facts,gpt5mini,100,50,0.8868,0.8626,0.7907,0.9444,0.68,0.82,65.0
drugs,lenient,Raw-Facts,llama3_70b,100,50,0.8229,0.8272,0.7835,0.8085,0.76,0.79,44.0
drugs,lenient,Raw-Facts,qwen3_vl_235b_or,100,50,0.8612,0.8604,0.8172,0.8837,0.76,0.83,40.0
drugs,lenient,GPT-Free,claude_sonnet_4_6,100,50,0.8698,0.8856,0.8163,0.8333,0.8,0.82,22.0
drugs,lenient,GPT-Free,gemini_25_pro,100,50,0.8411,0.8486,0.8125,0.8478,0.78,0.82,25.0
drugs,lenient,GPT-Free,gemini_3_flash,100,50,0.8651,0.8676,0.8041,0.8298,0.78,0.81,45.0
drugs,lenient,GPT-Free,gemma3_27b,100,50,0.8689,0.8802,0.8036,0.7258,0.9,0.78,35.0
drugs,lenient,GPT-Free,gemma4_31b_or,100,50,0.8661,0.892,0.8247,0.8511,0.8,0.83,35.0
drugs,lenient,GPT-Free,gpt4,100,50,0.8776,0.8612,0.8043,0.881,0.74,0.82,45.0
drugs,lenient,GPT-Free,gpt51_thinking,100,50,0.8929,0.8914,0.8155,0.7925,0.84,0.81,38.0
drugs,lenient,GPT-Free,gpt52,100,50,0.8904,0.8804,0.8163,0.8333,0.8,0.82,42.0
drugs,lenient,GPT-Free,gpt5mini,100,50,0.9052,0.8842,0.8462,0.8148,0.88,0.84,39.0
drugs,lenient,GPT-Free,llama3_70b,100,50,0.8431,0.8438,0.7789,0.8222,0.74,0.79,45.0
drugs,lenient,GPT-Free,qwen3_vl_235b_or,100,50,0.8656,0.8634,0.7835,0.8085,0.76,0.79,30.0
drugs,lenient,Law,claude_sonnet_4_6,100,50,0.8903,0.8782,0.8132,0.9024,0.74,0.83,38.0
drugs,lenient,Law,gemini_25_pro,100,50,0.8458,0.827,0.8043,0.881,0.74,0.82,35.0
drugs,lenient,Law,gemini_3_flash,100,50,0.8489,0.8526,0.8041,0.8298,0.78,0.81,58.0
drugs,lenient,Law,gemma3_27b,100,50,0.845,0.8666,0.7879,0.7959,0.78,0.79,55.0
drugs,lenient,Law,gemma4_31b_or,100,50,0.8468,0.868,0.8222,0.925,0.74,0.84,55.0
drugs,lenient,Law,gpt4,100,50,0.8756,0.838,0.7957,0.8605,0.74,0.81,58.0
drugs,lenient,Law,gpt51_thinking,100,50,0.871,0.8628,0.8172,0.8837,0.76,0.83,62.0
drugs,lenient,Law,gpt52,100,50,0.8673,0.8524,0.8,0.9,0.72,0.82,58.0
drugs,lenient,Law,gpt5mini,100,50,0.8604,0.8282,0.7865,0.8974,0.7,0.81,65.0
drugs,lenient,Law,llama3_70b,100,50,0.8576,0.8468,0.7679,0.6935,0.86,0.74,45.0
drugs,lenient,Law,qwen3_vl_235b_or,100,50,0.864,0.8684,0.7835,0.8085,0.76,0.79,45.0
drugs,strict,manual_fe,claude_sonnet_4_6,100,35,0.9754,0.9833,0.9552,1.0,0.9143,0.97,55.0
drugs,strict,manual_fe,gemini_25_pro,100,35,0.9585,0.9778,0.9167,0.8919,0.9429,0.94,60.0
drugs,strict,manual_fe,gemini_3_flash,100,35,0.9526,0.9763,0.8986,0.9118,0.8857,0.93,75.0
drugs,strict,manual_fe,gemma3_27b,100,35,0.9431,0.9725,0.9062,1.0,0.8286,0.94,75.0
drugs,strict,manual_fe,gemma4_31b_or,100,37,0.9501,0.9719,0.8947,0.8718,0.9189,0.92,65.0
drugs,strict,manual_fe,gpt4,100,35,0.9592,0.9697,0.9275,0.9412,0.9143,0.95,70.0
drugs,strict,manual_fe,gpt51_thinking,100,35,0.966,0.9798,0.9091,0.9677,0.8571,0.94,75.0
drugs,strict,manual_fe,gpt52,100,35,0.9639,0.9776,0.9118,0.9394,0.8857,0.94,62.0
drugs,strict,manual_fe,gpt5mini,100,35,0.9538,0.971,0.9118,0.9394,0.8857,0.94,70.0
drugs,strict,manual_fe,llama3_70b,100,35,0.9317,0.9758,0.8642,0.7609,1.0,0.89,60.0
drugs,strict,manual_fe,qwen3_vl_235b_or,100,37,0.931,0.9513,0.8824,0.9677,0.8108,0.92,60.0
drugs,strict,H-Manual,claude_sonnet_4_6,100,35,0.9635,0.9793,0.9041,0.8684,0.9429,0.93,34.0
drugs,strict,H-Manual,gemini_25_pro,100,35,0.8983,0.9545,0.88,0.825,0.9429,0.91,35.0
drugs,strict,H-Manual,gemini_3_flash,100,35,0.9271,0.9609,0.8696,0.8824,0.8571,0.91,72.0
drugs,strict,H-Manual,gemma3_27b,100,35,0.9243,0.964,0.88,0.825,0.9429,0.91,65.0
drugs,strict,H-Manual,gemma4_31b_or,100,35,0.928,0.9677,0.9041,0.8684,0.9429,0.93,45.0
drugs,strict,H-Manual,gpt4,100,35,0.952,0.9637,0.8889,0.8649,0.9143,0.92,65.0
drugs,strict,H-Manual,gpt51_thinking,100,35,0.944,0.9664,0.8986,0.9118,0.8857,0.93,67.0
drugs,strict,H-Manual,gpt52,100,35,0.948,0.9679,0.8732,0.8611,0.8857,0.91,55.0
drugs,strict,H-Manual,gpt5mini,100,35,0.9459,0.9686,0.8649,0.8205,0.9143,0.9,65.0
drugs,strict,H-Manual,llama3_70b,100,35,0.9253,0.9532,0.8684,0.8049,0.9429,0.9,58.0
drugs,strict,H-Manual,qwen3_vl_235b_or,100,35,0.87,0.9479,0.8462,0.7674,0.9429,0.88,45.0
drugs,strict,H-Full,claude_sonnet_4_6,100,35,0.9719,0.9846,0.9118,0.9394,0.8857,0.94,55.0
drugs,strict,H-Full,gemini_25_pro,100,35,0.9113,0.964,0.8919,0.8462,0.9429,0.92,40.0
drugs,strict,H-Full,gemini_3_flash,100,35,0.9514,0.976,0.8889,0.8649,0.9143,0.92,72.0
drugs,strict,H-Full,gemma3_27b,100,35,0.897,0.9604,0.8684,0.8049,0.9429,0.9,65.0
