domain,task,rep,model,n,pos,AP,AUC,best_F1,precision,recall,accuracy,best_thr
weapon,strict,manual_fe,gemini_3_flash,141,41,0.7603,0.912,0.74,0.6271,0.9024,0.8156,62.0
weapon,strict,manual_fe,gemma3_27b,141,41,0.6364,0.8557,0.6863,0.5738,0.8537,0.773,60.0
weapon,strict,manual_fe,gemma4_31b_or,141,41,0.772,0.9193,0.7835,0.6786,0.9268,0.8511,45.0
weapon,strict,manual_fe,gpt4,141,41,0.7916,0.9049,0.7234,0.6415,0.8293,0.8156,65.0
weapon,strict,manual_fe,gpt51_thinking,141,41,0.8234,0.9179,0.7765,0.75,0.8049,0.8652,70.0
weapon,strict,manual_fe,gpt52,141,41,0.7653,0.9015,0.7184,0.5968,0.9024,0.7943,58.0
weapon,strict,manual_fe,gpt5mini,141,41,0.8161,0.9328,0.8,0.8205,0.7805,0.8865,66.0
weapon,strict,manual_fe,llama3_70b,141,41,0.632,0.8338,0.6667,0.5469,0.8537,0.7518,60.0
weapon,strict,manual_fe,qwen3_vl_235b_or,141,41,0.7059,0.8821,0.7342,0.7632,0.7073,0.8511,68.0
weapon,strict,H-Manual,claude_sonnet_4_6,141,41,0.774,0.904,0.7111,0.6531,0.7805,0.8156,42.0
weapon,strict,H-Manual,gemini_25_pro,141,41,0.6538,0.8421,0.6538,0.5397,0.8293,0.7447,25.0
weapon,strict,H-Manual,gemini_3_flash,141,41,0.7414,0.8999,0.7191,0.6667,0.7805,0.8227,65.0
weapon,strict,H-Manual,gemma3_27b,141,41,0.5748,0.8051,0.6364,0.5072,0.8537,0.7163,45.0
weapon,strict,H-Manual,gemma4_31b_or,141,41,0.7399,0.9085,0.7835,0.6786,0.9268,0.8511,40.0
weapon,strict,H-Manual,gpt4,141,41,0.824,0.9128,0.7179,0.7568,0.6829,0.844,75.0
weapon,strict,H-Manual,gpt51_thinking,141,41,0.8244,0.9251,0.7609,0.6863,0.8537,0.844,65.0
weapon,strict,H-Manual,gpt52,141,41,0.7314,0.8961,0.7089,0.7368,0.6829,0.8369,62.0
weapon,strict,H-Manual,gpt5mini,141,41,0.7913,0.9222,0.7692,0.7,0.8537,0.8511,58.0
weapon,strict,H-Manual,llama3_70b,141,41,0.6431,0.8233,0.6593,0.6,0.7317,0.7801,55.0
weapon,strict,H-Manual,qwen3_vl_235b_or,141,41,0.7565,0.9012,0.7397,0.8438,0.6585,0.8652,75.0
weapon,strict,H-Full,claude_sonnet_4_6,141,41,0.7342,0.9062,0.7865,0.7292,0.8537,0.8652,47.0
weapon,strict,H-Full,gemini_25_pro,141,41,0.7034,0.8644,0.6731,0.5556,0.8537,0.7589,25.0
weapon,strict,H-Full,gemini_3_flash,141,41,0.7744,0.9035,0.7475,0.6379,0.9024,0.8227,62.0
weapon,strict,H-Full,gemma3_27b,141,41,0.5146,0.7762,0.6,0.4382,0.9512,0.6312,40.0
weapon,strict,H-Full,gemma4_31b_or,141,41,0.741,0.9039,0.7333,0.6735,0.8049,0.8298,55.0
weapon,strict,H-Full,gpt4,141,41,0.7415,0.8896,0.7071,0.6034,0.8537,0.7943,60.0
weapon,strict,H-Full,gpt51_thinking,141,41,0.7781,0.894,0.729,0.5909,0.9512,0.7943,55.0
weapon,strict,H-Full,gpt52,141,41,0.7463,0.8901,0.7111,0.6531,0.7805,0.8156,62.0
weapon,strict,H-Full,gpt5mini,141,41,0.6584,0.8674,0.7129,0.6,0.878,0.7943,60.0
weapon,strict,H-Full,llama3_70b,141,41,0.5559,0.8045,0.6465,0.5517,0.7805,0.7518,58.0
weapon,strict,H-Full,qwen3_vl_235b_or,141,41,0.6433,0.8452,0.6869,0.5862,0.8293,0.7801,40.0
weapon,strict,GPT-Schema,claude_sonnet_4_6,141,41,0.7336,0.9001,0.7711,0.7619,0.7805,0.8652,58.0
weapon,strict,GPT-Schema,gemini_25_pro,141,41,0.7048,0.8511,0.661,0.5065,0.9512,0.7163,25.0
weapon,strict,GPT-Schema,gemini_3_flash,141,41,0.7956,0.9065,0.7654,0.775,0.7561,0.8652,78.0
weapon,strict,GPT-Schema,gemma3_27b,141,41,0.5308,0.7855,0.5965,0.4658,0.8293,0.6738,65.0
weapon,strict,GPT-Schema,gemma4_31b_or,141,41,0.7913,0.9184,0.7455,0.5942,1.0,0.8014,40.0
weapon,strict,GPT-Schema,gpt4,141,41,0.7553,0.8824,0.7273,0.6809,0.7805,0.8298,68.0
weapon,strict,GPT-Schema,gpt51_thinking,141,41,0.7767,0.8949,0.7848,0.8158,0.7561,0.8794,72.0
weapon,strict,GPT-Schema,gpt52,141,41,0.7454,0.8807,0.75,0.7692,0.7317,0.8582,67.0
weapon,strict,GPT-Schema,gpt5mini,141,41,0.7479,0.8833,0.7356,0.6957,0.7805,0.8369,63.0
weapon,strict,GPT-Schema,llama3_70b,141,41,0.5185,0.7654,0.5833,0.443,0.8537,0.6454,52.0
weapon,strict,GPT-Schema,qwen3_vl_235b_or,141,41,0.6174,0.8295,0.6292,0.5833,0.6829,0.766,55.0
weapon,strict,Raw-Facts,claude_sonnet_4_6,141,41,0.7505,0.8872,0.7209,0.6889,0.7561,0.8298,55.0
weapon,strict,Raw-Facts,gemini_25_pro,141,41,0.6186,0.8196,0.6667,0.675,0.6585,0.8085,45.0
weapon,strict,Raw-Facts,gemini_3_flash,141,41,0.665,0.8494,0.7083,0.6182,0.8293,0.8014,72.0
weapon,strict,Raw-Facts,gemma3_27b,141,41,0.6758,0.8874,0.7308,0.6032,0.9268,0.8014,65.0
weapon,strict,Raw-Facts,gemma4_31b_or,141,41,0.7007,0.865,0.7143,0.614,0.8537,0.8014,55.0
weapon,strict,Raw-Facts,gpt4,141,41,0.7464,0.8765,0.75,0.7021,0.8049,0.844,75.0
weapon,strict,Raw-Facts,gpt51_thinking,141,41,0.6664,0.8501,0.6889,0.6327,0.7561,0.8014,70.0
weapon,strict,Raw-Facts,gpt52,141,41,0.7859,0.8965,0.7711,0.7619,0.7805,0.8652,65.0
weapon,strict,Raw-Facts,gpt5mini,141,41,0.7673,0.8762,0.7234,0.6415,0.8293,0.8156,65.0
weapon,strict,Raw-Facts,llama3_70b,141,41,0.6572,0.8299,0.6179,0.4634,0.9268,0.6667,60.0
weapon,strict,Raw-Facts,qwen3_vl_235b_or,141,41,0.6952,0.8698,0.7391,0.6667,0.8293,0.8298,45.0
weapon,strict,GPT-Free,claude_sonnet_4_6,141,41,0.743,0.9006,0.7727,0.7234,0.8293,0.8582,42.0
weapon,strict,GPT-Free,gemini_25_pro,141,41,0.6862,0.8448,0.68,0.5763,0.8293,0.773,25.0
weapon,strict,GPT-Free,gemini_3_flash,141,41,0.7355,0.8833,0.7033,0.64,0.7805,0.8085,65.0
weapon,strict,GPT-Free,gemma3_27b,141,41,0.5967,0.8462,0.6667,0.5574,0.8293,0.7589,40.0
weapon,strict,GPT-Free,gemma4_31b_or,141,41,0.6907,0.8834,0.7312,0.6538,0.8293,0.8227,40.0
weapon,strict,GPT-Free,gpt4,141,41,0.7249,0.8741,0.7407,0.75,0.7317,0.8511,70.0
weapon,strict,GPT-Free,gpt51_thinking,141,41,0.7375,0.886,0.7368,0.8,0.6829,0.8582,70.0
weapon,strict,GPT-Free,gpt52,141,41,0.7604,0.8921,0.7083,0.6182,0.8293,0.8014,47.0
weapon,strict,GPT-Free,gpt5mini,141,41,0.7485,0.894,0.7234,0.6415,0.8293,0.8156,47.0
weapon,strict,GPT-Free,llama3_70b,141,41,0.5497,0.7746,0.6118,0.5909,0.6341,0.766,58.0
weapon,strict,GPT-Free,qwen3_vl_235b_or,141,41,0.6977,0.8655,0.7368,0.8,0.6829,0.8582,45.0
weapon,strict,Law,claude_sonnet_4_6,141,41,0.7188,0.8761,0.6923,0.5714,0.878,0.773,34.0
weapon,strict,Law,gemini_25_pro,141,41,0.6163,0.8289,0.6667,0.5373,0.878,0.7447,25.0
weapon,strict,Law,gemini_3_flash,141,41,0.6343,0.8465,0.6818,0.6383,0.7317,0.8014,75.0
weapon,strict,Law,gemma3_27b,141,41,0.5741,0.8182,0.6526,0.5741,0.7561,0.766,55.0
weapon,strict,Law,gemma4_31b_or,141,41,0.6949,0.8696,0.699,0.5806,0.878,0.7801,40.0
weapon,strict,Law,gpt4,141,41,0.6372,0.8362,0.6731,0.5556,0.8537,0.7589,45.0
weapon,strict,Law,gpt51_thinking,141,41,0.7115,0.8688,0.7111,0.6531,0.7805,0.8156,63.0
weapon,strict,Law,gpt52,141,41,0.7026,0.8652,0.7083,0.6182,0.8293,0.8014,58.0
weapon,strict,Law,gpt5mini,141,41,0.6445,0.8627,0.7234,0.6415,0.8293,0.8156,57.0
weapon,strict,Law,llama3_70b,141,41,0.5432,0.7552,0.6116,0.4625,0.9024,0.6667,48.0
weapon,strict,Law,qwen3_vl_235b_or,141,41,0.6294,0.8404,0.6504,0.4878,0.9756,0.695,35.0
