verdict,variant,err_low,err_high
תפ_35702-02-13,baseline (median),18.0,32.0
תפ_52848-09-22,baseline (median),14.0,22.0
תפ_20425-02-20,baseline (median),2.0,0.0
תפ_29898-02-14,baseline (median),10.0,22.0
תפ_7053-03-21,baseline (median),0.0,10.0
תפ_8416-07-21,baseline (median),54.0,80.0
תפ_43009-08-20,baseline (median),0.0,4.0
תפ_51471-12-21,baseline (median),14.0,32.0
תפ_15319-01-12,baseline (median),12.0,28.0
תפ_39723-12-22,baseline (median),4.0,4.0
תפ_5221-11-19,baseline (median),6.0,4.0
תפ_14593-04-20,baseline (median),2.0,4.0
תפ_7676-03-23,baseline (median),2.0,10.0
תפ_47357-06-16,baseline (median),3.0,4.0
פרק_5182-17,baseline (median),6.0,8.0
תפ_44380-08-16,baseline (median),4.0,4.0
תפ_8510-09-23,baseline (median),8.0,16.0
תפ_49212-08-19,baseline (median),16.0,32.0
תפ_30327-02-21,baseline (median),6.0,10.0
תפ_18833-05-13,baseline (median),10.0,22.0
תפ_65677-11-15,baseline (median),6.0,8.0
תפח_28728-08-17,baseline (median),42.0,92.0
תפ_68697-07-20,baseline (median),3.0,0.0
תפ_14531-07-16,baseline (median),6.0,2.0
תפ_61820-08-21,baseline (median),3.0,4.0
תפ_5159-05-23,baseline (median),9.0,22.0
תפ_45432-11-15,baseline (median),6.0,20.0
תפ_17919-01-15,baseline (median),6.0,8.0
תפ_3548-09-24,baseline (median),10.0,20.0
תפ_3214-11-12,baseline (median),13.0,10.0
תפח_31041-04-13,baseline (median),54.0,140.0
תפ_56073-05-18,baseline (median),6.0,0.0
תפ_29243-03-15,baseline (median),78.0,104.0
תפ_66893-12-21,baseline (median),12.0,2.0
תפ_54764-01-20,baseline (median),66.0,92.0
עפ_4910-13,baseline (median),282.0,380.0
תפ_6733-05-15,baseline (median),16.0,30.0
תפח_34802-06-19,baseline (median),246.0,320.0
עפ_3793-18,baseline (median),10.0,16.0
תפ_32775-09-23,baseline (median),42.0,56.0
תפ_36414-03-16,baseline (median),12.0,22.0
תפ_37900-06-22,baseline (median),32.0,40.0
תפ_46737-07-22,baseline (median),2.0,4.0
תפ_13142-02-15,baseline (median),2.0,8.0
תפ_29772-11-13,baseline (median),12.0,22.0
תפ_24634-04-23,baseline (median),36.0,32.0
תפ_34448-01-20,baseline (median),10.0,16.0
תפ_57707-05-20,baseline (median),2.0,4.0
תפ_3197-06-22,baseline (median),2.0,8.0
עפ_1901-19,baseline (median),36.0,50.0
תפ_27294-04-19,baseline (median),4.0,4.0
תפ_43587-07-20,baseline (median),13.0,22.0
תפ_60788-01-19,baseline (median),15.0,26.0
תפ_26552-06-23,baseline (median),4.0,4.0
תפ_69933-03-23,baseline (median),24.0,24.0
תפ_37966-04-23,baseline (median),14.0,14.0
תפ_49203-01-22,baseline (median),0.0,4.0
תפ_31640-02-23,baseline (median),11.0,16.0
תפ_51473-05-20,baseline (median),7.0,10.0
תפ_19269-08-24,baseline (median),12.0,4.0
תפ_60494-05-12,baseline (median),12.0,16.0
תפ_33009-05-16,baseline (median),6.0,20.0
תפ_17618-11-13,baseline (median),10.0,24.0
תפ_23749-12-19,baseline (median),12.0,14.0
תפ_7049-08-20,baseline (median),2.0,10.0
תפ_20928-07-12,baseline (median),9.0,16.0
תפ_40390-08-15,baseline (median),30.0,56.0
תפ_18418-04-18,baseline (median),6.0,4.0
תפ_16420-10-16,baseline (median),54.0,80.0
תפ_18210-05-23,baseline (median),12.0,14.0
תפ_32883-03-22,baseline (median),72.0,110.0
תפ_32585-03-21,baseline (median),8.0,22.0
תפ_34242-02-16,baseline (median),0.0,8.0
תפ_45191-09-14,baseline (median),24.0,56.0
תפ_34197-11-12,baseline (median),13.0,25.0
תפ_46108-06-20,baseline (median),8.0,4.0
תפ_61118-07-23,baseline (median),2.0,0.0
תפ_76750-01-23,baseline (median),17.0,30.0
תפ_32685-07-15,baseline (median),54.0,104.0
תפ_42836-09-14,baseline (median),3.0,10.0
תפ_1136-11-21,baseline (median),17.0,20.0
תפ_42326-01-11,baseline (median),18.0,56.0
תפ_71333-10-21,baseline (median),2.0,8.0
תפ_22526-03-22,baseline (median),0.0,4.0
תפ_30974-03-14,baseline (median),12.0,20.0
תפ_22405-05-23,baseline (median),60.0,80.0
תפ_7498-11-14,baseline (median),18.0,32.0
תפ_45761-05-24,baseline (median),6.0,16.0
תפ_52254-06-12,baseline (median),2.0,20.0
תפ_40528-12-15,baseline (median),13.0,25.0
תפ_40999-01-21,baseline (median),54.0,104.0
תפ_10896-06-20,baseline (median),4.0,8.0
תפ_48772-11-20,baseline (median),4.0,10.0
תפ_66110-11-23,baseline (median),2.0,8.0
תפ_36505-12-20,baseline (median),54.0,80.0
תפ_15105-08-14,baseline (median),6.0,8.0
תפ_70392-03-23,baseline (median),48.0,62.0
תפ_50686-04-24,baseline (median),12.0,2.0
תפ_37387-04-18,baseline (median),0.0,4.0
תפח_55639-05-17,baseline (median),198.0,200.0
תפ_36216-09-12,baseline (median),30.0,44.0
תפ_16752-10-20,baseline (median),0.0,0.0
עפג_33195-09-21,baseline (median),6.0,8.0
תפ_17839-04-22,baseline (median),11.0,22.0
תפ_9632-08-23,baseline (median),10.0,22.0
תפ_13706-08-12,baseline (median),6.0,8.0
עפ_2482-22,baseline (median),8.0,4.0
תפ_4764-08-22,baseline (median),12.0,20.0
תפ_16506-10-14,baseline (median),6.0,8.0
תפ_31935-12-21,baseline (median),8.0,22.0
