metric,domain,a,b,n,mean_a,mean_b,delta,dz,wins,p_raw,p_fdr,p_bonf,sig_fdr_5pct
Spearman,weapon,Manual,Hybrid-Full,11,0.76,0.7363,0.0236,1.219,9,0.002441,0.002441,0.014646,True
Spearman,weapon,Manual,GPT-Schema,11,0.76,0.7261,0.0338,1.544,11,0.000488,0.000976,0.002928,True
Spearman,weapon,Manual,GPT-Free,11,0.76,0.678,0.082,2.562,11,0.000488,0.000976,0.002928,True
Spearman,weapon,Manual,GPT-Law,11,0.76,0.683,0.077,2.354,11,0.000488,0.000976,0.002928,True
Spearman,weapon,Manual,Raw-Facts,11,0.76,0.6817,0.0783,1.485,9,0.002441,0.002441,0.014646,True
Spearman,weapon,Hybrid-Manual,Manual,11,0.7364,0.76,-0.0236,-1.258,1,0.999023,0.999023,1.0,False
Spearman,weapon,Hybrid-Manual,Hybrid-Full,11,0.7364,0.7363,0.0001,0.003,7,0.318848,0.382618,1.0,False
Spearman,weapon,Hybrid-Manual,GPT-Schema,11,0.7364,0.7261,0.0103,0.347,7,0.13916,0.20874,0.83496,False
Spearman,weapon,Hybrid-Manual,GPT-Free,11,0.7364,0.678,0.0584,1.731,10,0.000977,0.004395,0.005862,True
Spearman,weapon,Hybrid-Manual,GPT-Law,11,0.7364,0.683,0.0534,1.598,10,0.001465,0.004395,0.00879,True
Spearman,weapon,Hybrid-Manual,Raw-Facts,11,0.7364,0.6817,0.0547,0.991,9,0.005371,0.010742,0.032226,True
Spearman,weapon,Hybrid-Full,Manual,11,0.7363,0.76,-0.0236,-1.219,2,0.998535,0.998535,1.0,False
Spearman,weapon,Hybrid-Full,Hybrid-Manual,11,0.7363,0.7364,-0.0001,-0.003,4,0.711426,0.853711,1.0,False
Spearman,weapon,Hybrid-Full,GPT-Schema,11,0.7363,0.7261,0.0102,0.314,8,0.160156,0.240234,0.960936,False
Spearman,weapon,Hybrid-Full,GPT-Free,11,0.7363,0.678,0.0583,2.245,11,0.000488,0.001464,0.002928,True
Spearman,weapon,Hybrid-Full,GPT-Law,11,0.7363,0.683,0.0533,1.482,11,0.000488,0.001464,0.002928,True
Spearman,weapon,Hybrid-Full,Raw-Facts,11,0.7363,0.6817,0.0546,1.407,9,0.002441,0.004882,0.014646,True
Spearman,weapon,GPT-Schema,Manual,11,0.7261,0.76,-0.0338,-1.544,0,1.0,1.0,1.0,False
Spearman,weapon,GPT-Schema,Hybrid-Manual,11,0.7261,0.7364,-0.0103,-0.347,4,0.879883,1.0,1.0,False
Spearman,weapon,GPT-Schema,Hybrid-Full,11,0.7261,0.7363,-0.0102,-0.314,3,0.86084,1.0,1.0,False
Spearman,weapon,GPT-Schema,GPT-Free,11,0.7261,0.678,0.0481,1.535,10,0.001465,0.004395,0.00879,True
Spearman,weapon,GPT-Schema,GPT-Law,11,0.7261,0.683,0.0431,1.678,10,0.001465,0.004395,0.00879,True
Spearman,weapon,GPT-Schema,Raw-Facts,11,0.7261,0.6817,0.0445,0.717,9,0.033691,0.067382,0.202146,False
Spearman,weapon,GPT-Free,Manual,11,0.678,0.76,-0.082,-2.562,0,1.0,1.0,1.0,False
Spearman,weapon,GPT-Free,Hybrid-Manual,11,0.678,0.7364,-0.0584,-1.731,1,0.999512,1.0,1.0,False
Spearman,weapon,GPT-Free,Hybrid-Full,11,0.678,0.7363,-0.0583,-2.245,0,1.0,1.0,1.0,False
Spearman,weapon,GPT-Free,GPT-Schema,11,0.678,0.7261,-0.0481,-1.535,1,0.999023,1.0,1.0,False
Spearman,weapon,GPT-Free,GPT-Law,11,0.678,0.683,-0.005,-0.207,2,0.896973,1.0,1.0,False
Spearman,weapon,GPT-Free,Raw-Facts,11,0.678,0.6817,-0.0037,-0.086,6,0.48291,1.0,1.0,False
Spearman,weapon,GPT-Law,Manual,11,0.683,0.76,-0.077,-2.354,0,1.0,1.0,1.0,False
Spearman,weapon,GPT-Law,Hybrid-Manual,11,0.683,0.7364,-0.0534,-1.598,1,0.999023,1.0,1.0,False
Spearman,weapon,GPT-Law,Hybrid-Full,11,0.683,0.7363,-0.0533,-1.482,0,1.0,1.0,1.0,False
Spearman,weapon,GPT-Law,GPT-Schema,11,0.683,0.7261,-0.0431,-1.678,1,0.999023,1.0,1.0,False
Spearman,weapon,GPT-Law,GPT-Free,11,0.683,0.678,0.005,0.207,9,0.120117,0.697266,0.720702,False
Spearman,weapon,GPT-Law,Raw-Facts,11,0.683,0.6817,0.0013,0.024,7,0.232422,0.697266,1.0,False
Spearman,weapon,Raw-Facts,Manual,11,0.6817,0.76,-0.0783,-1.485,2,0.998535,0.998535,1.0,False
Spearman,weapon,Raw-Facts,Hybrid-Manual,11,0.6817,0.7364,-0.0547,-0.991,2,0.995605,0.998535,1.0,False
Spearman,weapon,Raw-Facts,Hybrid-Full,11,0.6817,0.7363,-0.0546,-1.407,2,0.998535,0.998535,1.0,False
Spearman,weapon,Raw-Facts,GPT-Schema,11,0.6817,0.7261,-0.0445,-0.717,2,0.973145,0.998535,1.0,False
Spearman,weapon,Raw-Facts,GPT-Free,11,0.6817,0.678,0.0037,0.086,5,0.550781,0.998535,1.0,False
Spearman,weapon,Raw-Facts,GPT-Law,11,0.6817,0.683,-0.0013,-0.024,4,0.793457,0.998535,1.0,False
Ordinal_AUC,drugs,Manual,Hybrid-Manual,11,0.9395,0.9281,0.0114,1.028,10,0.000977,0.001172,0.005862,True
Ordinal_AUC,drugs,Manual,Hybrid-Full,11,0.9395,0.9234,0.0161,2.82,11,0.000488,0.000732,0.002928,True
Ordinal_AUC,drugs,Manual,GPT-Schema,11,0.9395,0.9299,0.0096,1.049,9,0.006836,0.006836,0.041016,True
Ordinal_AUC,drugs,Manual,GPT-Free,11,0.9395,0.9077,0.0318,4.041,11,0.000488,0.000732,0.002928,True
Ordinal_AUC,drugs,Manual,GPT-Law,11,0.9395,0.8921,0.0474,5.387,11,0.000488,0.000732,0.002928,True
Ordinal_AUC,drugs,Manual,Raw-Facts,11,0.9395,0.9044,0.0351,3.898,11,0.000488,0.000732,0.002928,True
Ordinal_AUC,drugs,Hybrid-Manual,Manual,11,0.9281,0.9395,-0.0114,-1.028,1,0.999512,0.999512,1.0,False
Ordinal_AUC,drugs,Hybrid-Manual,Hybrid-Full,11,0.9281,0.9234,0.0047,0.361,8,0.182617,0.273926,1.0,False
Ordinal_AUC,drugs,Hybrid-Manual,GPT-Schema,11,0.9281,0.9299,-0.0018,-0.163,5,0.73291,0.879492,1.0,False
Ordinal_AUC,drugs,Hybrid-Manual,GPT-Free,11,0.9281,0.9077,0.0204,2.136,11,0.000488,0.000976,0.002928,True
Ordinal_AUC,drugs,Hybrid-Manual,GPT-Law,11,0.9281,0.8921,0.036,2.873,11,0.000488,0.000976,0.002928,True
Ordinal_AUC,drugs,Hybrid-Manual,Raw-Facts,11,0.9281,0.9044,0.0237,3.179,11,0.000488,0.000976,0.002928,True
Ordinal_AUC,drugs,Hybrid-Full,Manual,11,0.9234,0.9395,-0.0161,-2.82,0,1.0,1.0,1.0,False
Ordinal_AUC,drugs,Hybrid-Full,Hybrid-Manual,11,0.9234,0.9281,-0.0047,-0.361,3,0.839844,1.0,1.0,False
Ordinal_AUC,drugs,Hybrid-Full,GPT-Schema,11,0.9234,0.9299,-0.0065,-0.747,2,0.983887,1.0,1.0,False
Ordinal_AUC,drugs,Hybrid-Full,GPT-Free,11,0.9234,0.9077,0.0157,1.625,10,0.000977,0.001954,0.005862,True
Ordinal_AUC,drugs,Hybrid-Full,GPT-Law,11,0.9234,0.8921,0.0313,4.141,11,0.000488,0.001464,0.002928,True
Ordinal_AUC,drugs,Hybrid-Full,Raw-Facts,11,0.9234,0.9044,0.019,1.889,11,0.000488,0.001464,0.002928,True
Ordinal_AUC,drugs,GPT-Schema,Manual,11,0.9299,0.9395,-0.0096,-1.049,2,0.995117,0.995117,1.0,False
Ordinal_AUC,drugs,GPT-Schema,Hybrid-Manual,11,0.9299,0.9281,0.0018,0.163,6,0.28125,0.3375,1.0,False
Ordinal_AUC,drugs,GPT-Schema,Hybrid-Full,11,0.9299,0.9234,0.0065,0.747,9,0.020996,0.031494,0.125976,True
Ordinal_AUC,drugs,GPT-Schema,GPT-Free,11,0.9299,0.9077,0.0222,1.965,11,0.000488,0.000976,0.002928,True
Ordinal_AUC,drugs,GPT-Schema,GPT-Law,11,0.9299,0.8921,0.0378,4.535,11,0.000488,0.000976,0.002928,True
Ordinal_AUC,drugs,GPT-Schema,Raw-Facts,11,0.9299,0.9044,0.0255,2.509,11,0.000488,0.000976,0.002928,True
Ordinal_AUC,drugs,GPT-Free,Manual,11,0.9077,0.9395,-0.0318,-4.041,0,1.0,1.0,1.0,False
Ordinal_AUC,drugs,GPT-Free,Hybrid-Manual,11,0.9077,0.9281,-0.0204,-2.136,0,1.0,1.0,1.0,False
Ordinal_AUC,drugs,GPT-Free,Hybrid-Full,11,0.9077,0.9234,-0.0157,-1.625,1,0.999512,1.0,1.0,False
