row,gt_b0,gt_b1,scale,v1,v2,mfe_w0,mfe_w1,hyb_w0,hyb_w1,hfg_w0,hfg_w1,total,gap_b0_mfe_vs_hyb,gap_b1_mfe_vs_hyb,gap_b0_mfe_vs_hfg,gap_b1_mfe_vs_hfg,max_gap,min_gap
52,1,1,3,SH-22-05-36033-112,SH-22-05-39259-133,0,0,0,0,3,0,11,0,0,-3,0,0,-3
53,0,0,1,SH-22-05-39259-133,ME-16-06-6788-21,0,0,0,0,0,0,11,0,0,0,0,0,0
54,0,0,1,SH-22-05-39259-133,SH-21-03-7171-604,2,8,0,3,1,2,11,2,5,1,6,6,1
55,0,0,1,SH-23-07-61816-773,SH-24-01-26596-264,3,4,2,3,3,6,11,1,1,0,-2,1,-2
56,0,0,1,SH-23-09-35299-260,ME-22-06-54208-991,2,4,1,3,3,6,11,1,1,-1,-2,1,-2
57,1,1,3,SH-24-01-3818-394,ME-17-04-17677-800,0,0,0,0,0,0,11,0,0,0,0,0,0
58,0,0,1,SH-24-01-9804-702,ME-19-01-68958-71,0,1,0,0,0,0,11,0,1,0,1,1,0
59,0,0,1,SH-24-05-28565-553,ME-15-09-24514-351,1,4,0,2,1,3,11,1,2,0,1,2,0
60,1,1,3,ME-17-01-620-279,ME-10-11-18588-3,0,0,0,0,0,0,11,0,0,0,0,0,0
61,0,0,1,ME-18-02-5680-55,SH-13-09-29504-694,0,0,0,0,0,0,11,0,0,0,0,0,0
62,0,1,2,ME-18-08-58591-978,ME-16-07-11608-225,0,10,0,10,1,5,11,0,0,-1,5,5,-1
63,1,1,3,ME-18-08-8864-290,SH-17-07-16759-919,7,5,10,6,0,0,11,-3,-1,7,5,7,-3
64,1,1,3,ME-20-12-1338-335,ME-22-12-47987-640,2,0,1,1,0,0,11,1,-1,2,0,2,-1
65,0,0,1,ME-21-12-42162-424,ME-17-03-30876-747,0,1,0,0,0,0,11,0,1,0,1,1,0
66,0,0,1,ME-21-12-42162-424,SH-13-09-29504-694,1,4,0,2,1,1,11,1,2,0,3,3,0
67,0,1,2,ME-21-12-42162-424,SH-21-12-59578-330,2,6,1,10,0,5,11,1,-4,2,1,2,-4
68,1,1,3,ME-22-01-47042-277,ME-18-01-73652-357,3,1,2,0,2,0,11,1,1,1,1,1,1
69,0,0,1,ME-22-07-53625-139,ME-22-12-47987-640,0,0,0,1,0,0,11,0,-1,0,0,0,-1
70,1,1,3,ME-22-08-15747-700,ME-23-08-41833-827,2,0,1,0,0,0,11,1,0,2,0,2,0
71,1,1,3,ME-22-11-1990-79,ME-16-07-11608-225,0,0,0,0,0,0,11,0,0,0,0,0,0
72,1,1,3,ME-22-11-1990-79,ME-18-04-46786-521,0,0,1,1,0,0,11,-1,-1,0,0,0,-1
73,1,1,3,ME-23-05-52567-993,ME-17-03-30876-747,0,0,0,0,0,0,11,0,0,0,0,0,0
74,1,1,3,ME-23-08-41833-827,ME-22-12-47987-640,0,0,2,0,5,3,11,-2,0,-5,-3,0,-5
75,1,1,3,ME-23-12-14553-571,ME-17-03-30876-747,0,0,0,0,0,0,11,0,0,0,0,0,0
76,0,1,2,SH-16-09-64418-33,SH-17-07-16759-919,3,2,5,0,1,3,11,-2,2,2,-1,2,-2
77,0,0,1,SH-19-02-58269-573,ME-16-11-63255-338,0,0,1,3,0,0,11,-1,-3,0,0,0,-3
78,0,1,2,SH-19-02-58269-573,ME-23-12-14553-571,1,9,0,11,0,6,11,1,-2,1,3,3,-2
79,1,1,3,SH-19-03-50607-561,ME-16-11-63255-338,9,4,7,3,6,1,11,2,1,3,3,3,1
80,0,0,1,SH-21-09-42879-201,ME-18-08-8864-290,0,2,0,0,0,0,11,0,2,0,2,2,0
81,0,0,1,SH-21-09-42879-201,ME-22-07-53625-139,0,0,0,0,0,0,11,0,0,0,0,0,0
82,0,0,1,SH-21-09-42879-201,ME-23-12-14553-571,0,0,0,0,0,0,11,0,0,0,0,0,0
83,0,0,1,SH-21-09-42879-201,SH-16-09-64418-33,0,0,0,0,0,0,11,0,0,0,0,0,0
84,0,1,2,SH-21-09-42879-201,SH-19-02-58269-573,0,9,0,7,0,5,11,0,2,0,4,4,0
85,1,1,3,SH-21-09-42879-201,SH-19-03-50607-561,5,1,4,0,4,0,11,1,1,1,1,1,1
86,0,1,2,SH-21-09-42879-201,SH-24-01-26596-264,9,0,6,0,4,0,11,3,0,5,0,5,0
87,0,1,2,SH-22-05-36033-112,SH-16-09-64418-33,0,10,0,11,0,6,11,0,-1,0,4,4,-1
88,0,0,1,SH-24-01-26596-264,ME-21-12-42162-424,2,5,0,0,2,4,11,2,5,0,1,5,0
89,0,1,2,SH-24-01-26596-264,ME-22-07-53625-139,0,11,0,11,0,6,11,0,0,0,5,5,0
90,0,0,1,SH-24-01-26596-264,SH-13-09-29504-694,0,2,1,2,0,1,11,-1,0,0,1,1,-1
91,1,1,3,SH-24-01-26596-264,SH-19-02-58269-573,0,0,2,0,0,0,11,-2,0,0,0,0,-2
92,0,1,2,SH-24-01-26596-264,SH-21-12-59578-330,2,4,0,4,0,5,11,2,0,2,-1,2,-1
93,0,0,1,SH-24-01-26596-264,SH-24-01-9804-702,4,7,8,11,1,3,11,-4,-4,3,4,4,-4
94,0,0,1,SH-24-01-9804-702,ME-16-07-11608-225,1,3,0,1,0,1,11,1,2,1,2,2,1
95,0,1,2,SH-24-01-9804-702,ME-21-12-42162-424,9,0,2,4,1,1,11,7,-4,8,-1,8,-4
96,0,1,2,SH-24-01-9804-702,ME-23-12-14553-571,0,10,0,10,0,5,11,0,0,0,5,5,0
97,0,0,1,SH-24-01-9804-702,SH-23-09-35299-260,0,0,0,0,0,0,11,0,0,0,0,0,0
98,0,1,2,SH-24-05-28565-553,SH-21-12-59578-330,2,1,5,0,0,0,11,-3,1,2,1,2,-3
99,1,1,3,SH-24-05-46424-585,SH-23-09-35299-260,1,0,4,0,0,0,11,-3,0,1,0,1,-3
