row,gt_b0,gt_b1,scale,v1,v2,mfe_w0,mfe_w1,hyb_w0,hyb_w1,hfg_w0,hfg_w1,total,gap_b0_mfe_vs_hyb,gap_b1_mfe_vs_hyb,gap_b0_mfe_vs_hfg,gap_b1_mfe_vs_hfg,max_gap,min_gap
64,0,0,1,ME-14-10-31218-522,ME-17-05-35227-215,0,0,0,0,0,0,11,0,0,0,0,0,0
65,1,1,3,SH-16-11-7544-55,SH-15-03-49530-992,0,0,3,1,1,1,11,-3,-1,-1,-1,-1,-3
66,0,0,1,ME-16-11-13999-863,ME-21-10-18557-340,2,3,0,2,0,1,11,2,1,2,2,2,1
67,1,1,3,ME-16-10-12213-904,ME-16-01-189-123,8,5,9,3,4,0,11,-1,2,4,5,5,-1
68,0,1,2,SH-15-12-65958-120,ME-16-05-9983-155,4,3,3,1,0,3,11,1,2,4,0,4,0
69,0,0,1,ME-18-04-19642-504,ME-16-07-45228-25,0,1,0,1,0,1,11,0,0,0,0,0,0
70,0,0,1,ME-15-03-29911-554,ME-16-02-18397-87,0,0,0,0,0,0,11,0,0,0,0,0,0
71,1,1,3,ME-16-11-69158-529,ME-16-01-3772-806,0,0,4,0,0,0,11,-4,0,0,0,0,-4
72,1,1,3,ME-17-02-54432-484,ME-16-05-25902-514,0,0,0,0,0,0,11,0,0,0,0,0,0
73,0,1,2,SH-17-10-10556-234,ME-09-06-10774-130,8,0,4,2,3,1,11,4,-2,5,-1,5,-2
74,0,0,1,sh-10-05-7434-952,ME-21-10-18557-340,0,0,0,0,0,0,11,0,0,0,0,0,0
75,0,0,1,SH-10-02-25802-731,ME-13-04-35007-454,0,1,0,0,0,0,11,0,1,0,1,1,0
76,0,0,1,ME-16-10-12213-904,ME-15-02-9111-399,0,2,2,4,1,3,11,-2,-2,-1,-1,-1,-2
77,1,1,3,ME-16-05-25902-514,SH-11-01-41775-497,1,0,0,0,1,0,11,1,0,0,0,1,0
78,1,1,3,ME-18-05-32659-754,ME-16-08-54879-35,0,0,1,0,0,0,11,-1,0,0,0,0,-1
79,0,0,1,ME-17-05-35227-215,ME-15-02-9111-399,1,2,1,5,0,1,11,0,-3,1,1,1,-3
80,0,0,1,ME-16-04-12480-812,ME-12-03-15148-775,1,3,1,1,0,1,11,0,2,1,2,2,0
81,0,0,1,ME-16-02-59812-881,ME-16-03-54615-517,4,8,5,10,2,3,11,-1,-2,2,5,5,-2
82,1,1,3,SH-23-03-19819-247,SH-16-11-7544-55,3,2,6,2,0,0,11,-3,0,3,2,3,-3
83,0,0,1,ME-15-12-39071-113,ME-16-10-12213-904,2,4,1,7,0,2,11,1,-3,2,2,2,-3
84,0,1,2,ME-16-08-44157-713,ME-17-05-35227-215,2,5,2,7,0,4,11,0,-2,2,1,2,-2
85,0,0,1,ME-10-08-17917-313,ME-16-04-12480-812,0,0,0,0,0,0,11,0,0,0,0,0,0
86,0,1,2,ME-20-07-29529-567,ME-16-08-54879-35,9,0,7,1,1,0,11,2,-1,8,0,8,-1
87,0,0,1,SH-09-05-9349-998,ME-20-07-29529-567,1,2,2,4,0,1,11,-1,-2,1,1,1,-2
88,0,0,1,ME-22-03-46930-359,ME-16-03-59260-279,4,8,4,8,0,1,11,0,0,4,7,7,0
89,0,0,1,ME-16-02-18397-87,ME-12-03-13401-281,2,2,1,1,0,0,11,1,1,2,2,2,1
90,0,0,1,ME-17-10-62597-895,SH-15-12-65958-120,1,1,0,1,0,0,11,1,0,1,1,1,0
91,0,0,1,ME-13-02-28360-614,ME-16-06-44840-433,1,1,1,6,0,0,11,0,-5,1,1,1,-5
92,1,1,3,SH-18-06-11098-353,SH-16-11-7544-55,1,0,3,1,0,0,11,-2,-1,1,0,1,-2
93,0,0,1,ME-14-07-13179-197,m08000207-175,0,0,0,0,0,0,11,0,0,0,0,0,0
94,1,1,3,SH-17-04-19242-11,SH-16-11-7544-55,3,1,7,2,0,0,11,-4,-1,3,1,3,-4
95,0,0,1,ME-14-10-31218-522,ME-14-12-6904-57,0,0,0,0,0,0,11,0,0,0,0,0,0
96,0,0,1,ME-16-10-9348-780,ME-17-05-35227-215,1,2,2,6,0,1,11,-1,-4,1,1,1,-4
97,0,0,1,ME-16-06-42987-901,ME-12-04-33577-700,9,11,5,10,0,1,11,4,1,9,10,10,1
98,0,0,1,ME-15-08-44579-251,SH-17-04-19242-11,1,4,0,0,0,0,11,1,4,1,4,4,1
99,0,0,1,ME-15-06-12109-344,SH-14-11-8987-965,0,2,0,3,0,0,11,0,-1,0,2,2,-1
100,1,1,3,ME-21-10-18557-340,ME-16-12-50986-619,0,0,0,0,1,0,11,0,0,-1,0,0,-1
101,0,1,2,ME-13-10-53169-537,ME-13-10-28139-807,3,3,5,0,0,1,11,-2,3,3,2,3,-2
102,1,1,3,SH-15-12-65958-120,SH-16-09-33552-535,0,0,0,0,0,0,11,0,0,0,0,0,0
103,0,1,2,ME-16-05-9968-487,SH-11-01-41775-497,7,0,4,0,0,1,11,3,0,7,-1,7,-1
104,0,0,1,ME-19-04-1316-977,ME-16-05-19384-544,3,5,4,9,0,1,11,-1,-4,3,4,4,-4
105,1,1,3,SH-16-02-10948-419,SH-16-11-19417-55,0,0,0,0,0,0,11,0,0,0,0,0,0
106,0,1,2,ME-22-03-52964-443,ME-17-05-35227-215,10,0,7,0,3,0,11,3,0,7,0,7,0
107,0,1,2,ME-18-04-19642-504,ME-21-10-18557-340,10,0,8,1,3,0,11,2,-1,7,0,7,-1
108,0,1,2,ME-16-03-59260-279,SH-11-12-35552-181,6,0,2,5,0,2,11,4,-5,6,-2,6,-5
109,0,0,1,ME-16-06-44840-433,ME-14-10-31218-522,2,5,1,8,0,1,11,1,-3,2,4,4,-3
110,0,0,1,sh-10-05-7434-952,SH-18-06-11098-353,11,11,11,11,2,2,11,0,0,9,9,9,0
111,0,1,2,SH-19-07-60805-168,SH-16-11-7544-55,10,0,7,1,2,0,11,3,-1,8,0,8,-1
112,0,0,1,SH-14-11-8987-965,ME-16-12-50986-619,0,0,0,0,0,0,11,0,0,0,0,0,0
113,0,0,1,SH-16-09-33552-535,ME-16-11-56385-886,2,6,3,9,0,0,11,-1,-3,2,6,6,-3
114,0,1,2,ME-17-08-28615-573,ME-17-05-35227-215,11,0,8,0,1,1,11,3,0,10,-1,10,-1
115,0,0,1,SH-16-11-7544-55,ME-16-10-12213-904,6,10,5,9,1,1,11,1,1,5,9,9,1
116,0,0,1,ME-15-02-9111-399,ME-14-07-13179-197,0,0,0,0,0,0,11,0,0,0,0,0,0
117,0,0,1,SH-20-02-52091-995,ME-17-05-35227-215,1,3,0,2,0,0,11,1,1,1,3,3,1
118,1,1,3,SH-16-11-19417-55,SH-16-11-7544-55,0,0,0,0,0,0,11,0,0,0,0,0,0
119,0,0,1,ME-19-01-53615-8,SH-15-12-65958-120,0,0,0,0,0,0,11,0,0,0,0,0,0
120,1,1,3,SH-14-02-28659-762,SH-17-10-10556-234,2,0,2,0,0,0,11,0,0,2,0,2,0
121,0,0,1,m07001074-98,ME-17-05-35227-215,0,0,0,0,0,0,11,0,0,0,0,0,0
122,0,0,1,SH-18-07-52337-770,ME-16-06-50916-362,0,0,0,0,0,0,11,0,0,0,0,0,0
123,1,1,3,SH-17-11-53539-235,m07001074-98,9,5,10,4,1,1,11,-1,1,8,4,8,-1
124,1,1,3,ME-16-11-69158-529,ME-12-03-13401-281,0,0,0,0,0,0,11,0,0,0,0,0,0
125,0,0,1,ME-21-06-43085-219,SH-17-08-47445-166,0,0,0,0,0,0,11,0,0,0,0,0,0
126,0,0,1,ME-16-05-19384-544,m08000207-175,0,0,0,0,0,0,11,0,0,0,0,0,0
127,0,0,1,SH-11-05-24791-315,ME-16-02-59812-881,0,0,0,0,0,0,11,0,0,0,0,0,0
128,0,0,1,ME-16-01-31498-921,ME-16-10-9348-780,0,0,0,4,0,0,11,0,-4,0,0,0,-4
129,0,0,1,ME-09-11-7566-913,ME-16-06-50916-362,0,0,0,0,0,0,11,0,0,0,0,0,0
