domain,rep,model,task,f1,ap_pr
drugs,fe_gpt_schema_v2,gemma3_27b,b0,0.8438,0.9111
drugs,fe_gpt_schema_v2,gemma3_27b,b1,0.819,0.8921
drugs,gpt_law,gpt4,b0,0.8696,0.8395
drugs,gpt_law,gpt4,b1,0.7692,0.7956
drugs,hybrid_full_gpt,gpt5mini,b0,0.8732,0.939
drugs,hybrid_full_gpt,gpt5mini,b1,0.82,0.8936
drugs,gpt_free,gpt4,b0,0.8451,0.8182
drugs,gpt_free,gpt4,b1,0.7917,0.7943
drugs,gpt_free,claude_sonnet_4_6,b0,0.8974,0.926
drugs,gpt_free,claude_sonnet_4_6,b1,0.8211,0.8866
drugs,gpt_law,claude_sonnet_4_6,b0,0.8889,0.9274
drugs,gpt_law,claude_sonnet_4_6,b1,0.835,0.8872
drugs,hybrid_manual_gpt,gemini_25_pro,b0,0.8831,0.8882
drugs,hybrid_manual_gpt,gemini_25_pro,b1,0.8333,0.894
drugs,hybrid_manual_gpt,gpt4,b0,0.8657,0.9427
drugs,hybrid_manual_gpt,gpt4,b1,0.8211,0.8963
drugs,hybrid_manual_gpt,qwen_hf,b0,0.8947,0.9418
drugs,hybrid_manual_gpt,qwen_hf,b1,0.8283,0.8963
drugs,fe_gpt_schema_v2,llama3_70b,b0,0.806,0.8505
drugs,fe_gpt_schema_v2,llama3_70b,b1,0.8333,0.8606
drugs,hybrid_full_gpt,gpt51_thinking,b0,0.8831,0.932
drugs,hybrid_full_gpt,gpt51_thinking,b1,0.8364,0.8922
drugs,hybrid_full_gpt,qwen3_235b,b0,0.8193,0.8863
drugs,hybrid_full_gpt,qwen3_235b,b1,0.781,0.8512
drugs,hybrid_manual_gpt,gpt51_thinking,b0,0.8718,0.9505
drugs,hybrid_manual_gpt,gpt51_thinking,b1,0.8485,0.917
drugs,facts,gemma3_27b,b0,0.7901,0.8069
drugs,facts,gemma3_27b,b1,0.7789,0.8107
drugs,manual_fe,gemma3_27b,b0,0.8046,0.8557
drugs,manual_fe,gemma3_27b,b1,0.8235,0.8638
drugs,manual_fe,gemini_3_flash,b0,0.8986,0.9382
drugs,manual_fe,gemini_3_flash,b1,0.8478,0.914
drugs,gpt_law,gemini_3_flash,b0,0.8571,0.811
drugs,gpt_law,gemini_3_flash,b1,0.7921,0.7863
drugs,gpt_law,gpt5mini,b0,0.8732,0.8923
drugs,gpt_law,gpt5mini,b1,0.7708,0.8324
drugs,hybrid_manual_gpt,gemma3_27b,b0,0.8095,0.8619
drugs,hybrid_manual_gpt,gemma3_27b,b1,0.8364,0.8794
drugs,fe_gpt_schema_v2,gpt51_thinking,b0,0.878,0.9284
drugs,fe_gpt_schema_v2,gpt51_thinking,b1,0.8571,0.9126
drugs,gpt_free,gemini_3_flash,b0,0.8219,0.8164
drugs,gpt_free,gemini_3_flash,b1,0.8,0.7892
drugs,gpt_law,gemma3_27b,b0,0.7869,0.8316
drugs,gpt_law,gemma3_27b,b1,0.76,0.7962
drugs,fe_gpt_schema_v2,qwen_hf,b0,0.8378,0.916
drugs,fe_gpt_schema_v2,qwen_hf,b1,0.82,0.8908
drugs,hybrid_full_gpt,gpt4,b0,0.9067,0.9613
drugs,hybrid_full_gpt,gpt4,b1,0.8283,0.9119
drugs,hybrid_full_gpt,qwen_hf,b0,0.825,0.8972
drugs,hybrid_full_gpt,qwen_hf,b1,0.8077,0.8696
drugs,facts,gpt4,b0,0.8421,0.7688
drugs,facts,gpt4,b1,0.7692,0.7474
drugs,hybrid_manual_gpt,claude_sonnet_4_6,b0,0.9,0.9525
drugs,hybrid_manual_gpt,claude_sonnet_4_6,b1,0.8511,0.9142
drugs,hybrid_manual_gpt,gpt52,b0,0.8767,0.95
drugs,hybrid_manual_gpt,gpt52,b1,0.8454,0.9102
drugs,gpt_free,qwen3_235b,b0,0.8125,0.8361
drugs,gpt_free,qwen3_235b,b1,0.72,0.7815
drugs,manual_fe,qwen_hf,b0,0.8732,0.911
drugs,manual_fe,qwen_hf,b1,0.7863,0.8878
drugs,gpt_law,llama3_70b,b0,0.8254,0.8557
drugs,gpt_law,llama3_70b,b1,0.7523,0.816
drugs,facts,gpt51_thinking,b0,0.8571,0.862
drugs,facts,gpt51_thinking,b1,0.7872,0.8179
drugs,fe_gpt_schema_v2,gemini_25_pro,b0,0.8947,0.914
drugs,fe_gpt_schema_v2,gemini_25_pro,b1,0.8222,0.8901
drugs,hybrid_manual_gpt,llama3_70b,b0,0.8267,0.8916
drugs,hybrid_manual_gpt,llama3_70b,b1,0.8043,0.8785
weapon,manual_fe,gpt5mini,b0,0.7013,0.7215
weapon,manual_fe,gpt5mini,b1,0.7742,0.8437
weapon,facts,gemini_25_pro,b0,0.65,0.6524
weapon,facts,gemini_25_pro,b1,0.7692,0.8213
weapon,gpt_free,gpt52,b0,0.7222,0.7829
weapon,gpt_free,gpt52,b1,0.8029,0.8544
weapon,manual_fe,claude_sonnet_4_6,b0,0.7358,0.7477
weapon,manual_fe,claude_sonnet_4_6,b1,0.8504,0.8586
weapon,manual_fe,gpt52,b0,0.7342,0.7959
weapon,manual_fe,gpt52,b1,0.8462,0.8786
