model,domain,completed_cells
gpt4,drugs,14
gpt4,weapon,14
gpt5mini,drugs,14
gpt5mini,weapon,12
qwen3_235b,drugs,14
qwen3_235b,weapon,12
mistral,drugs,8
mistral,weapon,12
llama3_70b,drugs,14
llama3_70b,weapon,12
gpt52,drugs,14
gpt52,weapon,12
gpt51_thinking,drugs,14
gpt51_thinking,weapon,12
qwen_hf,drugs,14
qwen_hf,weapon,12
gemini_25_pro,drugs,14
gemini_25_pro,weapon,12
gemini_3_flash,drugs,14
gemini_3_flash,weapon,12
gemma3_27b,drugs,14
gemma3_27b,weapon,12
