setup,domain,rep,model,QWK_Oracle,QWK_CV,C_index,Spearman
EXPANDED N=13,drugs,Manual,gpt4,0.8720186154741129,0.8720186154741129,0.9153719008264463,0.7944733998999347
EXPANDED N=13,drugs,Manual,gpt5mini,0.8581997533908754,0.8409785932721713,0.9076033057851239,0.7858637506040747
EXPANDED N=13,drugs,Manual,gpt52,0.8683423099940155,0.8510131108462455,0.9090909090909091,0.7893133835690622
EXPANDED N=13,drugs,Manual,gpt51_thinking,0.8553345388788427,0.7905113986444855,0.9206611570247933,0.8052045132495343
EXPANDED N=13,drugs,Manual,claude_sonnet_4_6,0.8974668275030157,0.8905775075987842,0.9236363636363636,0.8099320978731166
EXPANDED N=13,drugs,Manual,gemini_25_pro,0.8499711482977496,0.828080229226361,0.8905785123966942,0.7764762871047034
EXPANDED N=13,drugs,Manual,gemini_3_flash,0.8713235294117647,0.8541033434650456,0.9006611570247934,0.7802147721343361
EXPANDED N=13,drugs,Manual,gemma3_27b,0.8295454545454546,0.8224476854787571,0.9062809917355372,0.793191509767162
EXPANDED N=13,drugs,Manual,gemma4_31b_or,0.8553240740740741,0.8342214328004737,0.9191735537190082,0.8055383860842876
EXPANDED N=13,drugs,Manual,llama3_70b,0.845460399227302,0.845460399227302,0.9044628099173554,0.7932425454377392
EXPANDED N=13,drugs,Manual,qwen3_vl_235b_or,0.8405885959534029,0.8405885959534029,0.9148760330578513,0.7963916983777565
EXPANDED N=13,drugs,Manual,qwen3_235b_or,0.8002577319587629,0.7476340694006309,0.9082644628099174,0.7873037333210521
EXPANDED N=13,drugs,Manual,mistral_large_or,0.7914032869785081,0.7574626865671642,0.8871074380165289,0.7579030839520546
EXPANDED N=13,drugs,GPT-Schema,gpt4,0.8015364916773368,0.7440944881889764,0.888595041322314,0.7550044143554091
EXPANDED N=13,drugs,GPT-Schema,gpt5mini,0.8421372191863995,0.7745773324984346,0.8809917355371901,0.7529702857221202
EXPANDED N=13,drugs,GPT-Schema,gpt52,0.8325062034739454,0.7873671044402752,0.8958677685950414,0.7718059594146357
EXPANDED N=13,drugs,GPT-Schema,gpt51_thinking,0.8056300268096515,0.7326543602800764,0.8943801652892562,0.7672562607702782
EXPANDED N=13,drugs,GPT-Schema,claude_sonnet_4_6,0.8523748395378691,0.7792765174739423,0.9277685950413224,0.814554624888075
EXPANDED N=13,drugs,GPT-Schema,gemini_25_pro,0.8468137254901961,0.8291641244661379,0.8877685950413223,0.7698264193914551
EXPANDED N=13,drugs,GPT-Schema,gemini_3_flash,0.8408018867924528,0.8263473053892215,0.8985123966942149,0.7757263122916445
EXPANDED N=13,drugs,GPT-Schema,gemma3_27b,0.8295081967213115,0.814692256783587,0.9160330578512397,0.8086079127275644
EXPANDED N=13,drugs,GPT-Schema,gemma4_31b_or,0.8367346938775511,0.7967479674796748,0.9069421487603305,0.7891472216242165
EXPANDED N=13,drugs,GPT-Schema,llama3_70b,0.78,0.78,0.8897520661157025,0.7604545510004124
