setup,domain,rep,model,QWK_Oracle,QWK_CV,C_index,Spearman
SWAPPED N=11,drugs,Manual,gpt4,0.8720186154741129,0.8720186154741129,0.9153719008264463,0.7944733998999347
SWAPPED N=11,drugs,Manual,gpt5mini,0.8581997533908754,0.8409785932721713,0.9076033057851239,0.7858637506040747
SWAPPED N=11,drugs,Manual,gpt52,0.8683423099940155,0.8510131108462455,0.9090909090909091,0.7893133835690622
SWAPPED N=11,drugs,Manual,gpt51_thinking,0.8553345388788427,0.7905113986444855,0.9206611570247933,0.8052045132495343
SWAPPED N=11,drugs,Manual,claude_sonnet_4_6,0.8974668275030157,0.8905775075987842,0.9236363636363636,0.8099320978731166
SWAPPED N=11,drugs,Manual,gemini_25_pro,0.8499711482977496,0.828080229226361,0.8905785123966942,0.7764762871047034
SWAPPED N=11,drugs,Manual,gemini_3_flash,0.8713235294117647,0.8541033434650456,0.9006611570247934,0.7802147721343361
SWAPPED N=11,drugs,Manual,gemma4_31b_or,0.8553240740740741,0.8342214328004737,0.9191735537190082,0.8055383860842876
SWAPPED N=11,drugs,Manual,qwen3_vl_235b_or,0.8405885959534029,0.8405885959534029,0.9148760330578513,0.7963916983777565
SWAPPED N=11,drugs,Manual,qwen3_235b_or,0.8002577319587629,0.7476340694006309,0.9082644628099174,0.7873037333210521
SWAPPED N=11,drugs,Manual,mistral_large_or,0.7914032869785081,0.7574626865671642,0.8871074380165289,0.7579030839520546
SWAPPED N=11,drugs,GPT-Schema,gpt4,0.8015364916773368,0.7440944881889764,0.888595041322314,0.7550044143554091
SWAPPED N=11,drugs,GPT-Schema,gpt5mini,0.8421372191863995,0.7745773324984346,0.8809917355371901,0.7529702857221202
SWAPPED N=11,drugs,GPT-Schema,gpt52,0.8325062034739454,0.7873671044402752,0.8958677685950414,0.7718059594146357
SWAPPED N=11,drugs,GPT-Schema,gpt51_thinking,0.8056300268096515,0.7326543602800764,0.8943801652892562,0.7672562607702782
SWAPPED N=11,drugs,GPT-Schema,claude_sonnet_4_6,0.8523748395378691,0.7792765174739423,0.9277685950413224,0.814554624888075
SWAPPED N=11,drugs,GPT-Schema,gemini_25_pro,0.8468137254901961,0.8291641244661379,0.8877685950413223,0.7698264193914551
SWAPPED N=11,drugs,GPT-Schema,gemini_3_flash,0.8408018867924528,0.8263473053892215,0.8985123966942149,0.7757263122916445
SWAPPED N=11,drugs,GPT-Schema,gemma4_31b_or,0.8367346938775511,0.7967479674796748,0.9069421487603305,0.7891472216242165
SWAPPED N=11,drugs,GPT-Schema,qwen3_vl_235b_or,0.782608695652174,0.7473152242577384,0.8973553719008265,0.7651062433182445
SWAPPED N=11,drugs,GPT-Schema,qwen3_235b_or,0.7980931015143017,0.7539015606242496,0.8940495867768595,0.7702103910728598
SWAPPED N=11,drugs,GPT-Schema,mistral_large_or,0.7317236753856472,0.6641318124207858,0.8996694214876033,0.7678675433564842
SWAPPED N=11,drugs,GPT-Free,gpt4,0.8,0.7626112759643917,0.8737190082644628,0.7225561446800115
SWAPPED N=11,drugs,GPT-Free,gpt5mini,0.8140615920976176,0.743436754176611,0.8933884297520661,0.75454084663842
SWAPPED N=11,drugs,GPT-Free,gpt52,0.7852760736196319,0.7141119221411192,0.8892561983471075,0.7424725190454534
SWAPPED N=11,drugs,GPT-Free,gpt51_thinking,0.8025909932140654,0.7503045066991474,0.900495867768595,0.7575846159832293
SWAPPED N=11,drugs,GPT-Free,claude_sonnet_4_6,0.7865853658536586,0.7209026128266034,0.895702479338843,0.7454466565980823
SWAPPED N=11,drugs,GPT-Free,gemini_25_pro,0.8023952095808383,0.7948098974049487,0.8568595041322314,0.7065434835017383
SWAPPED N=11,drugs,GPT-Free,gemini_3_flash,0.7943595769682726,0.7826086956521738,0.877190082644628,0.7239453402891749
SWAPPED N=11,drugs,GPT-Free,gemma4_31b_or,0.8134110787172012,0.7673031026252983,0.8973553719008265,0.7543908347108295
SWAPPED N=11,drugs,GPT-Free,qwen3_vl_235b_or,0.7515151515151515,0.7008547008547008,0.8750413223140496,0.7289393319394589
SWAPPED N=11,drugs,GPT-Free,qwen3_235b_or,0.7863501483679525,0.7695035460992907,0.8725619834710744,0.7237227080678625
SWAPPED N=11,drugs,GPT-Free,mistral_large_or,0.7530864197530864,0.7391819798458803,0.8942148760330578,0.7539760149785931
SWAPPED N=11,drugs,GPT-Law,gpt4,0.794841735052755,0.7789412449098313,0.8517355371900827,0.6938884233036402
SWAPPED N=11,drugs,GPT-Law,gpt5mini,0.7781569965870307,0.7582037996545768,0.8454545454545455,0.6777548784782601
SWAPPED N=11,drugs,GPT-Law,gpt52,0.7837837837837838,0.7302052785923754,0.8669421487603306,0.7076294232956066
SWAPPED N=11,drugs,GPT-Law,gpt51_thinking,0.8033373063170441,0.7871082199881727,0.8730578512396694,0.7173144702750744
SWAPPED N=11,drugs,GPT-Law,claude_sonnet_4_6,0.7993119266055045,0.7748267898383372,0.8876033057851239,0.7403292538806318
SWAPPED N=11,drugs,GPT-Law,gemini_25_pro,0.7812320092112838,0.7419724770642202,0.836694214876033,0.6722223914282109
SWAPPED N=11,drugs,GPT-Law,gemini_3_flash,0.7743055555555556,0.718562874251497,0.8639669421487604,0.702020371069411
SWAPPED N=11,drugs,GPT-Law,gemma4_31b_or,0.8086662915025323,0.8086662915025323,0.8748760330578512,0.7184320059613457
SWAPPED N=11,drugs,GPT-Law,qwen3_vl_235b_or,0.7473560517038778,0.7377622377622377,0.8748760330578512,0.7244974385176894
SWAPPED N=11,drugs,GPT-Law,qwen3_235b_or,0.7746650426309378,0.7171479080730702,0.8631404958677686,0.7115417658739784
SWAPPED N=11,drugs,GPT-Law,mistral_large_or,0.6746575342465753,0.6242774566473989,0.8272727272727273,0.6518839132901721
SWAPPED N=11,drugs,Raw-Facts,gpt4,0.7819850831899025,0.7398843930635839,0.8780165289256199,0.7236555883796332
SWAPPED N=11,drugs,Raw-Facts,gpt5mini,0.8118753674309229,0.7645673925838729,0.879504132231405,0.7401178641761548
SWAPPED N=11,drugs,Raw-Facts,gpt52,0.8079306071871127,0.7498511018463371,0.8895867768595042,0.7450752889027352
SWAPPED N=11,drugs,Raw-Facts,gpt51_thinking,0.8292108362779741,0.8292108362779741,0.8867768595041322,0.7414407770384984
SWAPPED N=11,drugs,Raw-Facts,claude_sonnet_4_6,0.8107448107448108,0.7565320665083135,0.8985123966942149,0.7551296694881556
SWAPPED N=11,drugs,Raw-Facts,gemini_25_pro,0.7929844738355376,0.7856315179606026,0.8570247933884297,0.7009173310283996
SWAPPED N=11,drugs,Raw-Facts,gemini_3_flash,0.81786133960047,0.8017492711370262,0.8737190082644628,0.7224946537780931
SWAPPED N=11,drugs,Raw-Facts,gemma4_31b_or,0.8070175438596492,0.7753456221198157,0.8826446280991735,0.7331061513632273
SWAPPED N=11,drugs,Raw-Facts,qwen3_vl_235b_or,0.7861271676300579,0.7359154929577465,0.8732231404958678,0.7296650521087181
SWAPPED N=11,drugs,Raw-Facts,qwen3_235b_or,0.7892938496583144,0.778683750728014,0.8775206611570248,0.7353787297654022
