A,B,n,delta,dz,wins,p,p_fdr,p_bonf,effect,sig_fdr,sig_bonf,domain,metric
Hybrid-Full,GPT-Law,11,0.0630316682224672,3.455428870177603,11,0.00048828125,0.00146484375,0.0029296875,Large,✓,✓,drugs,Spearman
Hybrid-Full,Raw-Facts,11,0.03984238763387362,2.3887053240695275,11,0.00048828125,0.00146484375,0.0029296875,Large,✓,✓,drugs,Spearman
Hybrid-Full,Hybrid-Manual,11,-0.003919778610439512,-0.26874892429966984,6,0.71142578125,0.99951171875,1.0,Small,,,drugs,Spearman
Manual,GPT-Schema,11,0.03381919860122396,1.5429223630324387,11,0.00048828125,0.0009765625,0.0029296875,Large,✓,✓,weapon,Spearman
Manual,GPT-Free,11,0.08197158881153124,2.5626761919535967,11,0.00048828125,0.0009765625,0.0029296875,Large,✓,✓,weapon,Spearman
Manual,GPT-Law,11,0.07697461175605501,2.35415514040669,11,0.00048828125,0.0009765625,0.0029296875,Large,✓,✓,weapon,Spearman
Manual,Raw-Facts,11,0.07828874410471472,1.484975435620831,9,0.00244140625,0.00244140625,0.0146484375,Large,✓,✓,weapon,Spearman
Manual,Hybrid-Manual,11,0.023555796403592823,1.2567107302320728,10,0.00146484375,0.002197265625,0.0087890625,Large,✓,✓,weapon,Spearman
Manual,Hybrid-Full,11,0.023631393491649656,1.2205492254936736,9,0.00244140625,0.00244140625,0.0146484375,Large,✓,✓,weapon,Spearman
GPT-Schema,Manual,11,-0.03381919860122396,-1.5429223630324387,0,1.0,1.0,1.0,Large,,,weapon,Spearman
GPT-Schema,GPT-Free,11,0.04815239021030728,1.5359209080831864,10,0.00146484375,0.00439453125,0.0087890625,Large,✓,✓,weapon,Spearman
GPT-Schema,GPT-Law,11,0.04315541315483105,1.6790060637983395,10,0.00146484375,0.00439453125,0.0087890625,Large,✓,✓,weapon,Spearman
GPT-Schema,Raw-Facts,11,0.044469545503490755,0.7172745114166377,9,0.03369140625,0.0673828125,0.2021484375,Medium,,,weapon,Spearman
GPT-Schema,Hybrid-Manual,11,-0.01026340219763114,-0.3468978299559433,4,0.8798828125,1.0,1.0,Small,,,weapon,Spearman
GPT-Schema,Hybrid-Full,11,-0.010187805109574309,-0.3138789653547817,3,0.86083984375,1.0,1.0,Small,,,weapon,Spearman
GPT-Free,Manual,11,-0.08197158881153124,-2.5626761919535967,0,1.0,1.0,1.0,Large,,,weapon,Spearman
GPT-Free,GPT-Schema,11,-0.04815239021030728,-1.5359209080831864,1,0.9990234375,1.0,1.0,Large,,,weapon,Spearman
GPT-Free,GPT-Law,11,-0.0049969770554762335,-0.20736319845202603,2,0.89697265625,1.0,1.0,Small,,,weapon,Spearman
GPT-Free,Raw-Facts,11,-0.003682844706816528,-0.08594188207491399,6,0.48291015625,1.0,1.0,Negligible,,,weapon,Spearman
GPT-Free,Hybrid-Manual,11,-0.05841579240793842,-1.7318927482405033,1,0.99951171875,1.0,1.0,Large,,,weapon,Spearman
GPT-Free,Hybrid-Full,11,-0.05834019531988159,-2.2447428984073543,0,1.0,1.0,1.0,Large,,,weapon,Spearman
GPT-Law,Manual,11,-0.07697461175605501,-2.35415514040669,0,1.0,1.0,1.0,Large,,,weapon,Spearman
GPT-Law,GPT-Schema,11,-0.04315541315483105,-1.6790060637983395,1,0.9990234375,1.0,1.0,Large,,,weapon,Spearman
GPT-Law,GPT-Free,11,0.0049969770554762335,0.20736319845202603,9,0.1201171875,0.697265625,0.720703125,Small,,,weapon,Spearman
GPT-Law,Raw-Facts,11,0.0013141323486597052,0.02375161526617802,7,0.232421875,0.697265625,1.0,Negligible,,,weapon,Spearman
GPT-Law,Hybrid-Manual,11,-0.053418815352462186,-1.5988620372739695,1,0.9990234375,1.0,1.0,Large,,,weapon,Spearman
GPT-Law,Hybrid-Full,11,-0.053343218264405357,-1.4832926110196454,0,1.0,1.0,1.0,Large,,,weapon,Spearman
Raw-Facts,Manual,11,-0.07828874410471472,-1.484975435620831,2,0.99853515625,0.99853515625,1.0,Large,,,weapon,Spearman
Raw-Facts,GPT-Schema,11,-0.044469545503490755,-0.7172745114166377,2,0.97314453125,0.99853515625,1.0,Medium,,,weapon,Spearman
Raw-Facts,GPT-Free,11,0.003682844706816528,0.08594188207491399,5,0.55078125,0.99853515625,1.0,Negligible,,,weapon,Spearman
Raw-Facts,GPT-Law,11,-0.0013141323486597052,-0.02375161526617802,4,0.79345703125,0.99853515625,1.0,Negligible,,,weapon,Spearman
Raw-Facts,Hybrid-Manual,11,-0.054732947701121894,-0.990959160168586,2,0.99658203125,0.99853515625,1.0,Large,,,weapon,Spearman
Raw-Facts,Hybrid-Full,11,-0.054657350613065064,-1.407458060121803,2,0.99853515625,0.99853515625,1.0,Large,,,weapon,Spearman
Hybrid-Manual,Manual,11,-0.023555796403592823,-1.2567107302320728,1,0.9990234375,0.9990234375,1.0,Large,,,weapon,Spearman
Hybrid-Manual,GPT-Schema,11,0.01026340219763114,0.3468978299559433,7,0.13916015625,0.208740234375,0.8349609375,Small,,,weapon,Spearman
Hybrid-Manual,GPT-Free,11,0.05841579240793842,1.7318927482405033,10,0.0009765625,0.00439453125,0.005859375,Large,✓,✓,weapon,Spearman
Hybrid-Manual,GPT-Law,11,0.053418815352462186,1.5988620372739695,10,0.00146484375,0.00439453125,0.0087890625,Large,✓,✓,weapon,Spearman
Hybrid-Manual,Raw-Facts,11,0.054732947701121894,0.990959160168586,9,0.0048828125,0.009765625,0.029296875,Large,✓,✓,weapon,Spearman
Hybrid-Manual,Hybrid-Full,11,7.559708805683251e-05,0.003921158743229478,7,0.31884765625,0.38261718749999996,1.0,Negligible,,,weapon,Spearman
Hybrid-Full,Manual,11,-0.023631393491649656,-1.2205492254936736,2,0.99853515625,0.99853515625,1.0,Large,,,weapon,Spearman
Hybrid-Full,GPT-Schema,11,0.010187805109574309,0.3138789653547817,8,0.16015625,0.240234375,0.9609375,Small,,,weapon,Spearman
Hybrid-Full,GPT-Free,11,0.05834019531988159,2.2447428984073543,11,0.00048828125,0.00146484375,0.0029296875,Large,✓,✓,weapon,Spearman
Hybrid-Full,GPT-Law,11,0.053343218264405357,1.4832926110196454,11,0.00048828125,0.00146484375,0.0029296875,Large,✓,✓,weapon,Spearman
Hybrid-Full,Raw-Facts,11,0.054657350613065064,1.407458060121803,9,0.00244140625,0.0048828125,0.0146484375,Large,✓,✓,weapon,Spearman
Hybrid-Full,Hybrid-Manual,11,-7.559708805683251e-05,-0.003921158743229478,4,0.71142578125,0.8537109374999999,1.0,Negligible,,,weapon,Spearman
