rep,drugs,weapon
Manual,9.0,5.0
GPT-Schema,0.0,1.0
GPT-Free,0.0,0.0
GPT-Law,0.0,0.0
Raw-Facts,1.0,1.0
Hybrid-Manual,0.0,2.0
Hybrid-Full,1.0,2.0
