rep,drugs,weapon
Manual,0.859 +/- 0.018,0.763 +/- 0.068
GPT-Schema,0.823 +/- 0.026,0.726 +/- 0.082
Hybrid-Full,0.808 +/- 0.017,0.740 +/- 0.054
Hybrid-Manual,0.804 +/- 0.023,0.734 +/- 0.072
Raw-Facts,0.795 +/- 0.028,0.690 +/- 0.036
GPT-Free,0.787 +/- 0.025,0.695 +/- 0.056
GPT-Law,0.773 +/- 0.035,0.692 +/- 0.071
