rep,drugs,weapon
Manual,0.840 (0.910),0.748 (0.901)
GPT-Schema,0.781 (0.899),0.696 (0.881)
GPT-Free,0.738 (0.882),0.664 (0.850)
GPT-Law,0.733 (0.864),0.654 (0.854)
Raw-Facts,0.768 (0.877),0.656 (0.854)
Hybrid-Manual,0.744 (0.901),0.689 (0.888)
Hybrid-Full,0.763 (0.896),0.698 (0.885)
