rep,drugs,weapon
Manual,0.843 +/- 0.026,0.743 +/- 0.068
Hybrid-Full,0.767 +/- 0.045,0.707 +/- 0.060
GPT-Schema,0.783 +/- 0.033,0.688 +/- 0.090
Hybrid-Manual,0.750 +/- 0.037,0.704 +/- 0.087
Raw-Facts,0.761 +/- 0.037,0.661 +/- 0.055
GPT-Free,0.744 +/- 0.031,0.670 +/- 0.064
GPT-Law,0.741 +/- 0.058,0.660 +/- 0.086
