rep,drugs,weapon
Manual,8.0,9.0
GPT-Schema,2.0,0.0
GPT-Free,0.0,0.0
GPT-Law,0.0,0.0
Raw-Facts,0.0,1.0
Hybrid-Manual,1.0,1.0
Hybrid-Full,0.0,0.0
