canonical_id,domain,csv_path
עפ_1932-15,weapon,csv/עפ_1932-15.csv
תפ_33804-01-12,drugs,csv/תפ_33804-01-12.csv
תפ_30065-03-18,weapon,csv/תפ_30065-03-18.csv
עפ_7779-15,weapon,csv/עפ_7779-15.csv
עפ_907-14,weapon,csv/עפ_907-14.csv
הת_26563-10-14,drugs,csv/הת_26563-10-14.csv
עפ_2564-19,weapon,csv/עפ_2564-19.csv
עפ_7850-21,weapon,csv/עפ_7850-21.csv
תפ_26563-10-14,drugs,csv/תפ_26563-10-14.csv
תפ_32834-08-16,drugs,csv/תפ_32834-08-16.csv
תפ_1047-05-15,drugs,csv/תפ_1047-05-15.csv
תפ_10243-01-23,drugs,csv/תפ_10243-01-23.csv
תפ_9844-11-21,drugs,csv/תפ_9844-11-21.csv
עפ_6341-14,weapon,csv/עפ_6341-14.csv
עפ_8820-14,drugs,csv/עפ_8820-14.csv
עפ_4522-18,drugs,csv/עפ_4522-18.csv
עפ_5602-22,weapon,csv/עפ_5602-22.csv
תפ_1430-07-23,drugs,csv/תפ_1430-07-23.csv
עפ_2892-13,weapon,csv/עפ_2892-13.csv
תפ_36887-07-17,drugs,csv/תפ_36887-07-17.csv
תפ_8338-12-13,weapon,csv/תפ_8338-12-13.csv
תפ_60457-05-22,drugs,csv/תפ_60457-05-22.csv
תפ_639-02-14,drugs,csv/תפ_639-02-14.csv
עפ_6720-16,weapon,csv/עפ_6720-16.csv
תפ_51354-01-19,drugs,csv/תפ_51354-01-19.csv
עפ_4536-21,weapon,csv/עפ_4536-21.csv
עפ_7996-12,weapon,csv/עפ_7996-12.csv
עפ_6390-20,weapon,csv/עפ_6390-20.csv
תפ_35813-01-22,drugs,csv/תפ_35813-01-22.csv
תפ_43773-03-14,drugs,csv/תפ_43773-03-14.csv
עפ_7681-13,drugs,csv/עפ_7681-13.csv
פלא_365939-14,drugs,csv/פלא_365939-14.csv
עפג_29138-07-17,weapon,csv/עפג_29138-07-17.csv
עפ_5681-23,weapon,csv/עפ_5681-23.csv
עפ_645-17,drugs,csv/עפ_645-17.csv
תפ_79708-01-25,drugs,csv/תפ_79708-01-25.csv
תפ_19211-06-17,drugs,csv/תפ_19211-06-17.csv
תפ_21460-05-14,drugs,csv/תפ_21460-05-14.csv
תפ_33809-02-24,drugs,csv/תפ_33809-02-24.csv
תפ_35151-05-23,drugs,csv/תפ_35151-05-23.csv
תפ_44389-01-16,drugs,csv/תפ_44389-01-16.csv
עפג_8650-04-15,weapon,csv/עפג_8650-04-15.csv
תפ_68578-11-16,drugs,csv/תפ_68578-11-16.csv
עפ_1635-14,weapon,csv/עפ_1635-14.csv
