rep,domain,f1_thr,f1
Hybrid-Full,drugs,48.24,0.895
Hybrid-Full,weapon,55.28,0.707
Gemini,drugs,94.50850486755373,0.8205128205128205
Gemini,weapon,94.68271136283876,0.6379310344827587
TF-IDF,drugs,15.504998984030067,0.7397260273972602
TF-IDF,weapon,7.688661490117914,0.583941605839416
Random-K,drugs,50.505791193463665,
Random-K,weapon,55.6214083758241,
