A,B,n,delta,dz,wins,p,p_fdr,p_bonf,effect,sig_fdr,sig_bonf,domain,task,metric
Hybrid-Full,GPT-Schema,11,-0.0003883429229501719,-0.0369265054772605,5,0.58447265625,0.876708984375,1.0,Negligible,,,drugs,0,AP_PR
Hybrid-Full,GPT-Free,11,0.019119800668986785,0.5782304038482327,7,0.07373046875,0.1474609375,0.4423828125,Medium,,,drugs,0,AP_PR
Hybrid-Full,GPT-Law,11,0.03567311220293345,1.474911204988441,10,0.0009765625,0.005859375,0.005859375,Large,✓,✓,drugs,0,AP_PR
Hybrid-Full,Raw-Facts,11,0.03172871237871112,1.1462312878590324,9,0.00341796875,0.01025390625,0.0205078125,Large,✓,✓,drugs,0,AP_PR
Hybrid-Full,Hybrid-Manual,11,-0.007188909694216927,-0.29949440112794035,5,0.8173828125,0.980859375,1.0,Small,,,drugs,0,AP_PR
Manual,GPT-Schema,11,0.016677701925209443,1.2620122506790823,10,0.0009765625,0.0009765625,0.005859375,Large,✓,✓,drugs,1,AP_PR
Manual,GPT-Free,11,0.0417486175623412,2.3987990971828586,11,0.00048828125,0.000732421875,0.0029296875,Large,✓,✓,drugs,1,AP_PR
Manual,GPT-Law,11,0.05227160537474758,4.980038722344638,11,0.00048828125,0.000732421875,0.0029296875,Large,✓,✓,drugs,1,AP_PR
Manual,Raw-Facts,11,0.04754646219885627,3.5370068797477168,11,0.00048828125,0.000732421875,0.0029296875,Large,✓,✓,drugs,1,AP_PR
Manual,Hybrid-Manual,11,0.017880777600026418,1.373293169134696,10,0.0009765625,0.0009765625,0.005859375,Large,✓,✓,drugs,1,AP_PR
Manual,Hybrid-Full,11,0.02923715320403912,2.6550967307184252,11,0.00048828125,0.000732421875,0.0029296875,Large,✓,✓,drugs,1,AP_PR
GPT-Schema,Manual,11,-0.016677701925209443,-1.2620122506790823,1,0.99951171875,0.99951171875,1.0,Large,,,drugs,1,AP_PR
