,Manual,Hybrid-Manual,Hybrid-Full,GPT-Schema,GPT-Free,GPT-Law,Raw-Facts
Manual,1.0,0.1769,0.6819,0.0732,0.0137,0.0137,0.0732
Hybrid-Manual,0.1769,1.0,0.4805,0.744,0.3337,0.5783,0.4805
Hybrid-Full,0.6819,0.4805,1.0,0.2871,0.0718,0.0732,0.0137
GPT-Schema,0.0732,0.744,0.2871,1.0,0.3097,0.8311,0.744
GPT-Free,0.0137,0.3337,0.0718,0.3097,1.0,0.4805,0.8311
GPT-Law,0.0137,0.5783,0.0732,0.8311,0.4805,1.0,0.8311
Raw-Facts,0.0732,0.4805,0.0137,0.744,0.8311,0.8311,1.0
