,Manual,Hybrid-Manual,Hybrid-Full,GPT-Schema,GPT-Free,GPT-Law,Raw-Facts
Manual,1.0,0.0051,0.0373,0.2294,0.0068,0.0051,0.0228
Hybrid-Manual,0.0051,1.0,0.8984,0.0564,0.3957,0.0678,0.8984
Hybrid-Full,0.0373,0.8984,1.0,0.0373,0.1846,0.0228,0.8505
GPT-Schema,0.2294,0.0564,0.0373,1.0,0.0068,0.0051,0.0051
GPT-Free,0.0068,0.3957,0.1846,0.0068,1.0,0.5423,0.2064
GPT-Law,0.0051,0.0678,0.0228,0.0051,0.5423,1.0,0.0088
Raw-Facts,0.0228,0.8984,0.8505,0.0051,0.2064,0.0088,1.0
