,Manual,Hybrid-Manual,Hybrid-Full,GPT-Schema,GPT-Free,GPT-Law,Raw-Facts
Manual,1.0,0.0103,0.0444,0.0164,0.0068,0.0068,0.0068
Hybrid-Manual,0.0103,1.0,0.3468,0.4922,0.8613,0.3468,0.7045
Hybrid-Full,0.0444,0.3468,1.0,0.4204,0.4805,0.1113,0.3468
GPT-Schema,0.0164,0.4922,0.4204,1.0,0.4449,0.8169,0.9658
GPT-Free,0.0068,0.8613,0.4805,0.4449,1.0,0.3468,0.8613
GPT-Law,0.0068,0.3468,0.1113,0.8169,0.3468,1.0,0.4922
Raw-Facts,0.0068,0.7045,0.3468,0.9658,0.8613,0.4922,1.0
