canonical_id,domain,csv_path,docx_path,csv_source,docx_source,csv_size,docx_size,verdict,sentencing_range_low,sentencing_range_high,sentencing_classification,sentencing_confidence,citations_count,domain_unified
עפ_3164-14,unknown,csv/עפ_3164-14.csv,,downloaded_pipeline,,319668.0,,,,,,,,
עפ_3617-13,unknown,csv/עפ_3617-13.csv,,downloaded_pipeline,,264632.0,,,,,,,,
עפ_4910-13,unknown,csv/עפ_4910-13.csv,,downloaded_pipeline,,171113.0,,,,,,,,
ARMY-22-26-11,unknown,csv/ARMY-22-26-11.csv,,downloaded_pipeline,,166839.0,,,,,,,,
עפ_3793-18,unknown,csv/עפ_3793-18.csv,,downloaded_pipeline,,133786.0,,,,,,,,
עפ_8045-17,unknown,csv/עפ_8045-17.csv,,downloaded_pipeline,,124595.0,,,,,,,,
עפ_4517-04,unknown,csv/עפ_4517-04.csv,,downloaded_pipeline,,104403.0,,,,,,,,
ME-21-03-32585-44,unknown,csv/ME-21-03-32585-44.csv,,downloaded_pipeline,,102932.0,,,,,,,,
עפ_7510-00,unknown,csv/עפ_7510-00.csv,,downloaded_pipeline,,90493.0,,,,,,,,
עפ_170-07,unknown,csv/עפ_170-07.csv,,downloaded_pipeline,,80412.0,,,,,,,,
עפ_3173-09,unknown,csv/עפ_3173-09.csv,,downloaded_pipeline,,78381.0,,,,,,,,
ME-21-04-2024-201,unknown,csv/ME-21-04-2024-201.csv,,downloaded_pipeline,,76641.0,,,,,,,,
עפ_4998-95,unknown,csv/עפ_4998-95.csv,,downloaded_pipeline,,73246.0,,,,,,,,
ME-12-09-4757-156,unknown,csv/ME-12-09-4757-156.csv,,downloaded_pipeline,,71346.0,,,,,,,,
עפ_2533-10,unknown,csv/עפ_2533-10.csv,,downloaded_pipeline,,69814.0,,,,,,,,
עפ_4592-15,unknown,csv/עפ_4592-15.csv,,downloaded_pipeline,,67002.0,,,,,,,,
עפ_512-13,unknown,csv/עפ_512-13.csv,,downloaded_pipeline,,66895.0,,,,,,,,
עפ_7952-15,unknown,csv/עפ_7952-15.csv,,downloaded_pipeline,,66227.0,,,,,,,,
עפ_2626-13,unknown,csv/עפ_2626-13.csv,,downloaded_pipeline,,65600.0,,,,,,,,
עפ_7781-12,unknown,csv/עפ_7781-12.csv,,downloaded_pipeline,,63549.0,,,,,,,,
עפ_5590-16,unknown,csv/עפ_5590-16.csv,,downloaded_pipeline,,63223.0,,,,,,,,
עפ_5746-06,unknown,csv/עפ_5746-06.csv,,downloaded_pipeline,,61595.0,,,,,,,,
עפ_635-05,unknown,csv/עפ_635-05.csv,,downloaded_pipeline,,61182.0,,,,,,,,
עפ_9482-09,unknown,csv/עפ_9482-09.csv,,downloaded_pipeline,,58726.0,,,,,,,,
עפ_7416-15,unknown,csv/עפ_7416-15.csv,,downloaded_pipeline,,58516.0,,,,,,,,
עפ_5768-10,unknown,csv/עפ_5768-10.csv,,downloaded_pipeline,,57960.0,,,,,,,,
עפ_5877-13,unknown,csv/עפ_5877-13.csv,,downloaded_pipeline,,57656.0,,,,,,,,
ME-15-10-28110-519,unknown,csv/ME-15-10-28110-519.csv,,downloaded_pipeline,,54727.0,,,,,,,,
עפ_9821-16,unknown,csv/עפ_9821-16.csv,,downloaded_pipeline,,54613.0,,,,,,,,
עפ_8421-12,unknown,csv/עפ_8421-12.csv,,downloaded_pipeline,,54147.0,,,,,,,,
שפ_929-15,unknown,csv/שפ_929-15.csv,,downloaded_pipeline,,53872.0,,,,,,,,
SH-17-07-62472-416,unknown,csv/SH-17-07-62472-416.csv,,downloaded_pipeline,,53832.0,,,,,,,,
עפ_5806-22,unknown,csv/עפ_5806-22.csv,,downloaded_pipeline,,52523.0,,,,,,,,
תפ_332-10-16,unknown,csv/תפ_332-10-16.csv,,downloaded_pipeline,,49290.0,,,,,,,,
עפ_1345-08,unknown,csv/עפ_1345-08.csv,,downloaded_pipeline,,49282.0,,,,,,,,
עפ_7907-14,unknown,csv/עפ_7907-14.csv,,downloaded_pipeline,,48337.0,,,,,,,,
עפ_4597-13,unknown,csv/עפ_4597-13.csv,,downloaded_pipeline,,48299.0,,,,,,,,
עפ_4406-19,unknown,csv/עפ_4406-19.csv,,downloaded_pipeline,,48087.0,,,,,,,,
עפ_32-14,unknown,csv/עפ_32-14.csv,,downloaded_pipeline,,46776.0,,,,,,,,
ME-21-08-36558-369,unknown,csv/ME-21-08-36558-369.csv,,downloaded_pipeline,,45825.0,,,,,,,,
עפ_3361-08,unknown,csv/עפ_3361-08.csv,,downloaded_pipeline,,44829.0,,,,,,,,
עפ_7881-20,unknown,csv/עפ_7881-20.csv,,downloaded_pipeline,,43196.0,,,,,,,,
עפ_2251-11,unknown,csv/עפ_2251-11.csv,,downloaded_pipeline,,41460.0,,,,,,,,
ME-10-08-41827-33,unknown,csv/ME-10-08-41827-33.csv,,downloaded_pipeline,,40320.0,,,,,,,,
עפ_6496-21,unknown,csv/עפ_6496-21.csv,,downloaded_pipeline,,40286.0,,,,,,,,
עפ_4945-13,unknown,csv/עפ_4945-13.csv,,downloaded_pipeline,,40259.0,,,,,,,,
SH-19-02-72806-706,unknown,csv/SH-19-02-72806-706.csv,,downloaded_pipeline,,40236.0,,,,,,,,
ME-14-03-59106-735,unknown,csv/ME-14-03-59106-735.csv,,downloaded_pipeline,,40166.0,,,,,,,,
ME-13-10-31724-526,unknown,csv/ME-13-10-31724-526.csv,,downloaded_pipeline,,39945.0,,,,,,,,
עפ_5936-13,unknown,csv/עפ_5936-13.csv,,downloaded_pipeline,,39480.0,,,,,,,,
תפ_47787-06-19,unknown,csv/תפ_47787-06-19.csv,,downloaded_pipeline,,38755.0,,,,,,,,
עפ_4456-21,unknown,csv/עפ_4456-21.csv,,downloaded_pipeline,,38441.0,,,,,,,,
עפ_1323-13,unknown,csv/עפ_1323-13.csv,,downloaded_pipeline,,38402.0,,,,,,,,
עפ_5761-05,unknown,csv/עפ_5761-05.csv,,downloaded_pipeline,,37256.0,,,,,,,,
עפ_370-14,unknown,csv/עפ_370-14.csv,,downloaded_pipeline,,37104.0,,,,,,,,
עפ_5769-14,unknown,csv/עפ_5769-14.csv,,downloaded_pipeline,,36955.0,,,,,,,,
עפ_6235-22,unknown,csv/עפ_6235-22.csv,,downloaded_pipeline,,35801.0,,,,,,,,
עפ_3820-09,unknown,csv/עפ_3820-09.csv,,downloaded_pipeline,,33648.0,,,,,,,,
עפ_2333-13,unknown,csv/עפ_2333-13.csv,,downloaded_pipeline,,33447.0,,,,,,,,
עפ_6989-13,unknown,csv/עפ_6989-13.csv,,downloaded_pipeline,,33079.0,,,,,,,,
עפ_5469-13,unknown,csv/עפ_5469-13.csv,,downloaded_pipeline,,32635.0,,,,,,,,
ME-17-04-20599-576,unknown,csv/ME-17-04-20599-576.csv,,downloaded_pipeline,,32325.0,,,,,,,,
ME-13-11-28219-262,unknown,csv/ME-13-11-28219-262.csv,,downloaded_pipeline,,31656.0,,,,,,,,
עפ_8768-12,unknown,csv/עפ_8768-12.csv,,downloaded_pipeline,,31298.0,,,,,,,,
SH-24-04-31984-919,unknown,csv/SH-24-04-31984-919.csv,,downloaded_pipeline,,31221.0,,,,,,,,
עפ_2880-23,unknown,csv/עפ_2880-23.csv,,downloaded_pipeline,,31144.0,,,,,,,,
עפ_1932-15,unknown,csv/עפ_1932-15.csv,,downloaded_pipeline,,30642.0,,,,,,,,
SH-12-01-33804-586,unknown,csv/SH-12-01-33804-586.csv,,downloaded_pipeline,,30552.0,,,,,,,,
SH-18-03-30065-975,unknown,csv/SH-18-03-30065-975.csv,,downloaded_pipeline,,30536.0,,,,,,,,
עפ_7779-15,unknown,csv/עפ_7779-15.csv,,downloaded_pipeline,,30249.0,,,,,,,,
עפ_907-14,unknown,csv/עפ_907-14.csv,,downloaded_pipeline,,30230.0,,,,,,,,
שפ_8640-20,unknown,csv/שפ_8640-20.csv,,downloaded_pipeline,,29904.0,,,,,,,,
תפ_10901-10-17,unknown,csv/תפ_10901-10-17.csv,,downloaded_pipeline,,29714.0,,,,,,,,
ME-14-10-30098-583,unknown,csv/ME-14-10-30098-583.csv,,downloaded_pipeline,,29438.0,,,,,,,,
עפ_2564-19,unknown,csv/עפ_2564-19.csv,,downloaded_pipeline,,29389.0,,,,,,,,
עפ_7850-21,unknown,csv/עפ_7850-21.csv,,downloaded_pipeline,,29356.0,,,,,,,,
עפ_5604-11,unknown,csv/עפ_5604-11.csv,,downloaded_pipeline,,29286.0,,,,,,,,
עפ_5195-11,unknown,csv/עפ_5195-11.csv,,downloaded_pipeline,,28948.0,,,,,,,,
עפ_2829-13,unknown,csv/עפ_2829-13.csv,,downloaded_pipeline,,28236.0,,,,,,,,
עפ_5713-10,unknown,csv/עפ_5713-10.csv,,downloaded_pipeline,,28212.0,,,,,,,,
תפ_16980-01-14,unknown,csv/תפ_16980-01-14.csv,,downloaded_pipeline,,28070.0,,,,,,,,
עפ_4387-20,unknown,csv/עפ_4387-20.csv,,downloaded_pipeline,,27825.0,,,,,,,,
עפ_8092-04,unknown,csv/עפ_8092-04.csv,,downloaded_pipeline,,27732.0,,,,,,,,
עפ_6341-14,unknown,csv/עפ_6341-14.csv,,downloaded_pipeline,,27697.0,,,,,,,,
עפ_8820-14,unknown,csv/עפ_8820-14.csv,,downloaded_pipeline,,27616.0,,,,,,,,
ME-17-04-47293-163,unknown,csv/ME-17-04-47293-163.csv,,downloaded_pipeline,,27507.0,,,,,,,,
עפ_4522-18,unknown,csv/עפ_4522-18.csv,,downloaded_pipeline,,27486.0,,,,,,,,
עפ_5602-22,unknown,csv/עפ_5602-22.csv,,downloaded_pipeline,,27475.0,,,,,,,,
