domain,rep,model,task,F1,AP_PR
drugs,Manual,gpt4,0,0.927536231884058,0.959245179533748
drugs,Manual,gpt4,1,0.8539325842696629,0.9270699804441369
drugs,Manual,gpt5mini,0,0.9117647058823529,0.9538497793896326
drugs,Manual,gpt5mini,1,0.8514851485148515,0.921381143621599
drugs,Manual,gpt52,0,0.9117647058823529,0.9638637337788035
drugs,Manual,gpt52,1,0.851063829787234,0.9219100000018003
drugs,Manual,gpt51_thinking,0,0.9090909090909091,0.9659789800573212
drugs,Manual,gpt51_thinking,1,0.8478260869565217,0.9296647204499167
drugs,Manual,claude_sonnet_4_6,0,0.9552238805970149,0.9753907109839314
drugs,Manual,claude_sonnet_4_6,1,0.8723404255319149,0.9371760695212428
drugs,Manual,gemini_25_pro,0,0.9166666666666666,0.9584641587632614
drugs,Manual,gemini_25_pro,1,0.8275862068965517,0.9041755745053157
drugs,Manual,gemini_3_flash,0,0.8985507246376812,0.9525634771145607
drugs,Manual,gemini_3_flash,1,0.8723404255319149,0.92291009126569
drugs,Manual,gemma3_27b,0,0.90625,0.9430814083875309
drugs,Manual,gemma3_27b,1,0.8118811881188119,0.8915130282882384
drugs,Manual,llama3_70b,0,0.8641975308641975,0.9316770186335404
drugs,Manual,llama3_70b,1,0.8541666666666666,0.8943116385503699
drugs,Manual,qwen3_235b,0,0.8656716417910447,0.9436555992280357
drugs,Manual,qwen3_235b,1,0.8484848484848485,0.9186149790433188
drugs,Manual,qwen_hf,0,0.8955223880597015,0.945188959785734
drugs,Manual,qwen_hf,1,0.8085106382978723,0.9046182053022989
drugs,GPT-Schema,gpt4,0,0.8405797101449275,0.9275585977943297
drugs,GPT-Schema,gpt4,1,0.8041237113402062,0.8909571635166291
drugs,GPT-Schema,gpt5mini,0,0.88,0.942212237204741
drugs,GPT-Schema,gpt5mini,1,0.8222222222222222,0.9093302133849679
drugs,GPT-Schema,gpt52,0,0.8831168831168831,0.9442662335932096
drugs,GPT-Schema,gpt52,1,0.845360824742268,0.9092343295825289
drugs,GPT-Schema,gpt51_thinking,0,0.9014084507042254,0.9597891811420589
drugs,GPT-Schema,gpt51_thinking,1,0.86,0.9159577864050732
drugs,GPT-Schema,claude_sonnet_4_6,0,0.927536231884058,0.959492116995182
drugs,GPT-Schema,claude_sonnet_4_6,1,0.8484848484848485,0.9182325763810877
drugs,GPT-Schema,gemini_25_pro,0,0.9090909090909091,0.9221153384430696
drugs,GPT-Schema,gemini_25_pro,1,0.8478260869565217,0.8979243689544079
drugs,GPT-Schema,gemini_3_flash,0,0.8985507246376812,0.9458630775509743
drugs,GPT-Schema,gemini_3_flash,1,0.8314606741573034,0.9141740037209172
drugs,GPT-Schema,gemma3_27b,0,0.8235294117647058,0.9057142857142857
