rep,drugs,weapon
Manual,0.910 +/- 0.010,0.901 +/- 0.030
Hybrid-Manual,0.901 +/- 0.016,0.888 +/- 0.035
GPT-Schema,0.899 +/- 0.014,0.881 +/- 0.036
Hybrid-Full,0.894 +/- 0.010,0.885 +/- 0.024
GPT-Free,0.882 +/- 0.015,0.850 +/- 0.026
Raw-Facts,0.877 +/- 0.014,0.854 +/- 0.011
GPT-Law,0.864 +/- 0.016,0.854 +/- 0.032
