rep,drugs,weapon
Manual,0.794 ± 0.011,0.760 ± 0.050
GPT-Schema,0.775 ± 0.020,0.726 ± 0.060
GPT-Free,0.736 ± 0.018,0.678 ± 0.044
GPT-Law,0.706 ± 0.023,0.683 ± 0.057
Raw-Facts,0.729 ± 0.020,0.682 ± 0.020
Hybrid-Manual,0.773 ± 0.025,0.736 ± 0.057
Hybrid-Full,0.769 ± 0.026,0.736 ± 0.039
