domain,rep,model,QWK_Oracle,QWK_CV,C_index,n
drugs,Manual,gpt4,0.8720186154741129,0.8720186154741129,0.9153719008264463,100
drugs,Manual,gpt5mini,0.8581997533908754,0.8409785932721713,0.9076033057851239,100
drugs,Manual,gpt52,0.8683423099940155,0.8510131108462455,0.9090909090909091,100
drugs,Manual,gpt51_thinking,0.8553345388788427,0.7905113986444855,0.9206611570247933,100
drugs,Manual,claude_sonnet_4_6,0.8974668275030157,0.8905775075987842,0.9236363636363636,100
drugs,Manual,gemini_25_pro,0.8499711482977496,0.828080229226361,0.8905785123966942,100
drugs,Manual,gemini_3_flash,0.8713235294117647,0.8541033434650456,0.9006611570247934,100
drugs,Manual,gemma3_27b,0.8295454545454546,0.8224476854787571,0.9062809917355372,100
drugs,Manual,gemma4_31b_or,0.8553240740740741,0.8342214328004737,0.9191735537190082,100
drugs,Manual,llama3_70b,0.845460399227302,0.845460399227302,0.9044628099173554,100
drugs,Manual,qwen3_vl_235b_or,0.8405885959534029,0.8405885959534029,0.9148760330578513,100
drugs,GPT-Schema,gpt4,0.8015364916773368,0.7440944881889764,0.888595041322314,100
drugs,GPT-Schema,gpt5mini,0.8421372191863995,0.7745773324984346,0.8809917355371901,100
drugs,GPT-Schema,gpt52,0.8325062034739454,0.7873671044402752,0.8958677685950414,100
drugs,GPT-Schema,gpt51_thinking,0.8056300268096515,0.7326543602800764,0.8943801652892562,100
drugs,GPT-Schema,claude_sonnet_4_6,0.8523748395378691,0.7792765174739423,0.9277685950413224,100
drugs,GPT-Schema,gemini_25_pro,0.8468137254901961,0.8291641244661379,0.8877685950413223,100
drugs,GPT-Schema,gemini_3_flash,0.8408018867924528,0.8263473053892215,0.8985123966942149,100
drugs,GPT-Schema,gemma3_27b,0.8295081967213115,0.814692256783587,0.9160330578512397,100
drugs,GPT-Schema,gemma4_31b_or,0.8367346938775511,0.7967479674796748,0.9069421487603305,100
drugs,GPT-Schema,llama3_70b,0.78,0.78,0.8897520661157025,100
drugs,GPT-Schema,qwen3_vl_235b_or,0.782608695652174,0.7473152242577384,0.8973553719008265,100
drugs,GPT-Free,gpt4,0.8,0.7626112759643917,0.8737190082644628,100
drugs,GPT-Free,gpt5mini,0.8140615920976176,0.743436754176611,0.8933884297520661,100
drugs,GPT-Free,gpt52,0.7852760736196319,0.7141119221411192,0.8892561983471075,100
drugs,GPT-Free,gpt51_thinking,0.8025909932140654,0.7503045066991474,0.900495867768595,100
drugs,GPT-Free,claude_sonnet_4_6,0.7865853658536586,0.7209026128266034,0.895702479338843,100
drugs,GPT-Free,gemini_25_pro,0.8023952095808383,0.7948098974049487,0.8568595041322314,100
drugs,GPT-Free,gemini_3_flash,0.7943595769682726,0.7826086956521738,0.877190082644628,100
drugs,GPT-Free,gemma3_27b,0.7630019749835418,0.7292191435768263,0.8874380165289256,100
drugs,GPT-Free,gemma4_31b_or,0.8134110787172012,0.7673031026252983,0.8973553719008265,100
drugs,GPT-Free,llama3_70b,0.7413793103448276,0.7137150466045273,0.8609917355371901,100
drugs,GPT-Free,qwen3_vl_235b_or,0.7515151515151515,0.7008547008547008,0.8750413223140496,100
drugs,GPT-Law,gpt4,0.794841735052755,0.7789412449098313,0.8517355371900827,100
drugs,GPT-Law,gpt5mini,0.7781569965870307,0.7582037996545768,0.8454545454545455,100
drugs,GPT-Law,gpt52,0.7837837837837838,0.7302052785923754,0.8669421487603306,100
drugs,GPT-Law,gpt51_thinking,0.8033373063170441,0.7871082199881727,0.8730578512396694,100
drugs,GPT-Law,claude_sonnet_4_6,0.7993119266055045,0.7748267898383372,0.8876033057851239,100
drugs,GPT-Law,gemini_25_pro,0.7812320092112838,0.7419724770642202,0.836694214876033,100
drugs,GPT-Law,gemini_3_flash,0.7743055555555556,0.718562874251497,0.8639669421487604,100
drugs,GPT-Law,gemma3_27b,0.749835418038183,0.7313237221494102,0.877190082644628,100
drugs,GPT-Law,gemma4_31b_or,0.8086662915025323,0.8086662915025323,0.8748760330578512,100
drugs,GPT-Law,llama3_70b,0.6872875594833447,0.5866141732283465,0.8500826446280991,100
