A,B,n,delta,dz,wins,p,p_fdr,p_bonf,effect,sig_fdr,sig_bonf,domain,metric
Hybrid-Full,GPT-Law,11,0.03036814425244179,2.8370620160929607,11,0.00048828125,0.0029296875,0.0029296875,Large,Y,Y,drugs,C_index
Hybrid-Full,Raw-Facts,11,0.01691960931630352,1.3946135994072155,10,0.0009765625,0.0029296875,0.005859375,Large,Y,Y,drugs,C_index
Hybrid-Full,Hybrid-Manual,11,-0.006716754320060096,-0.46682399191367796,3,0.92626953125,1.0,1.0,Small,,,drugs,C_index
Manual,GPT-Schema,11,0.02051310968063136,1.5307840273621787,11,0.00048828125,0.0009765625,0.0029296875,Large,Y,Y,weapon,C_index
Manual,GPT-Free,11,0.0515214060105701,2.8816074565834437,11,0.00048828125,0.0009765625,0.0029296875,Large,Y,Y,weapon,C_index
Manual,GPT-Law,11,0.047002533070644545,2.522146039408946,11,0.00048828125,0.0009765625,0.0029296875,Large,Y,Y,weapon,C_index
Manual,Raw-Facts,11,0.04774525440160116,1.7774655843594271,10,0.0009765625,0.00146484375,0.005859375,Large,Y,Y,weapon,C_index
Manual,Hybrid-Manual,11,0.013540982581230276,1.2077465391153628,10,0.00146484375,0.00146484375,0.0087890625,Large,Y,Y,weapon,C_index
Manual,Hybrid-Full,11,0.01669168464834101,1.3281351788220384,10,0.00146484375,0.00146484375,0.0087890625,Large,Y,Y,weapon,C_index
GPT-Schema,Manual,11,-0.02051310968063136,-1.5307840273621787,0,1.0,1.0,1.0,Large,,,weapon,C_index
GPT-Schema,GPT-Free,11,0.031008296329938744,1.73994155254657,11,0.00048828125,0.0029296875,0.0029296875,Large,Y,Y,weapon,C_index
GPT-Schema,GPT-Law,11,0.026489423390013186,1.7430222561438808,10,0.0009765625,0.0029296875,0.005859375,Large,Y,Y,weapon,C_index
GPT-Schema,Raw-Facts,11,0.027232144720969808,0.8587159909775511,9,0.01220703125,0.0244140625,0.0732421875,Large,Y,,weapon,C_index
