rep,drugs,weapon
Manual,0.840 ± 0.029,0.748 ± 0.064
GPT-Schema,0.781 ± 0.035,0.696 ± 0.076
GPT-Free,0.738 ± 0.037,0.664 ± 0.077
GPT-Law,0.733 ± 0.076,0.654 ± 0.092
Raw-Facts,0.768 ± 0.037,0.656 ± 0.068
Hybrid-Manual,0.744 ± 0.048,0.689 ± 0.108
Hybrid-Full,0.763 ± 0.065,0.698 ± 0.056
