rep,drugs,weapon
Manual,8.0,8.0
GPT-Schema,1.0,0.0
GPT-Free,0.0,0.0
GPT-Law,0.0,0.0
Raw-Facts,0.0,2.0
Hybrid-Manual,1.0,1.0
Hybrid-Full,1.0,0.0
