A,B,n,delta,dz,wins,p,p_fdr,p_bonf,effect,sig_fdr,sig_bonf,domain,metric
Manual,GPT-Free,11,0.07321590084326342,1.3598546887262475,10,0.00244140625,0.0048828125,0.0146484375,Large,Y,Y,weapon,QWK_CV
Manual,GPT-Law,11,0.08316473032273192,1.387786574313745,10,0.0009765625,0.00439453125,0.005859375,Large,Y,Y,weapon,QWK_CV
Manual,Raw-Facts,11,0.08187838245574365,0.8660262509178571,9,0.01220703125,0.0146484375,0.0732421875,Large,Y,,weapon,QWK_CV
Manual,Hybrid-Manual,11,0.038959981853637554,0.9146054783990206,10,0.0068359375,0.01025390625,0.041015625,Large,Y,Y,weapon,QWK_CV
Manual,Hybrid-Full,11,0.036390607961287014,0.6823161179808996,8,0.02685546875,0.02685546875,0.1611328125,Medium,Y,,weapon,QWK_CV
GPT-Schema,Manual,11,-0.055071398489314756,-1.1690568821584575,1,0.9990234375,0.9990234375,1.0,Large,,,weapon,QWK_CV
GPT-Schema,GPT-Free,11,0.01814450235394866,0.29238750959769244,7,0.16015625,0.365234375,0.9609375,Small,,,weapon,QWK_CV
GPT-Schema,GPT-Law,11,0.028093331833417164,0.489076337056494,7,0.13916015625,0.365234375,0.8349609375,Small,,,weapon,QWK_CV
GPT-Schema,Raw-Facts,11,0.026806983966428898,0.2522942133159852,7,0.1826171875,0.365234375,1.0,Small,,,weapon,QWK_CV
GPT-Schema,Hybrid-Manual,11,-0.01611141663567721,-0.3327307754248014,5,0.79345703125,0.9521484375,1.0,Small,,,weapon,QWK_CV
GPT-Schema,Hybrid-Full,11,-0.018680790528027746,-0.26083719057176424,4,0.740234375,0.9521484375,1.0,Small,,,weapon,QWK_CV
GPT-Free,Manual,11,-0.07321590084326342,-1.3598546887262475,1,0.99853515625,1.0,1.0,Large,,,weapon,QWK_CV
GPT-Free,GPT-Schema,11,-0.01814450235394866,-0.29238750959769244,4,0.86083984375,1.0,1.0,Small,,,weapon,QWK_CV
GPT-Free,GPT-Law,11,0.009948829479468502,0.15824231008485937,8,0.232421875,1.0,1.0,Negligible,,,weapon,QWK_CV
GPT-Free,Raw-Facts,11,0.008662481612480238,0.12947576252055903,7,0.35009765625,1.0,1.0,Negligible,,,weapon,QWK_CV
GPT-Free,Hybrid-Manual,11,-0.03425591898962587,-0.6570357899030308,3,0.97900390625,1.0,1.0,Medium,,,weapon,QWK_CV
GPT-Free,Hybrid-Full,11,-0.036825292881976404,-1.5150586702619453,0,1.0,1.0,1.0,Large,,,weapon,QWK_CV
GPT-Law,Manual,11,-0.08316473032273192,-1.387786574313745,1,0.99951171875,0.99951171875,1.0,Large,,,weapon,QWK_CV
GPT-Law,GPT-Schema,11,-0.028093331833417164,-0.489076337056494,4,0.8798828125,0.99951171875,1.0,Small,,,weapon,QWK_CV
GPT-Law,GPT-Free,11,-0.009948829479468502,-0.15824231008485937,3,0.79345703125,0.99951171875,1.0,Negligible,,,weapon,QWK_CV
GPT-Law,Raw-Facts,11,-0.0012863478669882648,-0.012008699637078771,5,0.58447265625,0.99951171875,1.0,Negligible,,,weapon,QWK_CV
GPT-Law,Hybrid-Manual,11,-0.04420474846909437,-0.7741136189921556,4,0.98388671875,0.99951171875,1.0,Medium,,,weapon,QWK_CV
GPT-Law,Hybrid-Full,11,-0.04677412236144491,-0.5921650482053268,2,0.9384765625,0.99951171875,1.0,Medium,,,weapon,QWK_CV
Raw-Facts,Manual,11,-0.08187838245574365,-0.8660262509178571,2,0.99072265625,0.99072265625,1.0,Large,,,weapon,QWK_CV
Raw-Facts,GPT-Schema,11,-0.026806983966428898,-0.2522942133159852,4,0.83984375,0.99072265625,1.0,Small,,,weapon,QWK_CV
Raw-Facts,GPT-Free,11,-0.008662481612480238,-0.12947576252055903,4,0.68115234375,0.99072265625,1.0,Negligible,,,weapon,QWK_CV
Raw-Facts,GPT-Law,11,0.0012863478669882648,0.012008699637078771,6,0.44921875,0.99072265625,1.0,Negligible,,,weapon,QWK_CV
Raw-Facts,Hybrid-Manual,11,-0.042918400602106103,-0.4228388895231131,3,0.92626953125,0.99072265625,1.0,Small,,,weapon,QWK_CV
Raw-Facts,Hybrid-Full,11,-0.045487774494456644,-0.7724118927152784,3,0.98388671875,0.99072265625,1.0,Medium,,,weapon,QWK_CV
Hybrid-Manual,Manual,11,-0.038959981853637554,-0.9146054783990206,1,0.9951171875,0.9951171875,1.0,Large,,,weapon,QWK_CV
Hybrid-Manual,GPT-Schema,11,0.01611141663567721,0.3327307754248014,6,0.232421875,0.3486328125,1.0,Small,,,weapon,QWK_CV
Hybrid-Manual,GPT-Free,11,0.03425591898962587,0.6570357899030308,8,0.02685546875,0.08056640625,0.1611328125,Medium,,,weapon,QWK_CV
Hybrid-Manual,GPT-Law,11,0.04420474846909437,0.7741136189921556,7,0.02099609375,0.08056640625,0.1259765625,Medium,,,weapon,QWK_CV
Hybrid-Manual,Raw-Facts,11,0.042918400602106103,0.4228388895231131,8,0.08740234375,0.1748046875,0.5244140625,Small,,,weapon,QWK_CV
Hybrid-Manual,Hybrid-Full,11,-0.002569373892350538,-0.043204686177406804,7,0.48291015625,0.5794921875,1.0,Negligible,,,weapon,QWK_CV
Hybrid-Full,Manual,11,-0.036390607961287014,-0.6823161179808996,3,0.97900390625,0.97900390625,1.0,Medium,,,weapon,QWK_CV
Hybrid-Full,GPT-Schema,11,0.018680790528027746,0.26083719057176424,7,0.28857421875,0.432861328125,1.0,Small,,,weapon,QWK_CV
Hybrid-Full,GPT-Free,11,0.036825292881976404,1.5150586702619453,11,0.00048828125,0.0029296875,0.0029296875,Large,Y,Y,weapon,QWK_CV
Hybrid-Full,GPT-Law,11,0.04677412236144491,0.5921650482053268,9,0.07373046875,0.1474609375,0.4423828125,Medium,,,weapon,QWK_CV
Hybrid-Full,Raw-Facts,11,0.045487774494456644,0.7724118927152784,8,0.02099609375,0.06298828125,0.1259765625,Medium,,,weapon,QWK_CV
Hybrid-Full,Hybrid-Manual,11,0.002569373892350538,0.043204686177406804,4,0.55078125,0.6609375,1.0,Negligible,,,weapon,QWK_CV
