domain,rep,verdicts,median_keys_per_verdict,distinct_keys,distinct_keys_normalized,singletons,singleton_pct,core_50pct,core_90pct
drugs,Hybrid-Manual,68,14.0,435,435,379,87.1,6,6
drugs,Hybrid-Full,68,13.0,401,401,335,83.5,6,6
drugs,GPT-Law,68,29.0,1130,1130,920,81.4,4,0
drugs,GPT-Free,68,17.0,750,705,639,85.2,0,0
weapon,Hybrid-Manual,101,16,443,443,344,77.7,8,7
weapon,Hybrid-Full,101,16,464,464,370,79.7,8,6
weapon,GPT-Law,101,26,985,983,698,70.9,4,0
weapon,GPT-Free,101,12,733,661,564,76.9,2,0
