feature,agreement,cohen_kappa,n_cases,n_pairs
מספר עבירה,94.7%,0.922,114,114
סוג העבירה,92.1%,0.905,114,114
שימוש,94.7%,0.875,114,114
עבירות נוספות,93.0%,0.853,114,114
סוג הנשק (סט),84.2%,0.785,114,114
כמות תחמושת,89.5%,0.77,114,114
מטרה-סיבת העבירה,87.7%,0.747,114,114
סטטוס הנשק,73.7%,0.66,114,114
אופן קבלת הנשק,82.5%,0.657,114,114
אופן החזקת הנשק,64.9%,0.602,114,114
תכנון,77.2%,0.531,114,114
