feature,agreement,cohen_kappa,n_cases,n_pairs
מספר עבירה,94.1%,0.911,101,101
סוג העבירה,91.1%,0.892,101,101
שימוש,94.1%,0.857,101,101
עבירות נוספות,92.1%,0.831,101,101
סוג הנשק (סט),82.2%,0.757,101,101
כמות תחמושת,88.1%,0.735,101,101
מטרה-סיבת העבירה,86.1%,0.713,101,101
סטטוס הנשק,70.3%,0.615,101,101
אופן קבלת הנשק,80.2%,0.583,101,101
אופן החזקת הנשק,60.4%,0.551,101,101
תכנון,74.3%,0.471,101,101
