domain,drugs,drugs,weapon,weapon
task,0,1,0,1
rep,,,,
Manual,10.0,9.0,3.0,3.0
GPT-Schema,0.0,1.0,1.0,0.0
GPT-Free,0.0,0.0,0.0,0.0
GPT-Law,0.0,0.0,0.0,0.0
Raw-Facts,1.0,0.0,2.0,4.0
Hybrid-Manual,0.0,1.0,3.0,4.0
Hybrid-Full,0.0,0.0,2.0,0.0
