A,B,n,delta,dz,wins,p,p_fdr,p_bonf,effect,sig_fdr,sig_bonf,domain,task,metric
Manual,GPT-Free,11,0.05413078688491984,1.2506070887351242,11,0.00048828125,0.00146484375,0.0029296875,Large,✓,✓,drugs,1,F1
Manual,GPT-Law,11,0.07435028197409031,2.3770907947858886,11,0.00048828125,0.00146484375,0.0029296875,Large,✓,✓,drugs,1,F1
Manual,Raw-Facts,11,0.04463629976705263,0.9698103252956687,8,0.00927734375,0.0185546875,0.0556640625,Large,✓,,drugs,1,F1
Manual,Hybrid-Manual,11,0.03739849746580121,0.8336676565528612,10,0.01611328125,0.0193359375,0.0966796875,Large,✓,,drugs,1,F1
Manual,Hybrid-Full,11,0.03256031863693475,0.6797367342101537,9,0.01611328125,0.0193359375,0.0966796875,Medium,✓,,drugs,1,F1
GPT-Schema,Manual,11,-0.01626219567010562,-0.30329069431151184,4,0.8798828125,0.8798828125,1.0,Small,,,drugs,1,F1
GPT-Schema,GPT-Free,11,0.03786859121481422,1.0238244610838798,9,0.0048828125,0.009765625,0.029296875,Large,✓,✓,drugs,1,F1
GPT-Schema,GPT-Law,11,0.058088086303984696,1.8175410762344058,11,0.00048828125,0.00146484375,0.0029296875,Large,✓,✓,drugs,1,F1
GPT-Schema,Raw-Facts,11,0.028374104096947003,1.4828798505875158,11,0.00048828125,0.00146484375,0.0029296875,Large,✓,✓,drugs,1,F1
GPT-Schema,Hybrid-Manual,11,0.02113630179569559,0.4525686409081481,6,0.13916015625,0.1669921875,0.8349609375,Small,,,drugs,1,F1
GPT-Schema,Hybrid-Full,11,0.01629812296682913,0.4803292749977599,9,0.0615234375,0.09228515625,0.369140625,Small,,,drugs,1,F1
GPT-Free,Manual,11,-0.05413078688491984,-1.2506070887351242,0,1.0,1.0,1.0,Large,,,drugs,1,F1
GPT-Free,GPT-Schema,11,-0.03786859121481422,-1.0238244610838798,2,0.99658203125,1.0,1.0,Large,,,drugs,1,F1
GPT-Free,GPT-Law,11,0.020219495089170477,0.7882836116108902,8,0.02099609375,0.1259765625,0.1259765625,Medium,,,drugs,1,F1
GPT-Free,Raw-Facts,11,-0.009494487117867217,-0.25670363902534943,4,0.83984375,1.0,1.0,Small,,,drugs,1,F1
GPT-Free,Hybrid-Manual,11,-0.01673228941911863,-0.4511842773677647,4,0.8798828125,1.0,1.0,Small,,,drugs,1,F1
GPT-Free,Hybrid-Full,11,-0.02157046824798509,-0.4709582111606474,4,0.9384765625,1.0,1.0,Small,,,drugs,1,F1
GPT-Law,Manual,11,-0.07435028197409031,-2.3770907947858886,0,1.0,1.0,1.0,Large,,,drugs,1,F1
GPT-Law,GPT-Schema,11,-0.058088086303984696,-1.8175410762344058,0,1.0,1.0,1.0,Large,,,drugs,1,F1
GPT-Law,GPT-Free,11,-0.020219495089170477,-0.7882836116108902,3,0.98388671875,1.0,1.0,Medium,,,drugs,1,F1
GPT-Law,Raw-Facts,11,-0.029713982207037692,-1.0465130098989195,1,0.9990234375,1.0,1.0,Large,,,drugs,1,F1
GPT-Law,Hybrid-Manual,11,-0.03695178450828911,-0.9852053773885234,2,0.9951171875,1.0,1.0,Large,,,drugs,1,F1
GPT-Law,Hybrid-Full,11,-0.04178996333715557,-1.2837921853581054,2,0.99853515625,1.0,1.0,Large,,,drugs,1,F1
Raw-Facts,Manual,11,-0.04463629976705263,-0.9698103252956687,3,0.9931640625,1.0,1.0,Large,,,drugs,1,F1
Raw-Facts,GPT-Schema,11,-0.028374104096947003,-1.4828798505875158,0,1.0,1.0,1.0,Large,,,drugs,1,F1
Raw-Facts,GPT-Free,11,0.009494487117867217,0.25670363902534943,7,0.1826171875,0.5478515625,1.0,Small,,,drugs,1,F1
