domain,rep,n_models,qwk_oracle_mean,qwk_oracle_std,qwk_cv_mean,qwk_cv_std,spearman_mean,spearman_std,c_index_mean,c_index_std,cv_drop
drugs,Raw-Facts,13,0.7949002391856619,0.02312408339199492,0.7654160693813771,0.027404136933931785,0.727770761900858,0.018234562128387623,0.8766306420851875,0.013176318353428737,0.02948416980428481
drugs,Manual,13,0.8535660890787539,0.025126430030742896,0.8305071804565506,0.036925128162059596,0.7893062186523759,0.014874976810285918,0.9084933248569613,0.011583726596443784,0.023058908622203278
drugs,GPT-Schema,13,0.8183634105662155,0.03282560586738899,0.7751142549307036,0.04588650378857274,0.7712735977586457,0.016240056904743713,0.8962873490146218,0.01207170242841246,0.043249155635511904
drugs,GPT-Free,13,0.7838251605578306,0.02676028715422339,0.7431304927052155,0.042428523553309165,0.7307910444066572,0.024004045157326313,0.879987285441831,0.016713087215890484,0.04069466785261511
drugs,GPT-Law,13,0.7655976231400149,0.040170827667471,0.7327675187777136,0.05317169122824113,0.6965270191813213,0.028112258609215998,0.85815638906548,0.018906404063892494,0.03283010436230127
drugs,Hybrid-Manual,13,0.8100856824920848,0.02282523704310768,0.7649406470604354,0.034061833188793314,0.7769831267308465,0.016990132233460627,0.9037762237762238,0.011888164015419695,0.04514503543164938
drugs,Hybrid-Full,13,0.8114972081791821,0.017039300665579682,0.7665195552461596,0.0432322128083893,0.7651273831549917,0.012734186177898866,0.8962237762237764,0.008792975754584176,0.04497765293302258
weapon,Raw-Facts,13,0.6855109278367587,0.06020630411202857,0.6549289242704807,0.07087924994493675,0.6725419133141659,0.04675362599304871,0.8497459712629991,0.027487059289098788,0.03058200356627805
weapon,Manual,13,0.7786322599145662,0.041707860060104136,0.7573788932812414,0.04836357027239988,0.7723969900156435,0.0246194521550345,0.9078087375300998,0.015918818782909707,0.021253366633324777
weapon,GPT-Schema,13,0.7504047740791919,0.0374651151727895,0.7204726130678785,0.04239710722601527,0.7432816376883059,0.02489453071145748,0.8908668730650154,0.015571932257215003,0.029932161011313463
weapon,GPT-Free,13,0.7034772422110265,0.04559249218330231,0.6735014070981268,0.06315164016190469,0.6824880316162266,0.03717396137753241,0.8520811833505332,0.022180515797219066,0.029975835112899696
weapon,GPT-Law,13,0.7006494093883651,0.05752494629947823,0.6710437141822385,0.07199755833967625,0.6930461399699817,0.0429998065500642,0.8603305019713688,0.02559490996188816,0.029605695206126548
weapon,Hybrid-Manual,13,0.739640123843166,0.0539217805253782,0.7071091524470552,0.07147750787989927,0.7425775153000588,0.04160887319006792,0.8913034849567357,0.02558893744403997,0.03253097139611083
weapon,Hybrid-Full,13,0.7341152134129098,0.05784249294605116,0.6993700170575967,0.07004777224921792,0.7322956150971766,0.041847873393390855,0.8825778624540236,0.02495589639655309,0.034745196355313035
