canonical_id,domain,csv_path,docx_path,csv_source,docx_source,csv_size,docx_size,verdict,sentencing_range_low,sentencing_range_high,sentencing_classification,sentencing_confidence,citations_count,domain_unified
עפ_8299-19,appeals,,docx/עפ_8299-19.docx,,new_try_unified_appeals,,63347.0,,,,,,,
עפ_4537-20,appeals,,docx/עפ_4537-20.docx,,new_try_unified_appeals,,63286.0,,,,,,,
עפ_2544-17,appeals,,docx/עפ_2544-17.docx,,new_try_unified_appeals,,63065.0,,,,,,,
עפ_4497-18,appeals,,docx/עפ_4497-18.docx,,new_try_unified_appeals,,63061.0,,,,,,,
עפ_5686-19,appeals,,docx/עפ_5686-19.docx,,new_try_unified_appeals,,63013.0,,,,,,,
עפ_4045-18,appeals,,docx/עפ_4045-18.docx,,new_try_unified_appeals,,63009.0,,,,,,,
עפ_5373-23,appeals,,docx/עפ_5373-23.docx,,new_try_unified_appeals,,62989.0,,,,,,,
עפ_6501-18,appeals,,docx/עפ_6501-18.docx,,new_try_unified_appeals,,62980.0,,,,,,,
עפ_230-24,appeals,,docx/עפ_230-24.docx,,new_try_unified_appeals,,62932.0,,,,,,,
עפ_6722-22,appeals,,docx/עפ_6722-22.docx,,new_try_unified_appeals,,62820.0,,,,,,,
עפ_2685-17,appeals,,docx/עפ_2685-17.docx,,new_try_unified_appeals,,62661.0,,,,,,,
עפ_3507-19,appeals,,docx/עפ_3507-19.docx,,new_try_unified_appeals,,62629.0,,,,,,,
עפ_6909-21,appeals,,docx/עפ_6909-21.docx,,new_try_unified_appeals,,62623.0,,,,,,,
עפ_2392-21,appeals,,docx/עפ_2392-21.docx,,new_try_unified_appeals,,62487.0,,,,,,,
עפ_8965-18,appeals,,docx/עפ_8965-18.docx,,new_try_unified_appeals,,62446.0,,,,,,,
עפ_3371-17,appeals,,docx/עפ_3371-17.docx,,new_try_unified_appeals,,62409.0,,,,,,,
עפ_401-16,appeals,,docx/עפ_401-16.docx,,new_try_unified_appeals,,62384.0,,,,,,,
עפ_3754-18,appeals,,docx/עפ_3754-18.docx,,new_try_unified_appeals,,62363.0,,,,,,,
עפ_5107-18,appeals,,docx/עפ_5107-18.docx,,new_try_unified_appeals,,62137.0,,,,,,,
עפ_1778-20,appeals,,docx/עפ_1778-20.docx,,new_try_unified_appeals,,62033.0,,,,,,,
עפ_4019-23,appeals,,docx/עפ_4019-23.docx,,new_try_unified_appeals,,62010.0,,,,,,,
עפ_6899-17,appeals,,docx/עפ_6899-17.docx,,new_try_unified_appeals,,61949.0,,,,,,,
עפ_8175-22,appeals,,docx/עפ_8175-22.docx,,new_try_unified_appeals,,61900.0,,,,,,,
עפ_6826-19,appeals,,docx/עפ_6826-19.docx,,new_try_unified_appeals,,61873.0,,,,,,,
עפ_10152-17,appeals,,docx/עפ_10152-17.docx,,new_try_unified_appeals,,61818.0,,,,,,,
עפ_9702-16,appeals,,docx/עפ_9702-16.docx,,new_try_unified_appeals,,61761.0,,,,,,,
עפ_5167-22,appeals,,docx/עפ_5167-22.docx,,new_try_unified_appeals,,61652.0,,,,,,,
עפ_2251-21,appeals,,docx/עפ_2251-21.docx,,new_try_unified_appeals,,61601.0,,,,,,,
עפ_3312-19,appeals,,docx/עפ_3312-19.docx,,new_try_unified_appeals,,61557.0,,,,,,,
עפ_6111-23,appeals,,docx/עפ_6111-23.docx,,new_try_unified_appeals,,61547.0,,,,,,,
עפ_319-21,appeals,,docx/עפ_319-21.docx,,new_try_unified_appeals,,61338.0,,,,,,,
עפ_5773-14,appeals,,docx/עפ_5773-14.docx,,new_try_unified_appeals,,60652.0,,,,,,,
עפ_4463-22,appeals,,docx/עפ_4463-22.docx,,new_try_unified_appeals,,60623.0,,,,,,,
עפ_4203-19,appeals,,docx/עפ_4203-19.docx,,new_try_unified_appeals,,60555.0,,,,,,,
עפ_2261-21,appeals,,docx/עפ_2261-21.docx,,new_try_unified_appeals,,60510.0,,,,,,,
עפ_4447-20,appeals,,docx/עפ_4447-20.docx,,new_try_unified_appeals,,60480.0,,,,,,,
עפ_8441-17,appeals,,docx/עפ_8441-17.docx,,new_try_unified_appeals,,60401.0,,,,,,,
עפ_1838-20,appeals,,docx/עפ_1838-20.docx,,new_try_unified_appeals,,60318.0,,,,,,,
עפ_3250-17,appeals,,docx/עפ_3250-17.docx,,new_try_unified_appeals,,60253.0,,,,,,,
עפ_7482-20,appeals,,docx/עפ_7482-20.docx,,new_try_unified_appeals,,60190.0,,,,,,,
