dataset,n_pairs,exact_agreement,cohen_kappa,weighted_kappa_linear,weighted_kappa_quadratic,pearson
weapon itr1,77,87.0%,0.767,0.854,0.916,0.922
weapon itr2,78,89.7%,0.82,0.868,0.899,0.9
drugs itr1,47,55.3%,0.313,0.444,0.567,0.571
drugs itr2,61,83.6%,0.719,0.798,0.834,0.729
