domain,drugs,drugs,weapon,weapon
task,0,1,0,1
rep,,,,
Manual,8.0,10.0,7.0,8.0
GPT-Schema,2.0,1.0,1.0,1.0
GPT-Free,0.0,0.0,0.0,1.0
GPT-Law,0.0,0.0,0.0,0.0
Raw-Facts,0.0,0.0,1.0,1.0
Hybrid-Manual,0.0,0.0,2.0,0.0
Hybrid-Full,1.0,0.0,0.0,0.0
