A,B,n,delta,dz,wins,p,p_fdr,p_bonf,effect,sig_fdr,sig_bonf,domain,task,metric
Hybrid-Full,GPT-Schema,11,0.031252015187423106,0.4404499372120573,6,0.13916015625,0.1669921875,0.8349609375,Small,,,drugs,0,F1_CV
Hybrid-Full,GPT-Free,11,0.018516920912934796,0.4202444515934527,6,0.1201171875,0.1669921875,0.720703125,Small,,,drugs,0,F1_CV
Hybrid-Full,GPT-Law,11,0.020846076407458513,0.5031287708859812,7,0.0615234375,0.1669921875,0.369140625,Medium,,,drugs,0,F1_CV
Hybrid-Full,Raw-Facts,11,0.03307229806518004,0.6149564790805092,8,0.04150390625,0.1669921875,0.2490234375,Medium,,,drugs,0,F1_CV
Hybrid-Full,Hybrid-Manual,11,0.016955326373072146,0.39863910363610494,7,0.1201171875,0.1669921875,0.720703125,Small,,,drugs,0,F1_CV
Manual,GPT-Schema,11,0.01769837763559304,0.45670764485743887,8,0.08740234375,0.08740234375,0.5244140625,Small,,,drugs,1,F1_CV
Manual,GPT-Free,11,0.061627918065016905,1.4766304807692407,10,0.0009765625,0.001953125,0.005859375,Large,✓,✓,drugs,1,F1_CV
Manual,GPT-Law,11,0.07163627955509584,2.3333767397224543,11,0.00048828125,0.00146484375,0.0029296875,Large,✓,✓,drugs,1,F1_CV
Manual,Raw-Facts,11,0.044804770653867,1.147125756005672,9,0.0048828125,0.00732421875,0.029296875,Large,✓,✓,drugs,1,F1_CV
Manual,Hybrid-Manual,11,0.04765642491547808,1.6229658718240965,11,0.00048828125,0.00146484375,0.0029296875,Large,✓,✓,drugs,1,F1_CV
Manual,Hybrid-Full,11,0.045530413065172096,0.9869198942611932,8,0.009765625,0.01171875,0.05859375,Large,✓,,drugs,1,F1_CV
GPT-Schema,Manual,11,-0.01769837763559304,-0.45670764485743887,3,0.92626953125,0.92626953125,1.0,Small,,,drugs,1,F1_CV
GPT-Schema,GPT-Free,11,0.04392954042942387,1.4271400092948967,10,0.0009765625,0.001953125,0.005859375,Large,✓,✓,drugs,1,F1_CV
GPT-Schema,GPT-Law,11,0.053937901919502804,3.2263450291000804,11,0.00048828125,0.00146484375,0.0029296875,Large,✓,✓,drugs,1,F1_CV
GPT-Schema,Raw-Facts,11,0.027106393018273958,1.3747725705698264,11,0.00048828125,0.00146484375,0.0029296875,Large,✓,✓,drugs,1,F1_CV
GPT-Schema,Hybrid-Manual,11,0.029958047279885037,0.802419899785487,8,0.01611328125,0.0193359375,0.0966796875,Large,✓,,drugs,1,F1_CV
GPT-Schema,Hybrid-Full,11,0.027832035429579058,0.915630911781653,8,0.009765625,0.0146484375,0.05859375,Large,✓,,drugs,1,F1_CV
GPT-Free,Manual,11,-0.061627918065016905,-1.4766304807692407,1,0.99951171875,0.99951171875,1.0,Large,,,drugs,1,F1_CV
GPT-Free,GPT-Schema,11,-0.04392954042942387,-1.4271400092948967,1,0.99951171875,0.99951171875,1.0,Large,,,drugs,1,F1_CV
GPT-Free,GPT-Law,11,0.010008361490078938,0.32536814029352196,6,0.232421875,0.99951171875,1.0,Small,,,drugs,1,F1_CV
GPT-Free,Raw-Facts,11,-0.016823147411149906,-0.4403191020364521,3,0.9384765625,0.99951171875,1.0,Small,,,drugs,1,F1_CV
GPT-Free,Hybrid-Manual,11,-0.013971493149538827,-0.399272894470863,4,0.86083984375,0.99951171875,1.0,Small,,,drugs,1,F1_CV
