A,B,n,delta,dz,wins,p,p_fdr,p_bonf,effect,sig_fdr,sig_bonf,domain,task,metric
Manual,GPT-Schema,11,0.043669713283876095,1.26210066467182,9,0.001953125,0.00234375,0.01171875,Large,✓,✓,drugs,0,F1
Manual,GPT-Free,11,0.03326443615163603,1.482473650990104,11,0.00048828125,0.0009765625,0.0029296875,Large,✓,✓,drugs,0,F1
Manual,GPT-Law,11,0.045163867918228975,2.1775589774021014,11,0.00048828125,0.0009765625,0.0029296875,Large,✓,✓,drugs,0,F1
Manual,Raw-Facts,11,0.03807230226711401,1.2995767048576128,11,0.00048828125,0.0009765625,0.0029296875,Large,✓,✓,drugs,0,F1
Manual,Hybrid-Manual,11,0.031922906749544254,1.6455810549675929,10,0.0009765625,0.00146484375,0.005859375,Large,✓,✓,drugs,0,F1
Manual,Hybrid-Full,11,0.019990628143026153,1.0465289489954248,8,0.00634765625,0.00634765625,0.0380859375,Large,✓,✓,drugs,0,F1
GPT-Schema,Manual,11,-0.043669713283876095,-1.26210066467182,1,0.9990234375,0.9990234375,1.0,Large,,,drugs,0,F1
GPT-Schema,GPT-Free,11,-0.010405277132240064,-0.3275380981819034,4,0.8837890625,0.9990234375,1.0,Small,,,drugs,0,F1
GPT-Schema,GPT-Law,11,0.0014941546343528835,0.04591118937275305,7,0.35009765625,0.9990234375,1.0,Negligible,,,drugs,0,F1
GPT-Schema,Raw-Facts,11,-0.005597411016762083,-0.16696858298752815,7,0.55078125,0.9990234375,1.0,Negligible,,,drugs,0,F1
GPT-Schema,Hybrid-Manual,11,-0.01174680653433184,-0.33048112995244383,5,0.8388671875,0.9990234375,1.0,Small,,,drugs,0,F1
GPT-Schema,Hybrid-Full,11,-0.023679085140849942,-0.5113020964955364,4,0.89697265625,0.9990234375,1.0,Medium,,,drugs,0,F1
GPT-Free,Manual,11,-0.03326443615163603,-1.482473650990104,0,1.0,1.0,1.0,Large,,,drugs,0,F1
GPT-Free,GPT-Schema,11,0.010405277132240064,0.3275380981819034,6,0.1376953125,0.4130859375,0.826171875,Small,,,drugs,0,F1
GPT-Free,GPT-Law,11,0.011899431766592946,0.5184347529478837,7,0.080078125,0.4130859375,0.48046875,Medium,,,drugs,0,F1
GPT-Free,Raw-Facts,11,0.00480786611547798,0.24025954889711795,5,0.41015625,0.8203125,1.0,Small,,,drugs,0,F1
GPT-Free,Hybrid-Manual,11,-0.001341529402091777,-0.07620966139441554,4,0.6328125,0.94921875,1.0,Negligible,,,drugs,0,F1
GPT-Free,Hybrid-Full,11,-0.013273808008609878,-0.44986586199063217,4,0.86083984375,1.0,1.0,Small,,,drugs,0,F1
GPT-Law,Manual,11,-0.045163867918228975,-2.1775589774021014,0,1.0,1.0,1.0,Large,,,drugs,0,F1
GPT-Law,GPT-Schema,11,-0.0014941546343528835,-0.04591118937275305,4,0.68115234375,1.0,1.0,Negligible,,,drugs,0,F1
GPT-Law,GPT-Free,11,-0.011899431766592946,-0.5184347529478837,3,0.9345703125,1.0,1.0,Medium,,,drugs,0,F1
GPT-Law,Raw-Facts,11,-0.007091565651114967,-0.31895739879337776,4,0.8388671875,1.0,1.0,Small,,,drugs,0,F1
GPT-Law,Hybrid-Manual,11,-0.013240961168684723,-0.4699900164496369,4,0.92626953125,1.0,1.0,Small,,,drugs,0,F1
GPT-Law,Hybrid-Full,11,-0.025173239775202826,-0.7278262768047385,2,0.986328125,1.0,1.0,Medium,,,drugs,0,F1
Raw-Facts,Manual,11,-0.03807230226711401,-1.2995767048576128,0,1.0,1.0,1.0,Large,,,drugs,0,F1
Raw-Facts,GPT-Schema,11,0.005597411016762083,0.16696858298752815,4,0.48291015625,1.0,1.0,Negligible,,,drugs,0,F1
Raw-Facts,GPT-Free,11,-0.00480786611547798,-0.24025954889711795,4,0.6328125,1.0,1.0,Small,,,drugs,0,F1
Raw-Facts,GPT-Law,11,0.007091565651114967,0.31895739879337776,6,0.1875,1.0,1.0,Small,,,drugs,0,F1
