domain,model,n_used,actual_f1,shuffled_mean_f1,shuffled_std_f1,shuffled_ci_low,shuffled_ci_high,p_vs_shuffled,n_shuffles
drugs,gpt4,100,0.8484848484848485,0.32645454545454544,0.06663546790639176,0.18181818181818182,0.45454545454545453,0.0,1000
drugs,mistral,99,0.775,0.39685000000000004,0.059645431509881795,0.275,0.5,0.0,1000
drugs,nemotron3_nano,100,0.6909090909090909,0.25880000000000003,0.07250247986639395,0.10909090909090909,0.4,0.0,1000
drugs,qwen_hf,100,0.8253968253968254,0.3104126984126984,0.0677219278462441,0.19047619047619047,0.4444444444444444,0.0,1000
