domain,model_a,model_b,n_pairs,f1_a,f1_b,mcnemar_stat,p_value,n_a_correct_b_wrong,n_a_wrong_b_correct,p_fdr_bh,significant_0.05
drugs,gpt4,mistral,99,0.8484848484848485,0.775,0.7857142857142857,0.057373046875,11,3,0.26934814453125,False
drugs,gpt4,nemotron3_nano,100,0.8484848484848485,0.6909090909090909,0.7333333333333333,0.11846923828124999,11,4,0.26934814453125,False
drugs,gpt4,qwen_hf,100,0.8484848484848485,0.8253968253968254,0.6,1.0,3,2,1.0,False
drugs,mistral,nemotron3_nano,99,0.775,0.6909090909090909,0.48,1.0,12,13,1.0,False
drugs,mistral,qwen_hf,99,0.775,0.8253968253968254,0.3157894736842105,0.1670684814453125,6,13,0.26934814453125,False
drugs,nemotron3_nano,qwen_hf,100,0.6909090909090909,0.8253968253968254,0.2857142857142857,0.1795654296875,4,10,0.26934814453125,False
