domain,method,n_years,n_queries,avg_mae_overall,year_cluster_ci_low,year_cluster_ci_hi,ci_width
drugs,sup_only,19,2516,7.895866454689984,7.473424087518604,8.369847537775009,0.8964234502564041
drugs,sup_llm,19,2516,7.656796502384737,7.227723321078255,8.173322393870382,0.9455990727921275
drugs,tfidf_ridge,19,2516,9.982177579747553,9.554686355235331,10.54140232808563,0.9867159728502983
drugs,llm_best,19,2516,6.588732114467408,6.230407706182896,7.027927827545402,0.7975201213625063
weapon,sup_only,24,1688,17.17239336492891,15.171489123228836,19.247418112503137,4.075928989274301
weapon,sup_llm,24,1688,16.072274881516588,14.22651580978353,18.08414803353035,3.857632223746821
weapon,tfidf_ridge,24,1688,20.233067079819268,17.89549919834425,23.03297973605723,5.137480537712978
weapon,llm_best,24,1688,14.45364336492891,12.802596413974397,16.111459693555446,3.3088632795810486
