query,domain,fold,year,method,err_lo,err_hi
תפ_4606-08-20,drugs,1,2020.0,tfidf_ridge,3.248156052071117,4.048624057074292
תפ_4606-08-20,drugs,1,2020.0,bm25,2.0,0.0
תפ_4606-08-20,drugs,1,2020.0,offense_matched_random,1.5,1.0
תפ_19985-04-14,drugs,1,2014.0,global_median,9.0,9.0
תפ_19985-04-14,drugs,1,2014.0,random_llm,6.0,4.5
תפ_19985-04-14,drugs,1,2014.0,citation_llm,7.0,4.0
תפ_19985-04-14,drugs,1,2014.0,sup_only,8.0,5.0
תפ_19985-04-14,drugs,1,2014.0,sup_llm,8.0,4.0
תפ_19985-04-14,drugs,1,2014.0,llm_best,10.0,9.0
תפ_19985-04-14,drugs,1,2014.0,tfidf_ridge,11.649318839742293,12.321057261740489
תפ_19985-04-14,drugs,1,2014.0,bm25,8.5,6.0
תפ_19985-04-14,drugs,1,2014.0,offense_matched_random,9.0,7.0
תפ_18011-01-20,drugs,1,2020.0,global_median,99.0,144.0
תפ_18011-01-20,drugs,1,2020.0,random_llm,93.0,134.0
תפ_18011-01-20,drugs,1,2020.0,citation_llm,57.0,81.0
תפ_18011-01-20,drugs,1,2020.0,sup_only,88.0,125.0
תפ_18011-01-20,drugs,1,2020.0,sup_llm,88.0,128.0
תפ_18011-01-20,drugs,1,2020.0,llm_best,94.0,136.0
תפ_18011-01-20,drugs,1,2020.0,tfidf_ridge,89.67692228397416,129.89653041347887
תפ_18011-01-20,drugs,1,2020.0,bm25,95.0,135.0
תפ_18011-01-20,drugs,1,2020.0,offense_matched_random,99.5,149.0
תפ_16982-03-21,drugs,1,2021.0,global_median,3.0,2.0
תפ_16982-03-21,drugs,1,2021.0,random_llm,1.0,2.0
תפ_16982-03-21,drugs,1,2021.0,citation_llm,0.0,2.0
תפ_16982-03-21,drugs,1,2021.0,sup_only,0.0,2.0
תפ_16982-03-21,drugs,1,2021.0,sup_llm,0.0,2.0
תפ_16982-03-21,drugs,1,2021.0,llm_best,0.5,4.0
תפ_16982-03-21,drugs,1,2021.0,tfidf_ridge,1.3972375344716212,3.4351488501937837
תפ_16982-03-21,drugs,1,2021.0,bm25,1.5,2.0
תפ_16982-03-21,drugs,1,2021.0,offense_matched_random,3.0,6.0
תפ_64660-01-22,drugs,1,2022.0,global_median,24.0,36.0
תפ_64660-01-22,drugs,1,2022.0,random_llm,20.0,35.0
תפ_64660-01-22,drugs,1,2022.0,citation_llm,23.0,36.0
תפ_64660-01-22,drugs,1,2022.0,sup_only,21.0,36.0
תפ_64660-01-22,drugs,1,2022.0,sup_llm,21.0,36.0
תפ_64660-01-22,drugs,1,2022.0,llm_best,21.0,36.0
תפ_64660-01-22,drugs,1,2022.0,tfidf_ridge,22.8614839051944,36.41255368693672
תפ_64660-01-22,drugs,1,2022.0,bm25,19.5,30.0
תפ_64660-01-22,drugs,1,2022.0,offense_matched_random,22.5,32.0
תפ_44694-10-18,drugs,1,2018.0,global_median,3.0,0.0
תפ_44694-10-18,drugs,1,2018.0,random_llm,7.5,6.0
תפ_44694-10-18,drugs,1,2018.0,citation_llm,6.0,12.0
תפ_44694-10-18,drugs,1,2018.0,sup_only,3.0,0.0
תפ_44694-10-18,drugs,1,2018.0,sup_llm,2.0,0.0
תפ_44694-10-18,drugs,1,2018.0,llm_best,4.5,6.0
תפ_44694-10-18,drugs,1,2018.0,tfidf_ridge,6.523767553698324,12.849735985559796
תפ_44694-10-18,drugs,1,2018.0,bm25,13.0,24.0
תפ_44694-10-18,drugs,1,2018.0,offense_matched_random,0.5,0.0
תפ_29019-03-10,drugs,1,2010.0,global_median,27.0,84.0
תפ_29019-03-10,drugs,1,2010.0,random_llm,25.0,84.0
תפ_29019-03-10,drugs,1,2010.0,citation_llm,26.0,76.0
תפ_29019-03-10,drugs,1,2010.0,sup_only,26.5,84.0
תפ_29019-03-10,drugs,1,2010.0,sup_llm,26.0,84.0
תפ_29019-03-10,drugs,1,2010.0,llm_best,24.5,76.0
תפ_29019-03-10,drugs,1,2010.0,tfidf_ridge,19.18017115410951,72.27429970624513
תפ_29019-03-10,drugs,1,2010.0,bm25,19.0,73.0
תפ_29019-03-10,drugs,1,2010.0,offense_matched_random,28.5,90.0
תפ_13048-04-21,drugs,1,2021.0,global_median,15.0,24.0
תפ_13048-04-21,drugs,1,2021.0,random_llm,12.0,24.0
תפ_13048-04-21,drugs,1,2021.0,citation_llm,5.0,1.0
תפ_13048-04-21,drugs,1,2021.0,sup_only,6.0,12.0
תפ_13048-04-21,drugs,1,2021.0,sup_llm,5.5,8.0
תפ_13048-04-21,drugs,1,2021.0,llm_best,6.0,4.0
תפ_13048-04-21,drugs,1,2021.0,tfidf_ridge,6.545898650933488,11.045182941442135
תפ_13048-04-21,drugs,1,2021.0,bm25,3.0,3.0
תפ_13048-04-21,drugs,1,2021.0,offense_matched_random,8.5,12.0
תפ_27103-01-18,drugs,1,2018.0,global_median,0.0,0.0
תפ_27103-01-18,drugs,1,2018.0,random_llm,2.0,1.0
תפ_27103-01-18,drugs,1,2018.0,citation_llm,7.5,15.0
תפ_27103-01-18,drugs,1,2018.0,sup_only,1.0,0.0
תפ_27103-01-18,drugs,1,2018.0,sup_llm,0.0,0.0
תפ_27103-01-18,drugs,1,2018.0,llm_best,2.0,0.0
תפ_27103-01-18,drugs,1,2018.0,tfidf_ridge,0.9788013332887822,2.7476022570087864
תפ_27103-01-18,drugs,1,2018.0,bm25,1.5,3.0
תפ_27103-01-18,drugs,1,2018.0,offense_matched_random,1.0,0.0
תפ_39308-05-15,drugs,1,2015.0,global_median,3.0,0.0
תפ_39308-05-15,drugs,1,2015.0,random_llm,3.0,3.0
תפ_39308-05-15,drugs,1,2015.0,citation_llm,7.0,16.0
תפ_39308-05-15,drugs,1,2015.0,sup_only,6.0,12.0
תפ_39308-05-15,drugs,1,2015.0,sup_llm,6.0,12.0
תפ_39308-05-15,drugs,1,2015.0,llm_best,4.5,9.0
תפ_39308-05-15,drugs,1,2015.0,tfidf_ridge,5.396071790712618,11.639378836612103
תפ_39308-05-15,drugs,1,2015.0,bm25,3.0,6.0
תפ_39308-05-15,drugs,1,2015.0,offense_matched_random,4.0,2.0
תפ_27683-01-21,drugs,1,2021.0,global_median,9.0,10.0
תפ_27683-01-21,drugs,1,2021.0,random_llm,8.0,4.0
תפ_27683-01-21,drugs,1,2021.0,citation_llm,5.5,2.5
תפ_27683-01-21,drugs,1,2021.0,sup_only,6.0,1.0
תפ_27683-01-21,drugs,1,2021.0,sup_llm,6.0,1.0
תפ_27683-01-21,drugs,1,2021.0,llm_best,3.5,2.0
תפ_27683-01-21,drugs,1,2021.0,tfidf_ridge,11.85933466494986,11.821351729363784
תפ_27683-01-21,drugs,1,2021.0,bm25,11.0,11.0
תפ_27683-01-21,drugs,1,2021.0,offense_matched_random,7.0,4.0
תפ_25137-02-20,drugs,1,2020.0,global_median,3.0,9.0
תפ_25137-02-20,drugs,1,2020.0,random_llm,6.0,9.0
תפ_25137-02-20,drugs,1,2020.0,citation_llm,0.0,3.0
תפ_25137-02-20,drugs,1,2020.0,sup_only,0.0,3.0
תפ_25137-02-20,drugs,1,2020.0,sup_llm,0.0,3.0
תפ_25137-02-20,drugs,1,2020.0,llm_best,2.5,0.0
תפ_25137-02-20,drugs,1,2020.0,tfidf_ridge,8.346143403025238,15.215823509531482
תפ_25137-02-20,drugs,1,2020.0,bm25,0.0,6.0
תפ_25137-02-20,drugs,1,2020.0,offense_matched_random,6.0,12.0
תפ_4435-07-19,drugs,1,2019.0,global_median,5.0,12.0
תפ_4435-07-19,drugs,1,2019.0,random_llm,5.0,6.0
תפ_4435-07-19,drugs,1,2019.0,citation_llm,3.0,4.5
תפ_4435-07-19,drugs,1,2019.0,sup_only,15.0,18.0
תפ_4435-07-19,drugs,1,2019.0,sup_llm,8.0,10.0
תפ_4435-07-19,drugs,1,2019.0,llm_best,7.0,11.0
תפ_4435-07-19,drugs,1,2019.0,tfidf_ridge,3.6850911167634592,0.9634677684028006
תפ_4435-07-19,drugs,1,2019.0,bm25,7.0,10.0
תפ_4435-07-19,drugs,1,2019.0,offense_matched_random,5.0,2.0
תפ_54673-05-17,drugs,1,2017.0,global_median,5.0,12.0
תפ_54673-05-17,drugs,1,2017.0,random_llm,2.0,6.0
תפ_54673-05-17,drugs,1,2017.0,citation_llm,2.0,12.0
תפ_54673-05-17,drugs,1,2017.0,sup_only,5.0,7.0
תפ_54673-05-17,drugs,1,2017.0,sup_llm,4.5,7.0
תפ_54673-05-17,drugs,1,2017.0,llm_best,2.5,7.0
תפ_54673-05-17,drugs,1,2017.0,tfidf_ridge,7.109545631344183,13.765069165547342
תפ_54673-05-17,drugs,1,2017.0,bm25,3.0,6.0
תפ_54673-05-17,drugs,1,2017.0,offense_matched_random,5.0,18.0
תפ_6681-09-21,drugs,1,2021.0,global_median,27.0,48.0
תפ_6681-09-21,drugs,1,2021.0,random_llm,7.5,30.0
תפ_6681-09-21,drugs,1,2021.0,citation_llm,6.0,17.0
תפ_6681-09-21,drugs,1,2021.0,sup_only,14.0,30.0
