domain,config,pool_base,mae_lo,mae_hi
drugs,sup_top_50_∪_citation,50,5.147253962403243,8.150571323258385
drugs,sup_top_100_∪_citation,100,5.1138960560265385,8.128086988573536
drugs,sup_top_200_∪_citation,200,5.1341688168079616,8.139144858090674
drugs,sup_top_500_∪_citation,500,5.153888684113528,8.138776262440103
weapon,sup_top_50_∪_citation,50,12.121582315299593,17.956660849331005
weapon,sup_top_100_∪_citation,100,12.114310645724258,17.87958115183246
weapon,sup_top_200_∪_citation,200,11.943571844095404,17.57475276323444
weapon,sup_top_500_∪_citation,500,11.836532867946481,17.165794066317627
