sweep,filter,domain,min_k,n_total,n_pred,coverage,mae_lo,mae_hi
min_k,global_median,drugs,1,2713,2713,1.0,8.496129745669002,13.978621452266863
min_k,global_median,weapon,1,1719,1719,1.0,17.472949389179757,26.16346713205352
min_k,global_median,drugs,3,2713,2713,1.0,8.496129745669002,13.978621452266863
min_k,global_median,weapon,3,1719,1719,1.0,17.472949389179757,26.16346713205352
min_k,global_median,drugs,5,2713,2713,1.0,8.496129745669002,13.978621452266863
min_k,global_median,weapon,5,1719,1719,1.0,17.472949389179757,26.16346713205352
min_k,global_median,drugs,10,2713,2713,1.0,8.496129745669002,13.978621452266863
min_k,global_median,weapon,10,1719,1719,1.0,17.472949389179757,26.16346713205352
min_k,random,drugs,1,2713,2713,1.0,8.984518982676004,14.966089200147438
min_k,random,weapon,1,1719,1719,1.0,18.38307155322862,27.356893542757415
min_k,random,drugs,3,2713,2713,1.0,8.984518982676004,14.966089200147438
min_k,random,weapon,3,1719,1719,1.0,18.38307155322862,27.356893542757415
min_k,random,drugs,5,2713,2713,1.0,8.984518982676004,14.966089200147438
min_k,random,weapon,5,1719,1719,1.0,18.38307155322862,27.356893542757415
min_k,random,drugs,10,2713,2713,1.0,8.984518982676004,14.966089200147438
min_k,random,weapon,10,1719,1719,1.0,18.38307155322862,27.356893542757415
min_k,random_llm,drugs,1,2713,2554,0.9413932915591596,6.695184025058731,10.715740015661707
min_k,random_llm,weapon,1,1719,1700,0.9889470622454916,14.563823529411765,21.456764705882353
min_k,random_llm,drugs,3,2713,1746,0.6435680058975304,6.060423825887743,9.710481099656358
min_k,random_llm,weapon,3,1719,1515,0.881326352530541,13.59141914191419,19.994719471947196
min_k,random_llm,drugs,5,2713,891,0.32841872465904903,5.7166105499438835,9.22053872053872
min_k,random_llm,weapon,5,1719,1147,0.6672484002326934,12.731473408892764,18.92414995640802
min_k,random_llm,drugs,10,2713,106,0.03907113896056027,6.636792452830188,10.320754716981131
min_k,random_llm,weapon,10,1719,337,0.19604421175101802,11.362017804154302,15.820474777448071
min_k,citation_all,drugs,1,2713,2352,0.8669369701437523,6.6232993197278915,10.175382653061224
min_k,citation_all,weapon,1,1719,1630,0.9482257126236184,15.93957055214724,23.408895705521473
min_k,citation_all,drugs,3,2713,2119,0.7810541835606339,6.483010854176499,9.958706937234545
min_k,citation_all,weapon,3,1719,1516,0.8819080860965678,15.49868073878628,22.777374670184695
min_k,citation_all,drugs,5,2713,1964,0.7239218577220788,6.525967413441955,10.00152749490835
min_k,citation_all,weapon,5,1719,1422,0.8272251308900523,15.318565400843882,22.671589310829816
min_k,citation_all,drugs,10,2713,1627,0.599705123479543,6.8116164720344194,10.333435771358328
min_k,citation_all,weapon,10,1719,1268,0.7376381617219313,15.350157728706625,22.27917981072555
min_k,citation_all_llm,drugs,1,2713,2352,0.8669369701437523,5.322278911564626,8.172619047619047
min_k,citation_all_llm,weapon,1,1719,1630,0.9482257126236184,12.458588957055214,18.244171779141105
min_k,citation_all_llm,drugs,3,2713,2119,0.7810541835606339,5.038933459178858,7.735724398301086
min_k,citation_all_llm,weapon,3,1719,1516,0.8819080860965678,11.755936675461742,17.224274406332455
min_k,citation_all_llm,drugs,5,2713,1964,0.7239218577220788,4.967922606924644,7.603105906313646
min_k,citation_all_llm,weapon,5,1719,1422,0.8272251308900523,11.328410689170182,16.7514064697609
min_k,citation_all_llm,drugs,10,2713,1627,0.599705123479543,4.930854333128457,7.4382298709280885
min_k,citation_all_llm,weapon,10,1719,1268,0.7376381617219313,10.875394321766562,15.639984227129338
min_k,supervised,drugs,1,2713,2713,1.0,5.887946922226318,9.383708072244747
min_k,supervised,weapon,1,1719,1719,1.0,13.852530541012216,20.522105875509016
min_k,supervised,drugs,3,2713,2713,1.0,5.887946922226318,9.383708072244747
min_k,supervised,weapon,3,1719,1719,1.0,13.852530541012216,20.522105875509016
min_k,supervised,drugs,5,2713,2713,1.0,5.887946922226318,9.383708072244747
min_k,supervised,weapon,5,1719,1719,1.0,13.852530541012216,20.522105875509016
min_k,supervised,drugs,10,2713,2713,1.0,5.887946922226318,9.383708072244747
min_k,supervised,weapon,10,1719,1719,1.0,13.852530541012216,20.522105875509016
min_k,supervised_llm,drugs,1,2713,2713,1.0,5.688168079616661,9.122189458164394
min_k,supervised_llm,weapon,1,1719,1719,1.0,12.970913321698662,19.167539267015705
min_k,supervised_llm,drugs,3,2713,2713,1.0,5.688168079616661,9.122189458164394
min_k,supervised_llm,weapon,3,1719,1719,1.0,12.970913321698662,19.167539267015705
min_k,supervised_llm,drugs,5,2713,2713,1.0,5.688168079616661,9.122189458164394
min_k,supervised_llm,weapon,5,1719,1719,1.0,12.970913321698662,19.167539267015705
min_k,supervised_llm,drugs,10,2713,2713,1.0,5.688168079616661,9.122189458164394
min_k,supervised_llm,weapon,10,1719,1719,1.0,12.970913321698662,19.167539267015705
min_k,llm_top,drugs,1,2713,2713,1.0,5.12108367121268,8.055289347585699
min_k,llm_top,weapon,1,1719,1719,1.0,12.12129144851658,17.42262943571844
min_k,llm_top,drugs,3,2713,2713,1.0,5.12108367121268,8.055289347585699
min_k,llm_top,weapon,3,1719,1719,1.0,12.12129144851658,17.42262943571844
min_k,llm_top,drugs,5,2713,2713,1.0,5.12108367121268,8.055289347585699
min_k,llm_top,weapon,5,1719,1719,1.0,12.12129144851658,17.42262943571844
min_k,llm_top,drugs,10,2713,2713,1.0,5.12108367121268,8.055289347585699
min_k,llm_top,weapon,10,1719,1719,1.0,12.12129144851658,17.42262943571844
