removed_source,n_pairs_in_source,n_unique_to_source,union_size_without,loss_pairs,loss_pct
combined,140961,140961,234697,140961,37.52375831208173
5fold_v1,63836,63836,311822,63836,16.993116078986738
simcse,48832,48832,326826,48832,12.999057653503984
supervised,14065,14065,361593,14065,3.7440970244211487
5fold_v2,61766,61766,313892,61766,16.4420829584356
filtered,46198,46198,329460,46198,12.297887972570795
