mode,min_k,domain,coverage_mean,n_pred_total,n_test_total,mae_lo_mean,mae_lo_std,mae_hi_mean,mae_hi_std
sup_only,1,drugs,1.0,2305,2305,6.329501084598698,0.2658256046774748,10.224511930585683,0.2900657783309239
sup_only,1,weapon,1.0,1593,1593,13.537121612884263,1.2753136336304578,20.28364192088403,1.3830862492127958
sup+llm_all,1,drugs,1.0,2305,2305,6.278308026030369,0.3079167873252066,10.113015184381776,0.39314301669516377
sup+llm_all,1,weapon,1.0,1593,1593,13.012713807088698,1.2892920070074174,19.310347969200023,1.2205385798810722
sup+llm_all,3,drugs,1.0,2305,2305,6.278308026030369,0.3079167873252066,10.113015184381776,0.39314301669516377
sup+llm_all,3,weapon,1.0,1593,1593,13.012713807088698,1.2892920070074174,19.310347969200023,1.2205385798810722
sup+llm_all,5,drugs,1.0,2305,2305,6.278308026030369,0.3079167873252066,10.113015184381776,0.39314301669516377
sup+llm_all,5,weapon,1.0,1593,1593,13.012713807088698,1.2892920070074174,19.310347969200023,1.2205385798810722
sup+llm_all,10,drugs,1.0,2305,2305,6.278308026030369,0.3079167873252066,10.113015184381776,0.39314301669516377
sup+llm_all,10,weapon,1.0,1593,1593,13.012713807088698,1.2892920070074174,19.310347969200023,1.2205385798810722
citation+llm,1,drugs,0.804772234273319,1855,2305,5.809654452945461,0.434313561650344,8.929199697616758,0.6845450695630185
citation+llm,1,weapon,0.907735261270793,1446,1593,12.003198706103468,0.9062798904132666,17.877333970592808,1.750962418855264
citation+llm,3,drugs,0.6880694143167029,1586,2305,5.344081953583164,0.5413748284002174,8.267533736412956,0.8434702904303513
citation+llm,3,weapon,0.8449714923881737,1346,1593,11.731501486969176,0.7546350458450551,17.39885180298507,1.6394822667085922
citation+llm,5,drugs,0.6260303687635574,1443,2305,5.36192517521954,0.47020441738098256,8.224720839606247,0.7642709040621313
citation+llm,5,weapon,0.7859871862693236,1252,1593,11.241810880882596,1.2244191161792826,16.32176043030769,2.1813097345684125
citation+llm,10,drugs,0.5036876355748373,1161,2305,5.488857956838948,0.3713933870896918,8.355364937860266,0.726173370634494
citation+llm,10,weapon,0.6836301651678128,1089,1593,10.85289715463836,1.5122404458557681,15.58629874451008,2.5021704035491603
llm_all_only,1,drugs,1.0,2305,2305,5.178308026030369,0.3234319874081354,8.086767895878525,0.3567192191551972
llm_all_only,1,weapon,1.0,1593,1593,11.146787750543702,1.380256139450735,16.089228825016164,1.76816197086283
llm_all_only,3,drugs,1.0,2305,2305,5.178308026030369,0.3234319874081354,8.086767895878525,0.3567192191551972
llm_all_only,3,weapon,1.0,1593,1593,11.146787750543702,1.380256139450735,16.089228825016164,1.76816197086283
llm_all_only,5,drugs,1.0,2305,2305,5.178308026030369,0.3234319874081354,8.086767895878525,0.3567192191551972
llm_all_only,5,weapon,1.0,1593,1593,11.146787750543702,1.380256139450735,16.089228825016164,1.76816197086283
llm_all_only,10,drugs,1.0,2305,2305,5.178308026030369,0.3234319874081354,8.086767895878525,0.3567192191551972
llm_all_only,10,weapon,1.0,1593,1593,11.146787750543702,1.380256139450735,16.089228825016164,1.76816197086283
