domain,pool_size,pool_num,avg_mae,cost_usd,mae_lo,mae_hi
drugs,10,10,7.636212972680186,19.2623,5.888152950336843,9.38427299502353
drugs,20,20,7.542094011307086,38.5246,5.805462947290024,9.278725075324148
drugs,50,50,7.477267172213007,96.31150000000001,5.743198821896476,9.211335522529538
drugs,100,100,7.405664375909815,192.62300000000002,5.688477944412472,9.122850807407158
drugs,200,200,7.343516368191205,385.24600000000004,5.636202308812079,9.05083042757033
drugs,500,500,7.15805799113037,963.115,5.505190087680694,8.810925894580047
drugs,1000,1000,6.955425200582281,1926.23,5.366947763973053,8.54390263719151
drugs,all,1800,6.584822607400386,3467.214,5.109941433359287,8.059703781441485
weapon,10,10,17.183648263751778,12.2049,13.848664521386985,20.51863200611657
weapon,20,20,16.978799119483117,24.4098,13.75572630040077,20.201871938565464
weapon,50,50,16.35348551936213,61.0245,13.207501197267709,19.499469841456552
weapon,100,100,16.065559859184514,122.049,12.967178901202308,19.16394081716672
weapon,200,200,15.777427932885793,244.098,12.839937490022768,18.714918375748816
weapon,500,500,15.054065248989673,610.245,12.30297510523353,17.805155392745817
weapon,1000,1000,14.638859108896751,1220.49,12.007320556876518,17.270397660916984
weapon,all,1300,14.654116920543434,1586.637,12.050970837079172,17.257263004007694
