label,domain,mae_lo_mean,mae_lo_std,mae_hi_mean,mae_hi_std,n_test
all_sources,drugs,6.278308026030369,0.3079167873252066,10.113015184381776,0.39314301669516377,2305
all_sources,weapon,13.012713807088698,1.2892920070074174,19.310347969200023,1.2205385798810722,1593
all_minus_combined,drugs,6.379609544468546,0.283747478742751,10.275054229934923,0.36419315902869437,2305
all_minus_combined,weapon,13.348077940398516,1.2413821533964073,19.867683536119436,1.0712613042062602,1593
all_minus_5fold_v1,drugs,6.300650759219089,0.2697484401207483,10.12776572668113,0.34306630068034194,2305
all_minus_5fold_v1,weapon,13.435655087286193,0.9855137371680857,20.077308528772114,1.1194784367380664,1593
all_minus_simcse,drugs,6.30238611713666,0.28506320057472695,10.182863340563992,0.3195018644130922,2305
all_minus_simcse,weapon,13.269197084582379,1.40238504230407,19.877420208076177,1.4946142731956171,1593
all_minus_supervised,drugs,6.278524945770065,0.30983323082132364,10.11409978308026,0.39410755930398567,2305
all_minus_supervised,weapon,13.037918062657969,1.1862539884627976,19.38070593075883,1.325759610414329,1593
all_minus_5fold_v2,drugs,6.262039045553146,0.31451735315840434,10.1,0.38741009238168356,2305
all_minus_5fold_v2,weapon,13.203362134838068,1.2533337226248096,19.56674307882208,1.3667671914821173,1593
all_minus_filtered,drugs,6.289013212675035,0.38047696519126006,9.978844147697682,0.4459670363500482,2263
all_minus_filtered,weapon,12.670417533910408,1.4442438491734242,18.61101540642181,1.450226217690472,1566
